variant,period,start,end,days,cagr,max_dd,sharpe,total_return,rebalanced_days,avg_turnover_rebal,avg_bil
weekly_baseline,P1_2003_2012,2003-08-22,2012-12-31,2356,0.1349292359252583,-0.20681096023783535,0.7959877934182549,2.269993910532871,197,0.8901875852497422,0.03782878334556528
weekly_baseline,P2_2013_2016,2013-01-02,2016-12-31,1267,0.08779122685054253,-0.20218184438763237,0.5833848764735733,0.39952962160608085,109,1.152922636162612,0.09848665324085834
weekly_baseline,P3_2017_2020,2017-01-01,2020-12-31,1461,0.2492347565179467,-0.11005131889283694,1.3193368306321114,1.4339499198494354,112,1.186298377578805,0.08584829269950965
weekly_baseline,P4_2021_2026,2021-01-01,2026-03-18,1903,0.08921290178742858,-0.19472603451751297,0.4693042727063653,0.5604892637945003,161,1.3126974168751369,0.14002059590270094
weekly_plus_override_15%,P1_2003_2012,2003-08-22,2012-12-31,2356,0.12789138104602582,-0.20728172884438348,0.7672235835199243,2.0850267032802385,378,1.0011061178864018,0.03201807709063285
weekly_plus_override_15%,P2_2013_2016,2013-01-02,2016-12-31,1267,0.003658477317571407,-0.2754884780710887,0.08782636539505097,0.01469412185046548,360,2.0425586742010315,0.30919057331576294
weekly_plus_override_15%,P3_2017_2020,2017-01-01,2020-12-31,1461,0.009709258818212607,-0.3236132872590046,0.11596609400391604,0.03937882717104135,545,2.3979736301770553,0.4828100353851591
weekly_plus_override_15%,P4_2021_2026,2021-01-01,2026-03-18,1903,-0.02480851105849391,-0.2887547316018543,-0.03762803161991281,-0.122621794116757,683,2.0617258859393623,0.4393173006350631
weekly_plus_override_20%,P1_2003_2012,2003-08-22,2012-12-31,2356,0.12789138104602582,-0.20728172884438348,0.7672235835199243,2.0850267032802385,378,1.0011061178864018,0.03201807709063285
weekly_plus_override_20%,P2_2013_2016,2013-01-02,2016-12-31,1267,0.003658477317571407,-0.2754884780710887,0.08782636539505097,0.01469412185046548,360,2.0425586742010315,0.30919057331576294
weekly_plus_override_20%,P3_2017_2020,2017-01-01,2020-12-31,1461,0.009709258818212607,-0.3236132872590046,0.11596609400391604,0.03937882717104135,545,2.3979736301770553,0.4828100353851591
weekly_plus_override_20%,P4_2021_2026,2021-01-01,2026-03-18,1903,-0.02480851105849391,-0.2887547316018543,-0.03762803161991281,-0.122621794116757,683,2.0617258859393623,0.4393173006350631
weekly_plus_override_25%,P1_2003_2012,2003-08-22,2012-12-31,2356,0.12789138104602582,-0.20728172884438348,0.7672235835199243,2.0850267032802385,378,1.0011061178864018,0.03201807709063285
weekly_plus_override_25%,P2_2013_2016,2013-01-02,2016-12-31,1267,0.003658477317571407,-0.2754884780710887,0.08782636539505097,0.01469412185046548,360,2.0425586742010315,0.30919057331576294
weekly_plus_override_25%,P3_2017_2020,2017-01-01,2020-12-31,1461,0.009709258818212607,-0.3236132872590046,0.11596609400391604,0.03937882717104135,545,2.3979736301770553,0.4828100353851591
weekly_plus_override_25%,P4_2021_2026,2021-01-01,2026-03-18,1903,-0.02480851105849391,-0.2887547316018543,-0.03762803161991281,-0.122621794116757,683,2.0617258859393623,0.4393173006350631
weekly_plus_override_30%,P1_2003_2012,2003-08-22,2012-12-31,2356,0.12789138104602582,-0.20728172884438348,0.7672235835199243,2.0850267032802385,378,1.0011061178864018,0.03201807709063285
weekly_plus_override_30%,P2_2013_2016,2013-01-02,2016-12-31,1267,0.003658477317571407,-0.2754884780710887,0.08782636539505097,0.01469412185046548,360,2.0425586742010315,0.30919057331576294
weekly_plus_override_30%,P3_2017_2020,2017-01-01,2020-12-31,1461,0.009709258818212607,-0.3236132872590046,0.11596609400391604,0.03937882717104135,545,2.3979736301770553,0.4828100353851591
weekly_plus_override_30%,P4_2021_2026,2021-01-01,2026-03-18,1903,-0.02480851105849391,-0.2887547316018543,-0.03762803161991281,-0.122621794116757,683,2.0617258859393623,0.4393173006350631
weekly_plus_override_40%,P1_2003_2012,2003-08-22,2012-12-31,2356,0.1276197553058358,-0.2072817288443836,0.7662387236714541,2.0780791119322344,371,1.0079640191979897,0.031030569077803924
weekly_plus_override_40%,P2_2013_2016,2013-01-02,2016-12-31,1267,0.003658477317571407,-0.2754884780710887,0.08782636539505097,0.01469412185046548,360,2.0425586742010315,0.30919057331576294
weekly_plus_override_40%,P3_2017_2020,2017-01-01,2020-12-31,1461,0.010037925560482108,-0.3236132872590046,0.11780103360592381,0.04073185823460079,544,2.4029000700296343,0.48258233368096587
weekly_plus_override_40%,P4_2021_2026,2021-01-01,2026-03-18,1903,-0.025207352923937276,-0.29026818301842683,-0.039427519158399316,-0.12448879407480617,656,2.1176570350559354,0.43422009828353825
