case,window,start,end,rows,annual_return,max_drawdown,sharpe,total_return,annual_return_delta_vs_old_020,max_drawdown_delta_vs_old_020,sharpe_delta_vs_old_020
old_020,10Y,2016-05-11,2026-05-11,2596,0.3193227158105756,-0.08981959213829904,2.970889760774837,14.971497921813796,0.0,0.0,0.0
old_020,8Y,2018-05-11,2026-05-11,2078,0.32895832181965745,-0.08981959213829904,2.9590850609680173,8.729508192653363,0.0,0.0,0.0
old_020,6Y,2020-05-11,2026-05-11,1559,0.3655100423321176,-0.08981959213829893,3.2268647136695403,5.480136913523179,0.0,0.0,0.0
old_020,4Y,2022-05-11,2026-05-11,1039,0.3397987009684347,-0.08981959213829915,3.043074589964403,2.2222424108963774,0.0,0.0,0.0
old_020,2Y,2024-05-13,2026-05-11,518,0.502185671642843,-0.08981959213829904,3.989161927344257,1.2502855075084844,0.0,0.0,0.0
old_020,1Y,2025-05-12,2026-05-11,259,0.6856097450375158,-0.05937453870676679,5.405917215151939,0.6826004461952315,0.0,0.0,0.0
current_025,10Y,2016-05-11,2026-05-11,2596,0.31965281683341273,-0.08383994700760755,2.9705528337025044,15.011498934087175,0.00033010102283714815,0.005979645130691491,-0.00033692707233257124
current_025,8Y,2018-05-11,2026-05-11,2078,0.33324933236332077,-0.08383994700760777,2.990072858194031,8.983687967836127,0.004291010543663321,0.005979645130691269,0.030987797226013747
current_025,6Y,2020-05-11,2026-05-11,1559,0.3706458073907808,-0.08383994700760744,3.2801167018383794,5.627717845582739,0.0051357650586632,0.005979645130691491,0.05325198816883914
current_025,4Y,2022-05-11,2026-05-11,1039,0.34877260946632527,-0.08383994700760755,3.1181018905540347,2.3094433495213016,0.008973908497890593,0.005979645130691602,0.0750273005896318
current_025,2Y,2024-05-13,2026-05-11,518,0.523942160846181,-0.08383994700760744,4.100673011162825,1.3157123803483746,0.021756489203337948,0.005979645130691602,0.11151108381856778
current_025,1Y,2025-05-12,2026-05-11,259,0.7107786609943909,-0.057261829466178304,5.51452306356271,0.7076378096865796,0.025168915956875093,0.002112709240588484,0.1086058484107717
