days,candidate_count,defense_score_mean,defense_score_max,ann10_delta_mean,dd10_delta_mean,ann5_delta_mean,dd5_delta_mean,ann3_delta_mean,dd3_delta_mean
2,15,0.5900646411370487,3.109354153873632,-4.048142924798216,-0.6457468507778716,-3.5955245342098743,2.669928762201011,-1.0730675837617618,2.9969765789559504
3,15,2.428519996320903,3.4723751142685604,-3.7792482553725466,-0.3267284501411724,-2.8548713887246664,2.732879080650352,1.1824791923628066,2.7647191577749135
4,15,3.2056469845651185,3.917027630129047,-3.0846364069482,-0.05620140256869039,-1.8379643031105164,2.4832236027308996,1.5069633107357245,2.48322360273086
5,15,2.3956848575741554,3.389482094682516,-2.764834794130608,-0.013376524947289654,-1.1113090826557155,1.9069398276673197,1.0510045043649936,1.90693982766731
6,15,0.7080261080324306,2.047050028491589,-2.2175466350665736,9.473903143468002e-15,-0.7651062484101316,1.0923140037551928,0.9152011663839053,1.092314003755161
7,15,-0.1354567470791565,0.8854071062420159,-2.25375667524439,1.1605531350748303e-14,-0.6292128014189835,0.8522685305446218,0.008794630726360709,0.8522685305446084
8,15,-1.2103832927369536,1.124956605624953,-1.992727998302926,1.1131836193574903e-14,-1.1876578515076848,0.4758842274479091,-0.4358188911115119,0.47588422744793524
