source_key,source_label,amount_source,candidate_count,robust_pass_count,best_candidate,best_ma,best_days,best_defense_score,best_10y_ann_delta_pp,best_10y_maxdd_delta_pp,best_5y_ann_delta_pp,best_5y_maxdd_delta_pp,best_3y_ann_delta_pp,best_3y_maxdd_delta_pp,best_full_ann_delta_pp,best_full_maxdd_delta_pp
zz500,ZZ500,CSIndex official amount,1349,0,zz500_ma34_d4_s050,34,4,3.9170276301290468,-2.6095812266818683,1.2434497875801753e-14,-1.2764813873684915,2.385674276158479,2.0919932750768773,2.385674276158367,-3.1386065998487034,0.35484153934947216
hs300,HS300,CSIndex official amount,1349,0,hs300_ma19_d6_s050,19,6,3.618269847899225,-1.6670675091194909,0.011887320111270583,-0.3300300895246373,1.7566245561224214,3.2710224908468994,1.7566245561224338,-1.5064128059425244,0.36672885946065215
zz1000,ZZ1000,CSIndex official amount,1349,0,zz1000_ma32_d5_s050,32,5,3.20246353575811,-1.5808713574692064,1.2434497875801753e-14,-0.7514382246163223,1.816245618296442,1.2948334107411696,1.8162456182964757,-2.276451721480786,0.3548415393494384
sz50,SZ50,CSIndex official amount,1349,0,sz50_ma39_d4_s050,39,4,2.3968254115111023,-2.1917560385347414,1.2434497875801753e-14,-2.287201325573122,1.90920619845636,1.4583626236298848,1.9092061984563706,-2.340322915772507,0.354841539349394
cyb,CYB,Sohu amount,1349,0,cyb_ma14_d17_s050,14,17,1.9702976979005928,0.5118604328466567,0.0,0.8639253339987469,0.28099335439437745,1.440836211378361,0.28099335439433304,0.44599417417061815,0.0
