candidate,ma,days,defense_score,robust_pass,recent_pass,relaxed_recent_pass,full_annual_delta_pp,full_max_dd_delta_pp,last_10y_annual_delta_pp,last_10y_max_dd_delta_pp,last_5y_annual_delta_pp,last_5y_max_dd_delta_pp,last_3y_annual_delta_pp,last_3y_max_dd_delta_pp,last_1y_annual_delta_pp,last_1y_max_dd_delta_pp,full_defense_days_pct,last_10y_defense_days_pct,last_5y_defense_days_pct,last_3y_defense_days_pct,full_switch_count,last_10y_switch_count,last_5y_switch_count,last_3y_switch_count
zz500_ma28_d5_s050,28,5,3.389482094682516,False,True,True,-2.5293929349730497,0.3420547283266906,-2.056356671543959,-0.0127868110227016,-0.8640107402150292,1.9758080591576024,1.6506456223754924,1.975808059157691,5.568515451948318,2.408039836879384,28.261642374688943,28.43016069221261,27.58051197357556,32.231404958677686,186,161,84,54
zz500_ma35_d5_s050,35,5,3.1467335221760564,False,True,True,-3.281430080444548,-0.0388893299409378,-2.8460710777430407,-0.0939305315933882,-0.6844535635460964,2.1400340764269785,1.4711611080905804,2.1400340764269785,3.5735562878947285,2.140034076427068,30.287948809100605,29.995879686856203,29.39719240297275,33.88429752066116,180,157,82,56
zz500_ma37_d5_s050,37,5,3.0906823926575058,False,True,True,-3.1270415170360444,0.1059476057642232,-2.790633212569982,1.2434497875801752e-14,-0.870988235459059,2.1400340764270336,1.2298761247538508,2.140034076427,3.5735562878947285,2.140034076427068,30.643441166014927,30.40791100123609,29.975227085053675,33.7465564738292,182,159,84,60
zz500_ma40_d5_s050,40,5,2.880781091905684,False,True,True,-3.286950967745049,-0.3100773593223138,-2.91679830826903,1.2434497875801752e-14,-0.4656328996616174,2.060410173793059,1.057391376230843,2.060410173793093,3.156048517343568,2.0604101737930485,32.029861357980806,32.138442521631646,31.37902559867878,34.9862258953168,172,149,78,54
zz500_ma34_d5_s050,34,5,2.834856560554284,False,True,True,-3.3795264520796167,-0.4051911344897583,-2.7752425213416707,-0.0939305315934877,-0.9979161449501532,2.1400340764269554,1.273192112124267,2.1400340764270336,3.5735562878947285,2.140034076427068,29.82580874511198,29.748660898228263,29.39719240297275,33.7465564738292,182,157,82,54
zz500_ma39_d5_s050,39,5,2.769812547940356,False,True,True,-3.3699305863649656,0.0635200175255867,-3.0641207926942045,1.2434497875801752e-14,-0.7321012782636878,2.060410173793038,1.062446462903612,2.0604101737930485,3.2203277735287195,2.0604101737931373,31.603270529683613,31.437989287185825,30.14037985136251,33.608815426997246,178,155,82,56
zz500_ma41_d5_s050,41,5,2.735487652229777,False,True,True,-3.39727750827894,-0.1991835115717322,-2.9741347966269807,4.618527782440651e-14,-0.5684196941409674,2.060410173793072,0.8714808558409679,2.0604101737930822,3.3651491565294123,2.060410173793093,32.314255243512264,32.34445817882159,31.37902559867878,35.12396694214876,170,147,78,54
zz500_ma38_d5_s050,38,5,2.707337768667728,False,True,True,-3.324249988477068,0.1059476057642232,-3.0174600572544747,1.2434497875801752e-14,-0.90519126443791,2.060410173793072,1.0427123609734643,2.0604101737930485,3.2203277735287195,2.0604101737931373,30.856736580163524,30.655129789864027,29.81007431874484,33.608815426997246,182,159,82,58
zz500_ma26_d6_s050,26,6,2.594559228094509,False,True,True,-1.672190519961724,0.3548415393494721,-1.2215857110275934,0.0,-0.2410067726888591,1.3225495966135536,1.1840917837764984,1.3225495966135643,6.235879481092479,2.096442669933575,24.209029505865622,24.47466007416564,23.038810900082577,26.997245179063363,152,128,66,46
zz500_ma26_d8_s050,26,8,2.235102100572117,False,True,True,-1.7661975645267385,-0.2590209056534931,-1.090930792279309,1.2434497875801752e-14,-0.1021342932243456,1.2624483037249288,0.742986524574853,1.26244830372495,6.799970749026162,2.072694880851067,18.983291859225027,19.365471775854964,17.91907514450867,20.9366391184573,126,104,56,42
