window,sleeve,nominal_weight,effective_weight_latest,sleeve_vol,corr_to_portfolio,variance_contribution_pct,annual_vol_contribution
60d,Sub-A,0.1,0.0624749846937944,0.0942624265554423,0.32081072204107763,0.027051774063351942,0.0019119018461752572
60d,Sub-A-DK,0.15,0.20140518417889247,0.1587325768574842,-0.11361581375816508,-0.05787005830580055,-0.004090004265672932
60d,Sub-B,0.6,0.4284615344923874,0.17524642434749704,0.7993674016827179,0.8580016911340966,0.06063983136407693
60d,Microcap,0.15,0.30765829663492583,0.1017219622069989,0.3946416639488671,0.17281659310835207,0.012213925883004958
252d,Sub-A,0.1,0.0624749846937944,0.1805190794729751,0.4986363762433709,0.06471261716748809,0.005586902971707351
252d,Sub-A-DK,0.15,0.20140518417889247,0.16903737774423266,0.4791726409832867,0.17781691810910694,0.015351656472684343
252d,Sub-B,0.6,0.4284615344923874,0.1712554275503323,0.7690869602213193,0.6718788388011817,0.05800602796530834
252d,Microcap,0.15,0.30765829663492583,0.11315309787869277,0.22386004138634039,0.08559162592222329,0.00738947256576696
full_common,Sub-A,0.1,0.0624749846937944,0.16199818833343027,0.2668544486655904,0.04127116131513714,0.0029950944017777476
full_common,Sub-A-DK,0.15,0.20140518417889247,0.16671284602231176,0.3653669180853882,0.21774914625318903,0.015802299430222454
full_common,Sub-B,0.6,0.4284615344923874,0.12989350558243837,0.8016831188164052,0.5641150692157547,0.04093846240151431
full_common,Microcap,0.15,0.30765829663492583,0.10899717804833303,0.3413704069771421,0.1768646232159192,0.012835263801317873
