,Sub-A,Sub-A-DK,Sub-B,Microcap
Sub-A,1.0,0.5811297190712814,0.19709033708123344,-0.07916015355483004
Sub-A-DK,0.5811297190712814,1.0,-0.010657500183728139,-0.02547846308417891
Sub-B,0.19709033708123344,-0.010657500183728139,1.0,-0.20069970582197502
Microcap,-0.07916015355483004,-0.02547846308417891,-0.20069970582197502,1.0
