peak_date,start_date,trough_date,recovery_date,max_drawdown,drawdown_days,recovered
2015-12-25,2015-12-26,2016-01-15,2016-06-08,-0.0719561276245656,165,True
2018-01-28,2018-01-29,2018-03-25,2018-07-25,-0.06984444006523438,177,True
2024-04-07,2024-04-08,2024-05-13,2024-09-24,-0.05853843325880714,169,True
2020-02-23,2020-02-24,2020-02-28,2020-05-07,-0.057494113376138856,73,True
2026-02-11,2026-02-12,2026-03-26,,-0.05298436233590087,64,False
2024-12-16,2024-12-17,2024-12-30,2025-02-19,-0.051253050168666436,64,True
2022-03-08,2022-03-09,2022-07-06,2022-08-09,-0.04984138879698263,153,True
2019-09-04,2019-09-05,2019-11-24,2019-12-24,-0.048465724044804315,110,True
2018-10-03,2018-10-04,2018-10-11,2018-11-07,-0.04393133209759559,34,True
2021-11-20,2021-11-21,2021-12-13,2022-01-04,-0.04325468844156688,44,True
