trade_id,strategy,symbol,allocation,entry_date,exit_date,entry_price,exit_price,side,holding_days,is_open_trade
958,Sub-B,SUBB_T0958,IBIT:3.9%(比特币); PDBC:19.0%(大宗商品); EMXC:35.1%(新兴市场(除中国)); QQQM:59.3%(Nasdaq 100),2018-01-26,2018-01-31,1.0,0.9983881485477323,long,4,False
959,Sub-B,SUBB_T0959,IBIT:4.5%(比特币); PDBC:18.1%(大宗商品); EMXC:30.6%(新兴市场(除中国)); QQQM:66.8%(Nasdaq 100),2018-02-01,2018-02-01,1.0,0.9913960746835923,long,1,False
960,Sub-B,SUBB_T0960,IBIT:4.5%(比特币); PDBC:18.1%(大宗商品); EMXC:30.6%(新兴市场(除中国)); QQQM:66.8%(Nasdaq 100),2018-02-02,2018-02-02,1.0,0.9830630817274985,long,1,False
961,Sub-B,SUBB_T0961,IBIT:4.5%(比特币); PDBC:18.1%(大宗商品); EMXC:30.6%(新兴市场(除中国)); QQQM:66.8%(Nasdaq 100); VolReg现金,2018-02-05,2018-02-07,1.0,1.0,long,3,False
962,Sub-B,SUBB_T0962,IBIT:7.7%(比特币); PDBC:21.7%(大宗商品); EMXC:32.8%(新兴市场(除中国)); QQQM:41.1%(Nasdaq 100); VolReg现金,2018-02-08,2018-02-08,1.0,1.0,long,1,False
963,Sub-B,SUBB_T0963,IBIT:7.7%(比特币); PDBC:21.7%(大宗商品); EMXC:32.8%(新兴市场(除中国)); QQQM:41.1%(Nasdaq 100); VolReg现金,2018-02-09,2018-02-14,1.0,1.0,long,4,False
964,Sub-B,SUBB_T0964,IBIT:10.5%(比特币); EMXC:45.7%(新兴市场(除中国)); QQQM:44.4%(Nasdaq 100); VolReg现金,2018-02-15,2018-02-15,1.0,1.0,long,1,False
965,Sub-B,SUBB_T0965,IBIT:10.5%(比特币); EMXC:45.7%(新兴市场(除中国)); QQQM:44.4%(Nasdaq 100); VolReg现金,2018-02-16,2018-02-21,1.0,1.0,long,3,False
966,Sub-B,SUBB_T0966,BIL:0.2%(BIL); IBIT:8.8%(比特币); PDBC:21.1%(大宗商品); EMXC:29.9%(新兴市场(除中国)); QQQM:40.0%(Nasdaq 100); VolReg现金,2018-02-22,2018-02-22,1.0,1.0,long,1,False
967,Sub-B,SUBB_T0967,BIL:0.2%(BIL); IBIT:8.8%(比特币); PDBC:21.1%(大宗商品); EMXC:29.9%(新兴市场(除中国)); QQQM:40.0%(Nasdaq 100); VolReg现金,2018-02-23,2018-02-23,1.0,1.0,long,1,False
968,Sub-B,SUBB_T0968,BIL:0.2%(BIL); IBIT:8.8%(比特币); PDBC:21.1%(大宗商品); EMXC:29.9%(新兴市场(除中国)); QQQM:40.0%(Nasdaq 100),2018-02-26,2018-02-28,1.0,0.9879277826770756,long,3,False
969,Sub-B,SUBB_T0969,BIL:7.7%(BIL); IBIT:8.6%(比特币); PDBC:19.4%(大宗商品); EMXC:28.0%(新兴市场(除中国)); QQQM:36.2%(Nasdaq 100),2018-03-01,2018-03-01,1.0,0.997720832986549,long,1,False
970,Sub-B,SUBB_T0970,BIL:7.7%(BIL); IBIT:8.6%(比特币); PDBC:19.4%(大宗商品); EMXC:28.0%(新兴市场(除中国)); QQQM:36.2%(Nasdaq 100),2018-03-02,2018-03-07,1.0,1.007131265437167,long,4,False
971,Sub-B,SUBB_T0971,BIL:6.2%(BIL); IBIT:9.7%(比特币); PDBC:18.8%(大宗商品); EMXC:26.6%(新兴市场(除中国)); QQQM:38.6%(Nasdaq 100),2018-03-08,2018-03-08,1.0,0.9958796936403942,long,1,False
972,Sub-B,SUBB_T0972,BIL:6.2%(BIL); IBIT:9.7%(比特币); PDBC:18.8%(大宗商品); EMXC:26.6%(新兴市场(除中国)); QQQM:38.6%(Nasdaq 100),2018-03-09,2018-03-14,1.0,1.005792137522369,long,4,False
973,Sub-B,SUBB_T0973,BIL:2.4%(BIL); IBIT:9.2%(比特币); EMXC:40.9%(新兴市场(除中国)); QQQM:47.5%(Nasdaq 100),2018-03-15,2018-03-15,1.0,0.998575238292192,long,1,False
974,Sub-B,SUBB_T0974,BIL:2.4%(BIL); IBIT:9.2%(比特币); EMXC:40.9%(新兴市场(除中国)); QQQM:47.5%(Nasdaq 100),2018-03-16,2018-03-21,1.0,0.9744244802957758,long,4,False
975,Sub-B,SUBB_T0975,BIL:3.0%(BIL); IBIT:11.1%(比特币); PDBC:18.2%(大宗商品); EMXC:30.4%(新兴市场(除中国)); QQQM:37.4%(Nasdaq 100),2018-03-22,2018-03-22,1.0,0.9862122160950265,long,1,False
976,Sub-B,SUBB_T0976,BIL:3.0%(BIL); IBIT:11.1%(比特币); PDBC:18.2%(大宗商品); EMXC:30.4%(新兴市场(除中国)); QQQM:37.4%(Nasdaq 100),2018-03-23,2018-03-26,1.0,1.0126506813938672,long,2,False
977,Sub-B,SUBB_T0977,BIL:3.0%(BIL); IBIT:11.1%(比特币); PDBC:18.2%(大宗商品); EMXC:30.4%(新兴市场(除中国)); QQQM:37.4%(Nasdaq 100); VolReg现金,2018-03-27,2018-03-28,1.0,1.0,long,2,False
978,Sub-B,SUBB_T0978,BIL:3.1%(BIL); IBIT:11.2%(比特币); PDBC:20.5%(大宗商品); EMXC:35.5%(新兴市场(除中国)); QQQM:29.7%(Nasdaq 100); VolReg现金,2018-03-29,2018-03-29,1.0,1.0,long,1,False
979,Sub-B,SUBB_T0979,BIL:3.1%(BIL); IBIT:11.2%(比特币); PDBC:20.5%(大宗商品); EMXC:35.5%(新兴市场(除中国)); QQQM:29.7%(Nasdaq 100); VolReg现金,2018-04-02,2018-04-04,1.0,1.0,long,3,False
980,Sub-B,SUBB_T0980,IBIT:12.4%(比特币); PDBC:21.2%(大宗商品); EMXC:36.5%(新兴市场(除中国)); QQQM:32.1%(Nasdaq 100); VolReg现金,2018-04-05,2018-04-05,1.0,1.0,long,1,False
981,Sub-B,SUBB_T0981,IBIT:12.4%(比特币); PDBC:21.2%(大宗商品); EMXC:36.5%(新兴市场(除中国)); QQQM:32.1%(Nasdaq 100); VolReg现金,2018-04-06,2018-04-11,1.0,1.0,long,4,False
982,Sub-B,SUBB_T0982,IBIT:9.9%(比特币); PDBC:20.6%(大宗商品); EMXC:43.4%(新兴市场(除中国)); QQQM:33.1%(Nasdaq 100); VolReg现金,2018-04-12,2018-04-12,1.0,1.0,long,1,False
983,Sub-B,SUBB_T0983,IBIT:9.9%(比特币); PDBC:20.6%(大宗商品); EMXC:43.4%(新兴市场(除中国)); QQQM:33.1%(Nasdaq 100); VolReg现金,2018-04-13,2018-04-16,1.0,1.0,long,2,False
984,Sub-B,SUBB_T0984,IBIT:9.9%(比特币); PDBC:20.6%(大宗商品); EMXC:43.4%(新兴市场(除中国)); QQQM:33.1%(Nasdaq 100),2018-04-17,2018-04-18,1.0,1.0142624063695298,long,2,False
985,Sub-B,SUBB_T0985,IBIT:9.8%(比特币); PDBC:20.8%(大宗商品); EMXC:44.3%(新兴市场(除中国)); QQQM:34.2%(Nasdaq 100),2018-04-19,2018-04-19,1.0,0.9988488132895931,long,1,False
986,Sub-B,SUBB_T0986,IBIT:9.8%(比特币); PDBC:20.8%(大宗商品); EMXC:44.3%(新兴市场(除中国)); QQQM:34.2%(Nasdaq 100),2018-04-20,2018-04-25,1.0,0.9886620252718891,long,4,False
987,Sub-B,SUBB_T0987,IBIT:7.6%(比特币); PDBC:20.0%(大宗商品); EMXC:44.9%(新兴市场(除中国)); QQQM:46.1%(Nasdaq 100),2018-04-26,2018-04-26,1.0,1.0117227295667652,long,1,False
