window,trade_count,win_rate,avg_profit_pct,median_profit_pct,avg_mfe_pct,avg_mae_pct,median_profit_capture,avg_giveback_pct,profit_then_loss_rate,deep_mae_profit_rate
1Y,106,0.5849056603773585,0.004155274816891471,0.0035574567793069667,0.010168460175724259,-0.0064195466692463475,1.0,0.006013185358832788,0.07547169811320754,0.0
3Y,316,0.5569620253164557,0.0028437916490658844,0.002142427504924327,0.009321118621292734,-0.006418661142204628,1.0,0.006477326972226848,0.0759493670886076,0.0
5Y,504,0.5357142857142857,0.0022775399382621475,0.0013015480810485425,0.008503116517088485,-0.006076824835431652,1.0,0.006225576578826337,0.08531746031746032,0.0
10Y,1029,0.54421768707483,0.0024839875322495686,0.0014084412491712772,0.00811985034365224,-0.005689199768669835,1.0,0.005635862811402671,0.08163265306122448,0.0
FULL,1803,0.5496394897393233,0.0018381610856596242,0.001281600461961574,0.007239952232563999,-0.005513625602361827,1.0,0.0054017911469043745,0.08319467554076539,0.0
