case_id,family,volume_enabled,old_enabled,clear_enabled,zz_ma,zz_days,cyb_ma,cyb_days,old_scale,ratio_ma,ratio_days,clear_scale,segment,start,end,rows,old_signal_days,clear_signal_days,overlay_days,avg_weight,avg_turnover,cagr,vol,sharpe,max_dd,calmar,final_nav
volume_off,off,False,False,False,15.0,3.0,10.0,3.0,0.25,30.0,15.0,0.0,last_1y,2025-05-06,2026-04-30,242,0,0,0,0.9276641334454363,0.15097793864433304,1.048050162182394,0.2563726822902202,2.901063310708443,-0.09816328052377454,10.676600828642465,2.023080033842134
volume_off,off,False,False,False,15.0,3.0,10.0,3.0,0.25,30.0,15.0,0.0,last_3y,2023-05-04,2026-04-30,726,0,0,0,0.8139899501366499,0.19841267116182434,0.3744107423385412,0.23883448473601826,1.4560100081286087,-0.22420016112441332,1.6699842696846812,2.5878052433294325
volume_off,off,False,False,False,15.0,3.0,10.0,3.0,0.25,30.0,15.0,0.0,last_5y,2021-05-06,2026-04-30,1210,0,0,0,0.9061506799061962,0.2082456462799432,0.2767280687505751,0.22712166702039355,1.1934415359361794,-0.23432891149092316,1.180938651529964,3.378131272467623
volume_off,off,False,False,False,15.0,3.0,10.0,3.0,0.25,30.0,15.0,0.0,last_10y,2016-05-04,2026-04-30,2428,0,0,0,0.9288906600122058,0.23360260909565378,0.25430400272052167,0.22806784112846365,1.1110243079587938,-0.29994017575321363,0.8478490821775049,9.612043486381099
volume_off,off,False,False,False,15.0,3.0,10.0,3.0,0.25,30.0,15.0,0.0,full_common,2010-09-29,2026-04-30,3785,0,0,0,0.8986329064491148,0.22768298748389684,0.3216280786307595,0.24483989877736315,1.2668834345828388,-0.29994017575321397,1.0723074287166852,77.15216023284913
default,default,True,True,True,15.0,3.0,10.0,3.0,0.25,30.0,15.0,0.0,last_1y,2025-05-06,2026-04-30,242,93,36,107,0.6903409090909091,0.1890495867768595,0.9879376761573204,0.19620500195838675,3.571552337153125,-0.062068609892664384,15.916864867213345,1.9647017214835085
default,default,True,True,True,15.0,3.0,10.0,3.0,0.25,30.0,15.0,0.0,last_3y,2023-05-04,2026-04-30,726,318,100,366,0.5966899408946666,0.1941267310726942,0.45636253744479527,0.19262554046519376,2.0555154824680004,-0.11042852267079417,4.1326509348068345,3.0770334571631106
default,default,True,True,True,15.0,3.0,10.0,3.0,0.25,30.0,15.0,0.0,last_5y,2021-05-06,2026-04-30,1210,520,111,576,0.6814127248673785,0.2264966998006413,0.33632021295755554,0.18190633223826314,1.691134021900562,-0.1667834505756216,2.0165083034126576,4.240315398072471
default,default,True,True,True,15.0,3.0,10.0,3.0,0.25,30.0,15.0,0.0,last_10y,2016-05-04,2026-04-30,2428,1107,183,1186,0.6825946478720907,0.24509656385207917,0.30252248067925946,0.1851277135810656,1.5251547846816644,-0.19160178344553136,1.578912655399477,14.009998378143933
default,default,True,True,True,15.0,3.0,10.0,3.0,0.25,30.0,15.0,0.0,full_common,2010-09-29,2026-04-30,3785,1572,240,1680,0.6988305507337653,0.24610133053130195,0.30709559705262257,0.20904280984729176,1.3917841487265656,-0.3539139576637862,0.86771259059627,64.94054623460774
old_only_default,old_only,True,True,False,15.0,3.0,10.0,3.0,0.25,,,1.0,last_1y,2025-05-06,2026-04-30,242,93,0,93,0.7351185007433955,0.1762435848156135,1.018005512226261,0.23396539427807014,3.0928223900671625,-0.0911136620380536,11.172918412620614,1.9939058560037142
old_only_default,old_only,True,True,False,15.0,3.0,10.0,3.0,0.25,,,1.0,last_3y,2023-05-04,2026-04-30,726,318,0,318,0.6288413205604645,0.19559496423699665,0.4546575184659094,0.21403571464272506,1.8648827737914913,-0.12987345817954776,3.5007731744337893,3.066275782236748
old_only_default,old_only,True,True,False,15.0,3.0,10.0,3.0,0.25,,,1.0,last_5y,2021-05-06,2026-04-30,1210,520,0,520,0.7056622303528077,0.22117929259178476,0.33783348425710247,0.1958847845967521,1.5898449445046399,-0.14332718385991272,2.3570789236136758,4.264296270420511
old_only_default,old_only,True,True,False,15.0,3.0,10.0,3.0,0.25,,,1.0,last_10y,2016-05-04,2026-04-30,2428,1106,0,1106,0.7082708841313038,0.24646227113267372,0.29206330473504893,0.1947550211960986,1.417659224480704,-0.2246910674535222,1.2998438613740746,12.926080962973646
old_only_default,old_only,True,True,False,15.0,3.0,10.0,3.0,0.25,,,1.0,full_common,2010-09-29,2026-04-30,3785,1571,0,1571,0.7252317656291104,0.2465434083009533,0.31751911192432414,0.21899947305432443,1.3746873118164362,-0.3539139576637865,0.897164706417041,73.49766458925791
clear_only_default,clear_only,True,False,True,,,,,1.0,30.0,15.0,0.0,last_1y,2025-05-06,2026-04-30,242,0,36,36,0.8553719008264463,0.16115702479338842,1.0388546409476342,0.21904629766754075,3.335337356843017,-0.09816328052377454,10.58292505511804,2.014151713615267
clear_only_default,clear_only,True,False,True,,,,,1.0,30.0,15.0,0.0,last_3y,2023-05-04,2026-04-30,726,0,100,100,0.7548793049724456,0.19475386027640637,0.4119708020036741,0.21729007714863732,1.7024599745617912,-0.1647686500040222,2.5002984608638683,2.8050389526004156
clear_only_default,clear_only,True,False,True,,,,,1.0,30.0,15.0,0.0,last_5y,2021-05-06,2026-04-30,1210,0,111,111,0.86697304739887,0.2123151063433029,0.2956777321491506,0.2143942882221933,1.3202180706624829,-0.23312332833388194,1.26833180644057,3.635465057569752
clear_only_default,clear_only,True,False,True,,,,,1.0,30.0,15.0,0.0,last_10y,2016-05-04,2026-04-30,2428,0,183,183,0.8866495619007442,0.23077748459992534,0.2953747807961735,0.21630801664111704,1.3088037299973687,-0.23312332833388183,1.2670322738921025,13.260797036191704
clear_only_default,clear_only,True,False,True,,,,,1.0,30.0,15.0,0.0,full_common,2010-09-29,2026-04-30,3785,0,240,240,0.862105890028462,0.22822976583556884,0.3323741632726389,0.23386185536673446,1.349888156796534,-0.2775605094749658,1.1974836186219673,87.52973866817482
ratio_ma20_d10,ratio_scan,True,True,True,15.0,3.0,10.0,3.0,0.25,20.0,10.0,0.0,last_1y,2025-05-06,2026-04-30,242,93,37,109,0.6345557851239669,0.19369834710743802,0.7902809263196553,0.18407601643444413,3.229402554040521,-0.07540852254700914,10.479994828528827,1.772528826484048
ratio_ma20_d10,ratio_scan,True,True,True,15.0,3.0,10.0,3.0,0.25,20.0,10.0,0.0,last_3y,2023-05-04,2026-04-30,726,318,79,347,0.583900936481427,0.2085673946609035,0.4128440333439294,0.19575479915243962,1.8702847874651947,-0.12939457199460347,3.190582317171291,2.810228650656026
ratio_ma20_d10,ratio_scan,True,True,True,15.0,3.0,10.0,3.0,0.25,20.0,10.0,0.0,last_5y,2021-05-06,2026-04-30,1210,520,113,568,0.6628922147814182,0.22989250291224458,0.290929187153506,0.18081541872343926,1.508346073493702,-0.14332718385991272,2.029825601247135,3.56955753198571
ratio_ma20_d10,ratio_scan,True,True,True,15.0,3.0,10.0,3.0,0.25,20.0,10.0,0.0,last_10y,2016-05-04,2026-04-30,2428,1107,191,1188,0.6645699119880714,0.2498798118952971,0.24231250332984966,0.18318141066341653,1.2801280490779858,-0.19983103980171113,1.212586911274105,8.732681226294865
ratio_ma20_d10,ratio_scan,True,True,True,15.0,3.0,10.0,3.0,0.25,20.0,10.0,0.0,full_common,2010-09-29,2026-04-30,3785,1572,250,1679,0.6888998009441641,0.24959206696986252,0.28266351291946656,0.2097512333678951,1.2974355257021497,-0.3539139576637864,0.7986786245599083,48.39632418788673
ratio_ma20_d15,ratio_scan,True,True,True,15.0,3.0,10.0,3.0,0.25,20.0,15.0,0.0,last_1y,2025-05-06,2026-04-30,242,93,15,96,0.7143595041322314,0.190599173553719,0.8102140116323227,0.2132451309841578,2.866660796420271,-0.111446629311722,7.269973229662353,1.7919247138652905
