bond_lb,btc_lb,btc_thr,median_stability,best_stability,median_sharpe,median_cagr
80,60,0.0,0.5141072894244241,0.6148210416103801,0.7237317326141969,0.10028931708894295
80,60,0.05,0.5743635335771341,0.6571604942859627,0.7237317326141969,0.10778003384607282
80,120,0.0,0.567641298684122,0.6547438936661231,0.7237317326141969,0.11174002499031976
80,120,0.05,0.5503974864100368,0.6351664916571284,0.7237317326141969,0.1077961791550035
100,60,0.0,0.4453625475368568,0.6044279391904415,0.678097195162286,0.08655026339817207
100,60,0.05,0.4917833836227971,0.6364770910770723,0.678097195162286,0.09394744533849542
100,120,0.0,0.49915995770988647,0.640958610481169,0.678097195162286,0.09794411553496518
100,120,0.05,0.47072602183656037,0.6255765742476724,0.678097195162286,0.09404921004435707
120,60,0.0,0.40376593178963993,0.5256005913131333,0.5798025203555667,0.0953976599907207
120,60,0.05,0.47815850894610756,0.6017692940191056,0.6201420013884534,0.10285507458156928
120,120,0.0,0.4785730180395465,0.6050630754063692,0.6435220840194548,0.10705186074133377
120,120,0.05,0.42736081787068475,0.5750059163290618,0.6137945829153414,0.10312468841507871
