config_id,equity_lb,real_lb,bond_lb,btc_lb,btc_thr,mean_cagr,median_cagr,min_cagr,std_cagr,mean_sharpe,median_sharpe,min_sharpe,std_sharpe,worst_dd,beat_base_sharpe_count,beat_base_cagr_count,better_dd_count,stability_score
eq220_ra120_bd80_btc60_thr05,220,120,80,60,0.05,0.1547974633120303,0.150118719634879,0.12123399387093925,0.03613076242968451,0.893684395957322,0.7785361593889777,0.7731010053621817,0.20416766457664587,-0.16515423167917442,2,2,2,0.6571604942859627
eq220_ra120_bd80_btc120_thr00,220,120,80,120,0.0,0.15777708471123283,0.15905758383248658,0.12123399387093925,0.03591996339714989,0.9000870362539098,0.7923089262519455,0.7785361593889777,0.1987240811774288,-0.19921216169403425,2,2,1,0.6547438936661231
eq200_ra120_bd80_btc120_thr00,200,120,80,120,0.0,0.10112035120680922,0.11187278188926242,0.05798589107851826,0.038889537456565273,0.798607184207666,0.7237317326141969,0.7165397059478218,0.13596412664779992,-0.11757987342927909,2,2,3,0.6457449619722888
eq200_ra120_bd80_btc60_thr05,200,120,80,60,0.05,0.0998001965331033,0.1079123178681447,0.05798589107851826,0.03840624862982192,0.8004755259560721,0.7237317326141969,0.7221447311930401,0.13430087695286155,-0.11757987342927909,2,2,3,0.6413765101099346
eq200_ra120_bd100_btc120_thr00,200,120,100,120,0.0,0.09293335825413022,0.09807522501444255,0.06148379157705475,0.029219934230479375,0.7403319330436977,0.72028830055295,0.6353235369149038,0.11633254128322935,-0.11876652745162179,2,2,3,0.640958610481169
eq200_ra120_bd100_btc60_thr05,200,120,100,60,0.05,0.09160097576969066,0.09407807756112385,0.06148379157705475,0.02895820239693372,0.7405136323089178,0.72028830055295,0.6358686347105641,0.11608668898727185,-0.11757987342927909,2,2,3,0.6364770910770723
eq200_ra120_bd80_btc120_thr05,200,120,80,120,0.05,0.09980557894540339,0.10792846510504495,0.05798589107851826,0.038407955023298815,0.7921878967163379,0.7237317326141969,0.6972818434738379,0.14209260959213424,-0.11757987342927909,2,2,3,0.6351664916571284
eq200_ra160_bd80_btc120_thr00,200,160,80,120,0.0,0.0902594534488504,0.09218001099136619,0.06093019638344588,0.028417694055101462,0.7331513473661609,0.7296593038158066,0.6016851113056597,0.1332465812461896,-0.11792393077997489,2,2,3,0.6291992774983786
eq200_ra120_bd100_btc120_thr05,200,120,100,120,0.05,0.09163490138900839,0.09417985441907706,0.06148379157705475,0.028962614704854922,0.7338162666982341,0.72028830055295,0.6157765378785126,0.12535238690640482,-0.12121829105634185,2,2,3,0.6255765742476724
eq200_ra160_bd80_btc60_thr05,200,160,80,60,0.05,0.08885173601723777,0.08795685869652825,0.06093019638344588,0.028379561897924066,0.7323769843599836,0.7296593038158066,0.5993620222871274,0.1343944124481868,-0.11915889175345692,2,1,3,0.6207303891996304
