equity_lb,real_lb,median_stability,best_stability,median_sharpe,median_cagr
180,120,0.5495996615960321,0.5745318730619052,0.72028830055295,0.10157219583525612
180,140,0.4250089369299144,0.4621067495748823,0.6195164127733795,0.0855990145042197
180,160,0.48561041478330536,0.567641298684122,0.678097195162286,0.08156098065997697
200,120,0.6201988079290263,0.6457449619722888,0.72028830055295,0.1017037385569296
200,140,0.48497094628445236,0.5219596881997599,0.6195164127733795,0.08572864981051531
200,160,0.5426700587975333,0.6291992774983786,0.678097195162286,0.08169013377004075
220,120,0.535060242971138,0.6571604942859627,0.7190216637884324,0.13921766123117596
220,140,0.45139981118938965,0.5781442406682138,0.6768576390726707,0.12950684955195535
220,160,0.2886993254963992,0.4128345148182172,0.619656918198512,0.11714153814023132
