sleeve,scenario,annual_delta_min,sharpe_delta_min,max_dd_delta_min,defense_days_pct
Microcap,baseline,0.0,0.0,0.0,0.0
Microcap,official_top1_volume_half,-5.800732612301939,-0.1469105098505319,0.01983491421521144,19.377036907004495
Microcap,official_top3_volume_half,-8.027691063664832,-0.20976397022674087,0.057575027187684924,27.881926187232708
Microcap,official_top1_volume_cash,-11.513702142846505,-0.42018327506926223,-0.26869067837823657,19.377036907004495
Microcap,official_top3_volume_cash,-15.800889471004375,-0.63477828588964,-1.8597787516810964,27.881926187232708
Sub-A-DK,baseline,0.0,0.0,0.0,0.0
Sub-A-DK,official_top1_volume_half,-4.004769399590224,-0.034328815993799555,2.253254277516394,20.01375570351755
Sub-A-DK,official_top3_volume_half,-5.262817537295824,-0.03704944704238322,1.9573044807691087,28.837870441142936
Sub-A-DK,official_top1_volume_cash,-8.170715953897666,-0.16522676262529168,4.143538115600034,20.01375570351755
Sub-A-DK,official_top3_volume_cash,-10.697846297948477,-0.21344148974156285,3.5392227071019757,28.837870441142936
