ma_window,slope_window,cagr_full_common,cagr_last_10y,cagr_last_1y,cagr_last_3y,cagr_last_5y,calmar_full_common,calmar_last_10y,calmar_last_1y,calmar_last_3y,calmar_last_5y,max_dd_full_common,max_dd_last_10y,max_dd_last_1y,max_dd_last_3y,max_dd_last_5y,sharpe_full_common,sharpe_last_10y,sharpe_last_1y,sharpe_last_3y,sharpe_last_5y,recent_weighted_sharpe,worst_recent_max_dd,mean_recent_cagr,delta_recent_weighted_sharpe_vs_base,delta_mean_recent_cagr_vs_base,delta_worst_recent_max_dd_vs_base
60,20,0.2689464500868015,0.25578771317208826,0.8651797087802104,0.37651153036102825,0.3043138163745802,1.0698513253979434,1.4299072912549127,10.359887999459621,3.5492989599337674,2.0780828267123894,-0.2513867522543507,-0.17888412398233478,-0.08351245774330174,-0.10608053438475473,-0.1464396955033871,1.3900860408677813,1.3990139310797363,3.268391362615172,1.856008377808149,1.614202556098124,1.9146846209214317,-0.17888412398233478,0.4504481921719768,0.0,0.0,0.0
50,20,0.22412769204965,0.22020355961609672,0.8288184294169825,0.3211354380398703,0.2409149011888685,0.9395788586628074,1.0222706100464727,12.190932231449166,3.0650625008382115,1.5501018003894103,-0.23854058654387422,-0.2154063292557009,-0.06798646844076983,-0.10477288406094443,-0.15541876096676155,1.1994404707048527,1.2446872156224782,3.1972683721136943,1.6461009244799252,1.3582703294132727,1.717823277023045,-0.2154063292557009,0.4027680820654545,-0.1968613438983866,-0.04768011010652229,-0.03652220527336614
50,25,0.2316681329354804,0.23189707115186087,0.6513215115528832,0.29228479262718454,0.28909051542403064,0.7511199348559103,0.8454145635306811,7.41977414223126,1.80020379467842,1.43884888191059,-0.30843028148350504,-0.274299830113401,-0.08778185145094175,-0.16236205783545576,-0.20091791365897915,1.194214235767044,1.2611733925996487,2.6512373263888698,1.481704523530942,1.5308486021198282,1.6412552018260471,-0.274299830113401,0.3661484726889898,-0.27342941909538454,-0.08429971948298698,-0.0954157061310662
60,25,0.23199389493208455,0.22183723024061597,0.6684156414609117,0.28811706940530213,0.24631513594296028,0.7445039609417525,0.7119096674799812,7.2678547085350935,2.467349201156897,1.2938262745759042,-0.31160867786200397,-0.3116086778620042,-0.09196876771297446,-0.11677190616966948,-0.19037728695353517,1.201862814234031,1.208208893182604,2.856858165168158,1.4615325015526979,1.3166099468868455,1.5821099157064544,-0.3116086778620042,0.3561712692624475,-0.33257470521497723,-0.09427692290952927,-0.13272455387966942
80,20,0.19732407970137067,0.20553718560878464,0.7705841717571984,0.280214018153929,0.1952287371206558,0.6196752247559093,0.7472452781891723,8.775795405410323,2.3763902035748403,1.0244827774880376,-0.31843144895634135,-0.27505986535889615,-0.0878079007268252,-0.11791582785200794,-0.1905632202030213,1.0688105395416534,1.1519358273368137,3.1493726686228345,1.5136031514424235,1.1267836625536296,1.569331659292566,-0.27505986535889615,0.36289102816014196,-0.34535296162886575,-0.08755716401183483,-0.09617574137656137
40,25,0.2327091756569748,0.2186566044354381,0.6023432792312562,0.25419415232287434,0.2555114023604119,0.7012452658192481,0.7300737302584865,6.808053095004543,1.6962706706389703,1.4346428858905977,-0.3318513321941735,-0.29949934557708513,-0.08847511481266646,-0.14985471170536813,-0.17810104861168674,1.224026853053858,1.215432512398263,2.580806424900815,1.344030155389883,1.398188205407575,1.5292122668739718,-0.29949934557708513,0.33267635958749514,-0.38547235404745983,-0.11777183258448165,-0.12061522159475035
70,20,0.19826304136718265,0.20672190830940118,0.7049489621500453,0.2869295245471901,0.21781413101203007,0.5973633491753216,0.9087253402083598,6.460817404296122,2.365216716630822,1.6091719129152928,-0.33189689598615457,-0.2274855769533205,-0.10911142012484198,-0.12131214976186722,-0.13535790008751902,1.0674165841344065,1.1498435543481094,2.7717061759217945,1.477996941336035,1.2092504559914612,1.528769048605109,-0.2274855769533205,0.35410363150466667,-0.38591557231632256,-0.09634456066731012,-0.048601452970985726
40,20,0.2099811193119192,0.18630059411933653,0.7041513576632488,0.3006068027569673,0.18723978136107844,0.8542370256620543,0.7579008337562586,6.572893422669778,1.9156921454883282,1.001672287593019,-0.2458113064686921,-0.24581130646869154,-0.10712958698442376,-0.1569181162353932,-0.1869271853482226,1.1378957775791143,1.0739137647234358,2.8645082957028847,1.567676120975916,1.0916296005351267,1.521520311592813,-0.24581130646869154,0.34457463397515775,-0.39316430932861857,-0.10587355819681904,-0.06692718248635676
70,25,0.16781706265952678,0.1945943631657776,0.6912498974024057,0.23134730623954147,0.21221475546788615,0.490305616726754,0.5864179121340869,7.5321498370051625,1.328231198577584,1.0713115440323722,-0.34227032474125374,-0.33183563997493104,-0.09177325363421762,-0.17417698551825433,-0.19808874145901445,0.9281178254262572,1.0883442894084703,2.9451791199286994,1.2375372953507402,1.1858340238881826,1.4532084731341983,-0.33183563997493104,0.33235158056890274,-0.46147614778723334,-0.11809661160307405,-0.15295151599259627
80,25,0.16572040018551037,0.18511647542760246,0.6902350346169916,0.2606189220233024,0.19233665999064797,0.49862575436322987,0.5606026130548021,7.3625082628246705,1.7955456271891566,0.9607841673620418,-0.33235427319060895,-0.3302097976655458,-0.09374998437722348,-0.14514747944962514,-0.2001871664046394,0.9186239218136685,1.0290859049377175,2.830821139072414,1.3630835818807274,1.0515697394169365,1.424114719055702,-0.3302097976655458,0.3320767730146361,-0.4905699018657297,-0.11837141915734067,-0.15132567368321104
