case,window,requested_years,start,end,rows,elapsed_years,annual_return,max_drawdown,total_return,annual_return_delta_vs_base,max_drawdown_delta_vs_base,total_return_delta_vs_base
V76_base,10Y,10,2016-05-06,2026-05-06,2596,9.998631074606434,0.31394257461955877,-0.10013833651121518,14.332095910749544,0.0,0.0,0.0
V76_base,8Y,8,2018-05-07,2026-05-06,2079,7.997262149212868,0.30598696872540443,-0.10013833651121529,7.4565520237909,0.0,0.0,0.0
V76_base,6Y,6,2020-05-06,2026-05-06,1559,5.9986310746064335,0.3490659338499005,-0.10013833651121518,5.025887909791472,0.0,0.0,0.0
V76_base,4Y,4,2022-05-06,2026-05-06,1039,4.0,0.3081851223898344,-0.1001383365112154,1.928713053343838,0.0,0.0,0.0
V76_base,2Y,2,2024-05-06,2026-05-06,520,1.998631074606434,0.41590712149871956,-0.10013833651121529,1.003838778595453,0.0,0.0,0.0
pos_025_120_015,10Y,10,2016-05-06,2026-05-06,2596,9.998631074606434,0.31149239055813305,-0.10032445741061291,14.048615243089444,-0.0024501840614257198,-0.0001861208993977348,-0.2834806676601005
pos_025_120_015,8Y,8,2018-05-07,2026-05-06,2079,7.997262149212868,0.3035488499188348,-0.1003244574106128,7.331117986040159,-0.0024381188065696335,-0.00018612089939751275,-0.12543403775074147
pos_025_120_015,6Y,6,2020-05-06,2026-05-06,1559,5.9986310746064335,0.3462777199162004,-0.10032445741061291,4.951564923559092,-0.002788213933700101,-0.0001861208993977348,-0.07432298623238065
pos_025_120_015,4Y,4,2022-05-06,2026-05-06,1039,4.0,0.30619659140776223,-0.10032445741061302,1.9109462371635728,-0.0019885309820721897,-0.00018612089939762377,-0.0177668161802651
pos_025_120_015,2Y,2,2024-05-06,2026-05-06,520,1.998631074606434,0.41238137885433357,-0.10032445741061291,0.9938785124950165,-0.0035257426443859874,-0.00018612089939762377,-0.009960266100436543
wait3,10Y,10,2016-05-06,2026-05-06,2596,9.998631074606434,0.31407848862007004,-0.1001323615672739,14.34796061627902,0.00013591400051127245,5.974943941278177e-06,0.015864705529475387
wait3,8Y,8,2018-05-07,2026-05-06,2079,7.997262149212868,0.306101926349976,-0.1001323615672739,7.462506826044828,0.00011495762457158776,5.974943941389199e-06,0.005954802253928193
wait3,6Y,6,2020-05-06,2026-05-06,1559,5.9986310746064335,0.3496622282579629,-0.10013236156727401,5.041882773734793,0.0005962944080624144,5.9749439411671545e-06,0.015994863943320503
wait3,4Y,4,2022-05-06,2026-05-06,1039,4.0,0.30883487685987965,-0.10013236156727401,1.9345359680904703,0.0006497544700452274,5.974943941389199e-06,0.005822914746632435
wait3,2Y,2,2024-05-06,2026-05-06,520,1.998631074606434,0.41599138728522345,-0.10013236156727401,1.0040771339048322,8.426578650388983e-05,5.974943941278177e-06,0.00023835530937921234
volume_cyb_ma15_d5,10Y,10,2016-05-06,2026-05-06,2596,9.998631074606434,0.3190242185854868,-0.09823608659906347,14.935404056465938,0.005081643965928029,0.00190224991215171,0.6033081457163938
volume_cyb_ma15_d5,8Y,8,2018-05-07,2026-05-06,2079,7.997262149212868,0.31248928317732627,-0.09823608659906347,7.799192099853544,0.006502314451921842,0.001902249912151821,0.3426400760626436
volume_cyb_ma15_d5,6Y,6,2020-05-06,2026-05-06,1559,5.9986310746064335,0.3557339434469333,-0.09823608659906347,5.206773262276201,0.006668009597032842,0.00190224991215171,0.18088535248472848
volume_cyb_ma15_d5,4Y,4,2022-05-06,2026-05-06,1039,4.0,0.31534231529260626,-0.09823608659906358,1.9933339218683912,0.007157192902771836,0.001902249912151821,0.06462086852455329
volume_cyb_ma15_d5,2Y,2,2024-05-06,2026-05-06,520,1.998631074606434,0.4306734889960393,-0.09823608659906347,1.045823371778373,0.014766367497319743,0.001902249912151821,0.041984593182919916
pos_plus_wait3,10Y,10,2016-05-06,2026-05-06,2596,9.998631074606434,0.3116200223179353,-0.10032271793651248,14.063264656487517,-0.0023225523016234817,-0.0001843814252973086,-0.26883125426202703
pos_plus_wait3,8Y,8,2018-05-07,2026-05-06,2079,7.997262149212868,0.3036517687354343,-0.10032271793651248,7.336379758415722,-0.002335199989970116,-0.0001843814252971976,-0.120172265375178
pos_plus_wait3,6Y,6,2020-05-06,2026-05-06,1559,5.9986310746064335,0.34683393478346614,-0.1003227179365126,4.966330136944275,-0.0022319990664343425,-0.00018438142529741963,-0.059557772847197654
pos_plus_wait3,4Y,4,2022-05-06,2026-05-06,1039,4.0,0.3067681728538034,-0.10032271793651248,1.916044812113697,-0.001416949536030998,-0.00018438142529708657,-0.012668241230140875
pos_plus_wait3,2Y,2,2024-05-06,2026-05-06,520,1.998631074606434,0.41243717731383334,-0.10032271793651237,0.99403595069706,-0.00346994418488622,-0.00018438142529708657,-0.00980282789839304
pos_plus_volume,10Y,10,2016-05-06,2026-05-06,2596,9.998631074606434,0.3177404965845627,-0.09833755338781669,14.781013447464904,0.0037979219650039475,0.0018007831233984861,0.44891753671535994
pos_plus_volume,8Y,8,2018-05-07,2026-05-06,2079,7.997262149212868,0.31130432163019917,-0.0983375533878168,7.735860401838915,0.0053173529047947365,0.0018007831233984861,0.27930837804801456
pos_plus_volume,6Y,6,2020-05-06,2026-05-06,1559,5.9986310746064335,0.35395563214767223,-0.09833755338781669,5.158095820988654,0.00488969829777175,0.0018007831233984861,0.1322079111971819
pos_plus_volume,4Y,4,2022-05-06,2026-05-06,1039,4.0,0.3147075170419349,-0.09833755338781658,1.9875596439509788,0.006522394652100472,0.0018007831233988192,0.058846590607140925
pos_plus_volume,2Y,2,2024-05-06,2026-05-06,520,1.998631074606434,0.4292213202827311,-0.0983375533878168,1.0416751959790056,0.013314198784011522,0.0018007831233984861,0.03783641738355259
wait3_plus_volume,10Y,10,2016-05-06,2026-05-06,2596,9.998631074606434,0.3191707670377337,-0.09822852665770376,14.953115305933046,0.0052281924181749595,0.0019098098535114127,0.6210193951835024
wait3_plus_volume,8Y,8,2018-05-07,2026-05-06,2079,7.997262149212868,0.3126168673823073,-0.09822852665770376,7.806034886227531,0.006629898656902888,0.0019098098535115238,0.3494828624366306
wait3_plus_volume,6Y,6,2020-05-06,2026-05-06,1559,5.9986310746064335,0.3564100727165158,-0.09822852665770376,5.2253647717187635,0.007344138866615335,0.0019098098535114127,0.19947686192729108
wait3_plus_volume,4Y,4,2022-05-06,2026-05-06,1039,4.0,0.31613845997372403,-0.09822852665770387,2.000587672923788,0.007953337583889608,0.0019098098535115238,0.07187461957995023
wait3_plus_volume,2Y,2,2024-05-06,2026-05-06,520,1.998631074606434,0.4307835673572167,-0.09822852665770387,1.0461379863847533,0.014876445858497123,0.0019098098535114127,0.0422992077893003
all_three,10Y,10,2016-05-06,2026-05-06,2596,9.998631074606434,0.3179155490941068,-0.09829419618853275,14.801987071351874,0.00397297447454803,0.0018441403226824304,0.46989116060233016
all_three,8Y,8,2018-05-07,2026-05-06,2079,7.997262149212868,0.31150342475862347,-0.09829419618853275,7.746473747848093,0.0055164560332190415,0.0018441403226825415,0.2899217240571925
all_three,6Y,6,2020-05-06,2026-05-06,1559,5.9986310746064335,0.354688996275321,-0.09829419618853275,5.178131394317949,0.005623062425420544,0.0018441403226824304,0.15224348452647707
all_three,4Y,4,2022-05-06,2026-05-06,1039,4.0,0.3155757031521047,-0.09829419618853263,1.9954589770633717,0.007390580762270282,0.0018441403226827635,0.0667459237195338
all_three,2Y,2,2024-05-06,2026-05-06,520,1.998631074606434,0.42952511981910724,-0.09829419618853263,1.042542663055237,0.013617998320387681,0.0018441403226826525,0.03870388445978401
