pair,pair_cn,trades,win_trades,trade_win_rate,avg_segment_return,median_segment_return,avg_holding_days,median_holding_days,active_days,positive_days,daily_win_rate,compounded_return_when_active
ZZ500/ZZ1000,中证500/中证1000,11,8,0.7272727272727273,0.0032538718457705,0.0030231230376092,2.363636363636364,2.0,26,17,0.6538461538461539,0.0362090345463679
HS300/CYB,沪深300/创业板,29,18,0.6206896551724138,0.0033689715892262,0.003178252922654,2.655172413793104,2.0,77,39,0.5064935064935064,0.0966626755028123
HS300/ZZ500,沪深300/中证500,15,9,0.6,0.0111976655010607,0.0033928136285301,2.6666666666666665,2.0,40,26,0.65,0.1777429523853368
ZZ500/CYB,中证500/创业板,46,27,0.5869565217391305,0.0071380560542995,0.0034398680512945,5.108695652173913,4.0,235,121,0.5148936170212766,0.3662181419718342
SZ50/CYB,上证50/创业板,87,49,0.5632183908045977,0.0155085600480294,0.003344780321963,8.563218390804598,7.0,745,399,0.5355704697986577,2.5340824111306497
SZ50/ZZ1000,上证50/中证1000,86,44,0.5116279069767442,0.0078848508472174,0.0003212891175179,8.162790697674419,8.0,702,350,0.4985754985754986,0.7845132569865099
SZ50/HS300,上证50/沪深300,10,5,0.5,1.2865071767242942e-05,0.0005427048211773,1.6,1.0,16,9,0.5625,-3.434921824518877e-05
HS300/ZZ1000,沪深300/中证1000,24,11,0.4583333333333333,-0.0013926982881023,-0.0032458039460922,3.208333333333333,2.0,77,37,0.4805194805194805,-0.0376272771763627
SZ50/ZZ500,上证50/中证500,35,16,0.4571428571428571,0.0003769031655501,-0.002388090716299,4.571428571428571,3.0,160,81,0.50625,-0.0034526200932498
ZZ1000/CYB,中证1000/创业板,60,27,0.45,0.0006041665020993,-0.0034844824719692,4.666666666666667,4.0,280,137,0.4892857142857142,0.0200775230483856
