pair,pair_cn,direction,start,end,days,segment_return,win
SZ50/CYB,上证50/创业板,1,2016-05-09,2016-05-11,3,0.0127939585599383,True
SZ50/ZZ1000,上证50/中证1000,1,2016-05-12,2016-05-13,2,5.435630590278073e-05,True
HS300/ZZ1000,沪深300/中证1000,1,2016-05-16,2016-05-26,9,-0.0133454409823833,False
ZZ1000/CYB,中证1000/创业板,-1,2016-05-27,2016-06-01,4,-0.0028304515723025,False
HS300/CYB,沪深300/创业板,-1,2016-06-02,2016-06-06,3,0.0036921948321682,True
SZ50/CYB,上证50/创业板,-1,2016-06-07,2016-06-13,3,-0.021346696766913,False
SZ50/ZZ1000,上证50/中证1000,-1,2016-06-14,2016-06-14,1,-0.0006992309395142,False
HS300/ZZ1000,沪深300/中证1000,-1,2016-06-15,2016-06-17,3,0.0211135908980619,True
ZZ1000/CYB,中证1000/创业板,1,2016-06-20,2016-06-27,6,-0.0043833225995013,False
SZ50/ZZ1000,上证50/中证1000,-1,2016-06-28,2016-07-07,8,0.0005882219291331,True
SZ50/CYB,上证50/创业板,-1,2016-07-08,2016-07-12,3,-0.0050980496444202,False
SZ50/ZZ500,上证50/中证500,-1,2016-07-13,2016-07-19,5,0.0106330532048264,True
ZZ500/ZZ1000,中证500/中证1000,1,2016-07-20,2016-07-29,8,0.0135937278690909,True
HS300/ZZ1000,沪深300/中证1000,1,2016-08-01,2016-08-02,2,0.0005020111747748,True
SZ50/ZZ1000,上证50/中证1000,1,2016-08-03,2016-08-04,2,-0.0096377977115278,False
SZ50/CYB,上证50/创业板,1,2016-08-05,2016-08-18,10,0.0054508188133262,True
HS300/CYB,沪深300/创业板,1,2016-08-19,2016-08-23,3,0.0029761318015779,True
HS300/ZZ500,沪深300/中证500,1,2016-08-24,2016-08-29,4,-0.0079753565179035,False
ZZ500/CYB,中证500/创业板,-1,2016-08-30,2016-09-07,7,-0.00206933831593,False
HS300/CYB,沪深300/创业板,-1,2016-09-08,2016-09-22,9,-0.0041486285816862,False
ZZ500/CYB,中证500/创业板,-1,2016-09-27,2016-09-28,2,0.0003795134543842,True
HS300/CYB,沪深300/创业板,-1,2016-09-29,2016-10-11,4,0.0062359075334377,True
SZ50/CYB,上证50/创业板,-1,2016-10-12,2016-10-17,4,-0.0098610123592253,False
SZ50/ZZ1000,上证50/中证1000,-1,2016-10-18,2016-10-21,4,-0.0075974445537039,False
HS300/ZZ1000,沪深300/中证1000,-1,2016-10-24,2016-10-28,5,-0.0056910384482724,False
ZZ1000/CYB,中证1000/创业板,1,2016-10-31,2016-11-01,2,0.0030754173482923,True
SZ50/CYB,上证50/创业板,1,2016-11-02,2016-11-29,20,0.0631472737341531,True
SZ50/ZZ1000,上证50/中证1000,1,2016-11-30,2016-12-19,14,0.0019664484792427,True
SZ50/CYB,上证50/创业板,1,2016-12-20,2016-12-21,2,-0.0038960358092849,False
ZZ500/CYB,中证500/创业板,1,2016-12-22,2016-12-28,5,0.0062714856245464,True
SZ50/ZZ500,上证50/中证500,-1,2016-12-29,2016-12-30,2,-0.0079892435749364,False
SZ50/ZZ1000,上证50/中证1000,-1,2017-01-03,2017-01-12,8,-0.0102534782726,False
SZ50/ZZ500,上证50/中证500,-1,2017-01-13,2017-01-16,2,-0.0769113277383913,False
SZ50/ZZ1000,上证50/中证1000,1,2017-01-17,2017-02-08,12,-0.023456855185335,False
HS300/ZZ1000,沪深300/中证1000,1,2017-02-09,2017-02-09,1,-0.0032265250789719,False
ZZ1000/CYB,中证1000/创业板,-1,2017-02-10,2017-02-10,1,-0.0017439645021497,False
SZ50/CYB,上证50/创业板,-1,2017-02-13,2017-02-14,2,-0.0006173250134653,False
SZ50/ZZ1000,上证50/中证1000,-1,2017-02-15,2017-03-02,12,0.0062947122166714,True
SZ50/CYB,上证50/创业板,-1,2017-03-03,2017-03-24,16,0.0085062665143671,True
ZZ500/CYB,中证500/创业板,-1,2017-03-30,2017-03-30,1,-0.0024193916841309,False
HS300/ZZ500,沪深300/中证500,1,2017-03-31,2017-03-31,1,0.0003668372924379,True
SZ50/ZZ1000,上证50/中证1000,1,2017-04-05,2017-04-13,7,-0.01078429857111,False
SZ50/CYB,上证50/创业板,1,2017-04-14,2017-04-14,1,0.0040136449094754,True
HS300/CYB,沪深300/创业板,1,2017-04-17,2017-04-19,3,0.007298437025585,True
HS300/ZZ1000,沪深300/中证1000,1,2017-04-20,2017-04-24,3,0.0279026421850878,True
SZ50/ZZ1000,上证50/中证1000,1,2017-04-25,2017-05-09,10,0.0008072073999849,True
SZ50/ZZ500,上证50/中证500,1,2017-05-10,2017-05-25,12,0.079902337889252,True
SZ50/ZZ1000,上证50/中证1000,1,2017-05-26,2017-06-12,10,0.0110520151095971,True
SZ50/CYB,上证50/创业板,1,2017-06-13,2017-06-15,3,-0.043565643365803,False
HS300/CYB,沪深300/创业板,1,2017-06-16,2017-06-16,1,-0.0005333537594032,False
SZ50/ZZ1000,上证50/中证1000,-1,2017-06-19,2017-07-12,18,-0.0382971186727618,False
ZZ1000/CYB,中证1000/创业板,1,2017-07-13,2017-07-19,5,0.0302315738012253,True
SZ50/CYB,上证50/创业板,1,2017-07-20,2017-08-01,9,-0.0217781243691688,False
