pair,pair_cn,direction,direction_text,trades,win_trades,trade_win_rate,avg_segment_return,median_segment_return,avg_holding_days,median_holding_days,active_days,compounded_segment_return
HS300/CYB,沪深300/创业板,1,多沪深300/空创业板,57,28,0.4912280701754385,0.0086036762630143,-0.0005875574420737,20.912280701754387,17.0,1192,0.5091853602365568
HS300/CYB,沪深300/创业板,-1,多创业板/空沪深300,57,20,0.3508771929824561,0.0150080413971292,-0.0130556183590387,21.649122807017545,17.0,1234,0.93407401537737
HS300/ZZ1000,沪深300/中证1000,1,多沪深300/空中证1000,51,32,0.6274509803921569,0.0294006611170452,0.0144930323243481,23.0,21.0,1173,2.872488660057748
HS300/ZZ1000,沪深300/中证1000,-1,多中证1000/空沪深300,51,25,0.4901960784313725,0.0147844024796459,-0.0045625244073129,24.5686274509804,24.0,1253,0.88613756042177
HS300/ZZ500,沪深300/中证500,1,多沪深300/空中证500,54,25,0.4629629629629629,0.0083033513959578,-0.0057970656483238,21.33333333333333,18.5,1152,0.4638395407034326
HS300/ZZ500,沪深300/中证500,-1,多中证500/空沪深300,54,21,0.3888888888888889,0.0077050671928323,-0.007608837917418,23.59259259259259,18.5,1274,0.3946611155192883
SZ50/CYB,上证50/创业板,1,多上证50/空创业板,58,26,0.4482758620689655,0.0117625734730695,-0.0055499226921194,20.27586206896552,17.0,1176,0.7696296595597589
SZ50/CYB,上证50/创业板,-1,多创业板/空上证50,58,24,0.4137931034482758,0.0142173794682398,-0.0089782199243291,21.55172413793104,19.0,1250,0.9460369385249968
SZ50/HS300,上证50/沪深300,1,多上证50/空沪深300,58,23,0.396551724137931,-0.0010060264374491,-0.004105011146582,20.103448275862068,16.5,1166,-0.068980699300324
SZ50/HS300,上证50/沪深300,-1,多沪深300/空上证50,58,26,0.4482758620689655,0.0013490105899344,-0.0027587599196944,21.724137931034484,18.5,1260,0.0643085315075275
SZ50/ZZ1000,上证50/中证1000,1,多上证50/空中证1000,52,31,0.5961538461538461,0.0274257295727593,0.017184647049445,22.82692307692308,21.0,1187,2.614819043753079
SZ50/ZZ1000,上证50/中证1000,-1,多中证1000/空上证50,52,22,0.4230769230769231,0.013377643706297,-0.0052775116591216,23.82692307692308,21.0,1239,0.750867671876253
SZ50/ZZ500,上证50/中证500,1,多上证50/空中证500,55,30,0.5454545454545454,0.0128390869712248,0.003019297935211,21.27272727272728,19.0,1170,0.8546078417479916
SZ50/ZZ500,上证50/中证500,-1,多中证500/空上证50,55,22,0.4,0.0125043747704039,-0.0042315090986752,22.83636363636364,17.0,1256,0.7171812550090444
ZZ1000/CYB,中证1000/创业板,1,多中证1000/空创业板,54,25,0.4629629629629629,0.0007932078968427,-0.0062601813538968,21.35185185185185,18.0,1153,0.0037437620908438
ZZ1000/CYB,中证1000/创业板,-1,多创业板/空中证1000,54,28,0.5185185185185185,0.0211260537058906,0.0059611237907652,23.57407407407408,24.0,1273,1.7239450431487855
ZZ500/CYB,中证500/创业板,1,多中证500/空创业板,59,22,0.3728813559322034,0.0002054784662377,-0.0101411771763465,19.15254237288136,17.0,1130,-0.0569241094537048
ZZ500/CYB,中证500/创业板,-1,多创业板/空中证500,59,22,0.3728813559322034,0.0092865584224805,-0.0146907750077521,21.966101694915253,18.0,1296,0.5215141891039545
ZZ500/ZZ1000,中证500/中证1000,1,多中证500/空中证1000,51,28,0.5490196078431373,0.0085618316583491,0.0048086539464298,22.686274509803923,19.0,1157,0.5118875910968457
ZZ500/ZZ1000,中证500/中证1000,-1,多中证1000/空中证500,51,21,0.4117647058823529,0.0006913748252326,-0.0060958421983403,24.88235294117647,24.0,1269,0.0118080064007637
