pair,pair_cn,direction,start,end,days,segment_return,win
HS300/CYB,沪深300/创业板,1,2016-05-09,2016-05-26,14,-0.0033223834224782,False
HS300/CYB,沪深300/创业板,-1,2016-05-27,2016-06-17,14,-0.0020406966014454,False
HS300/CYB,沪深300/创业板,1,2016-06-20,2016-06-28,7,-0.0423137881752959,False
HS300/CYB,沪深300/创业板,-1,2016-06-29,2016-07-19,15,-0.0140340607845729,False
HS300/CYB,沪深300/创业板,1,2016-07-20,2016-08-29,29,0.0665318524369558,True
HS300/CYB,沪深300/创业板,-1,2016-08-30,2016-10-28,37,-0.0339721098580423,False
HS300/CYB,沪深300/创业板,1,2016-10-31,2016-12-29,44,0.1231898813155885,True
HS300/CYB,沪深300/创业板,-1,2016-12-30,2017-01-16,11,-0.1000196909351333,False
HS300/CYB,沪深300/创业板,1,2017-01-17,2017-02-09,13,-0.0305714589798289,False
HS300/CYB,沪深300/创业板,-1,2017-02-10,2017-03-30,35,-0.0383850746550067,False
HS300/CYB,沪深300/创业板,1,2017-03-31,2017-05-08,24,0.0471434012284486,True
HS300/CYB,沪深300/创业板,-1,2017-05-09,2017-05-23,11,-0.0566483030418702,False
HS300/CYB,沪深300/创业板,1,2017-05-24,2017-06-19,17,0.0088283803499125,True
HS300/CYB,沪深300/创业板,-1,2017-06-20,2017-07-11,16,-0.0642670486747859,False
HS300/CYB,沪深300/创业板,1,2017-07-12,2017-08-04,18,0.0629119450939019,True
HS300/CYB,沪深300/创业板,-1,2017-08-07,2017-09-27,38,0.0480291319064527,True
HS300/CYB,沪深300/创业板,1,2017-09-28,2017-12-11,48,0.1233031005088776,True
HS300/CYB,沪深300/创业板,-1,2017-12-12,2018-01-03,16,-0.027665024460536,False
HS300/CYB,沪深300/创业板,1,2018-01-04,2018-02-08,26,0.0844594386026109,True
HS300/CYB,沪深300/创业板,-1,2018-02-09,2018-04-23,45,0.1092204524732745,True
HS300/CYB,沪深300/创业板,1,2018-04-24,2018-07-02,47,0.008818538253948,True
HS300/CYB,沪深300/创业板,-1,2018-07-03,2018-07-26,18,-0.0344409515402712,False
HS300/CYB,沪深300/创业板,1,2018-07-27,2018-08-20,17,0.0383397017970654,True
HS300/CYB,沪深300/创业板,-1,2018-08-21,2018-08-31,9,-0.0323153373396514,False
HS300/CYB,沪深300/创业板,1,2018-09-03,2018-10-29,35,0.0794244532011732,True
HS300/CYB,沪深300/创业板,-1,2018-10-30,2018-12-06,28,0.0579908854734723,True
HS300/CYB,沪深300/创业板,1,2018-12-07,2018-12-12,4,-0.0005875574420737,False
HS300/CYB,沪深300/创业板,-1,2018-12-13,2018-12-19,5,-0.0443347844697201,False
HS300/CYB,沪深300/创业板,1,2018-12-20,2019-02-18,36,-0.0074220142247164,False
HS300/CYB,沪深300/创业板,-1,2019-02-19,2019-03-28,28,0.099803635313715,True
HS300/CYB,沪深300/创业板,1,2019-03-29,2019-05-31,42,0.0650258078645267,True
HS300/CYB,沪深300/创业板,-1,2019-06-03,2019-06-04,2,-0.0151826531438361,False
HS300/CYB,沪深300/创业板,1,2019-06-05,2019-06-26,15,0.022408937590131,True
HS300/CYB,沪深300/创业板,-1,2019-06-27,2019-09-18,59,0.1247328344585578,True
HS300/CYB,沪深300/创业板,1,2019-09-19,2019-11-01,27,0.002225971683337,True
HS300/CYB,沪深300/创业板,-1,2019-11-04,2019-11-05,2,0.0012010851226129,True
HS300/CYB,沪深300/创业板,1,2019-11-06,2019-11-08,3,-0.012402584561839,False
HS300/CYB,沪深300/创业板,-1,2019-11-11,2019-11-12,2,-0.0116922619718708,False
HS300/CYB,沪深300/创业板,1,2019-11-13,2019-11-20,6,-0.0440608177148287,False
HS300/CYB,沪深300/创业板,-1,2019-11-21,2019-12-31,29,-0.007024980949103,False
HS300/CYB,沪深300/创业板,1,2020-01-02,2020-01-08,5,-0.0499574629631688,False
HS300/CYB,沪深300/创业板,-1,2020-01-09,2020-03-03,33,0.2540403694702757,True
HS300/CYB,沪深300/创业板,1,2020-03-04,2020-04-24,37,-0.0036476220918295,False
HS300/CYB,沪深300/创业板,-1,2020-04-27,2020-04-28,2,-0.0029619128516744,False
HS300/CYB,沪深300/创业板,1,2020-04-29,2020-05-12,7,-0.0272708468978299,False
HS300/CYB,沪深300/创业板,-1,2020-05-13,2020-06-08,19,-0.0049564766487144,False
HS300/CYB,沪深300/创业板,1,2020-06-09,2020-06-11,3,-0.0395544446085988,False
HS300/CYB,沪深300/创业板,-1,2020-06-12,2020-07-08,17,0.0091543300838261,True
HS300/CYB,沪深300/创业板,1,2020-07-09,2020-07-16,6,-0.0600186284028517,False
HS300/CYB,沪深300/创业板,-1,2020-07-17,2020-07-20,2,-0.0179991922793918,False
HS300/CYB,沪深300/创业板,1,2020-07-21,2020-07-22,2,-0.0200248817023284,False
HS300/CYB,沪深300/创业板,-1,2020-07-23,2020-08-04,9,0.0088781844296375,True
HS300/CYB,沪深300/创业板,1,2020-08-05,2020-09-08,25,0.0418697079688508,True
HS300/CYB,沪深300/创业板,-1,2020-09-09,2020-09-09,1,-0.0380598782455915,False
HS300/CYB,沪深300/创业板,1,2020-09-10,2020-10-09,16,-0.0532777483634062,False
HS300/CYB,沪深300/创业板,-1,2020-10-12,2020-11-16,26,-0.0491840948943221,False
HS300/CYB,沪深300/创业板,1,2020-11-17,2020-12-09,17,0.0123333782486967,True
HS300/CYB,沪深300/创业板,-1,2020-12-10,2021-02-18,45,0.078320818031772,True
HS300/CYB,沪深300/创业板,1,2021-02-19,2021-03-30,28,0.0539386716069709,True
HS300/CYB,沪深300/创业板,-1,2021-03-31,2021-06-16,51,0.1855626540451329,True
HS300/CYB,沪深300/创业板,1,2021-06-17,2021-06-21,3,-0.0521920142300661,False
HS300/CYB,沪深300/创业板,-1,2021-06-22,2021-07-23,24,0.0662121176988752,True
HS300/CYB,沪深300/创业板,1,2021-07-26,2021-07-30,5,-0.0521330236655986,False
HS300/CYB,沪深300/创业板,-1,2021-08-02,2021-08-03,2,-0.0154915030317289,False
HS300/CYB,沪深300/创业板,1,2021-08-04,2021-09-29,39,0.062822192715026,True
HS300/CYB,沪深300/创业板,-1,2021-09-30,2021-12-07,44,0.044970252745579,True
HS300/CYB,沪深300/创业板,1,2021-12-08,2022-02-28,53,0.1199784500227039,True
HS300/CYB,沪深300/创业板,-1,2022-03-01,2022-04-11,28,-0.0592232905879051,False
HS300/CYB,沪深300/创业板,1,2022-04-12,2022-05-12,20,0.0123025874758506,True
HS300/CYB,沪深300/创业板,-1,2022-05-13,2022-07-28,54,0.1028585614347508,True
HS300/CYB,沪深300/创业板,1,2022-07-29,2022-08-23,18,-0.0619088914169343,False
HS300/CYB,沪深300/创业板,-1,2022-08-24,2022-08-24,1,-0.0275383636937476,False
HS300/CYB,沪深300/创业板,1,2022-08-25,2022-10-13,30,0.0604704858255138,True
HS300/CYB,沪深300/创业板,-1,2022-10-14,2022-11-14,22,-0.0062221017281854,False
HS300/CYB,沪深300/创业板,1,2022-11-15,2022-12-30,34,0.0435855823922102,True
HS300/CYB,沪深300/创业板,-1,2023-01-03,2023-01-04,2,-0.0174874439867809,False
HS300/CYB,沪深300/创业板,1,2023-01-05,2023-01-05,1,-0.0142522489711338,False
HS300/CYB,沪深300/创业板,-1,2023-01-06,2023-02-20,27,-0.0130556183590387,False
HS300/CYB,沪深300/创业板,1,2023-02-21,2023-03-27,25,0.001708825614018,True
HS300/CYB,沪深300/创业板,-1,2023-03-28,2023-04-20,17,-0.0437359004731116,False
HS300/CYB,沪深300/创业板,1,2023-04-21,2023-05-17,16,-0.002000683267778,False
HS300/CYB,沪深300/创业板,-1,2023-05-18,2023-06-08,16,-0.0590511353642365,False
HS300/CYB,沪深300/创业板,1,2023-06-09,2023-06-26,10,-0.0479130476741528,False
HS300/CYB,沪深300/创业板,-1,2023-06-27,2023-07-25,21,-0.0366982867232601,False
HS300/CYB,沪深300/创业板,1,2023-07-26,2023-08-15,15,0.0007796788247187,True
HS300/CYB,沪深300/创业板,-1,2023-08-16,2023-08-25,8,-0.0239854505654824,False
HS300/CYB,沪深300/创业板,1,2023-08-28,2023-10-11,27,0.0050207497077146,True
HS300/CYB,沪深300/创业板,-1,2023-10-12,2023-11-27,33,0.0031264704162881,True
HS300/CYB,沪深300/创业板,1,2023-11-28,2023-12-12,11,-0.0212612457795257,False
HS300/CYB,沪深300/创业板,-1,2023-12-13,2023-12-21,7,-0.0162926730593636,False
HS300/CYB,沪深300/创业板,1,2023-12-22,2024-02-22,38,0.1161776503899569,True
HS300/CYB,沪深300/创业板,-1,2024-02-23,2024-04-08,30,0.0154581822054795,True
HS300/CYB,沪深300/创业板,1,2024-04-09,2024-05-06,17,-0.0330799995091479,False
HS300/CYB,沪深300/创业板,-1,2024-05-07,2024-05-23,13,-0.0279503169530013,False
HS300/CYB,沪深300/创业板,1,2024-05-24,2024-06-17,16,-0.0111079798231461,False
HS300/CYB,沪深300/创业板,-1,2024-06-18,2024-06-26,7,-0.0420284154573901,False
HS300/CYB,沪深300/创业板,1,2024-06-27,2024-07-19,17,0.0250203091567506,True
HS300/CYB,沪深300/创业板,-1,2024-07-22,2024-08-15,19,-0.0357458579776219,False
HS300/CYB,沪深300/创业板,1,2024-08-16,2024-09-04,14,-0.0092029319031727,False
HS300/CYB,沪深300/创业板,-1,2024-09-05,2024-10-31,34,0.2337880403234036,True
HS300/CYB,沪深300/创业板,1,2024-11-01,2024-11-11,7,-0.0216174166699177,False
HS300/CYB,沪深300/创业板,-1,2024-11-12,2024-11-14,3,-0.0017562091861988,False
HS300/CYB,沪深300/创业板,1,2024-11-15,2025-01-22,48,0.0297187261221578,True
HS300/CYB,沪深300/创业板,-1,2025-01-23,2025-03-11,28,0.0136028677647241,True
HS300/CYB,沪深300/创业板,1,2025-03-12,2025-04-30,35,0.1167389948803987,True
HS300/CYB,沪深300/创业板,-1,2025-05-06,2025-10-10,107,0.4306214936821273,True
HS300/CYB,沪深300/创业板,1,2025-10-13,2025-12-10,43,-0.0627968536097005,False
HS300/CYB,沪深300/创业板,-1,2025-12-11,2026-01-29,34,-0.0123317328804295,False
HS300/CYB,沪深300/创业板,1,2026-01-30,2026-02-03,3,-0.0416676680217684,False
HS300/CYB,沪深300/创业板,-1,2026-02-04,2026-02-04,1,-0.0192923746140872,False
HS300/CYB,沪深300/创业板,1,2026-02-05,2026-03-18,24,-0.0325611455468637,False
HS300/CYB,沪深300/创业板,-1,2026-03-19,2026-04-07,13,-0.0178103225606918,False
HS300/CYB,沪深300/创业板,1,2026-04-08,2026-04-14,5,-0.086540464246216,False
HS300/CYB,沪深300/创业板,-1,2026-04-15,2026-05-07,14,0.0387675231042108,True
HS300/ZZ1000,沪深300/中证1000,1,2016-05-09,2016-06-01,18,0.0130485561648541,True
