pair,pair_cn,trades,win_trades,trade_win_rate,avg_segment_return,median_segment_return,avg_holding_days,median_holding_days,active_days,positive_days,daily_win_rate,compounded_return_when_active
HS300/ZZ1000,沪深300/中证1000,102,57,0.5588235294117647,0.0220925317983455,0.0092365487544517,23.7843137254902,24.0,2426,1247,0.5140148392415499,6.304046314042267
SZ50/ZZ1000,上证50/中证1000,104,53,0.5096153846153846,0.0204016866395281,0.0017625641803006,23.32692307692308,21.0,2426,1234,0.5086562242374278,5.329069803389908
ZZ1000/CYB,中证1000/创业板,108,53,0.4907407407407407,0.0109596308013666,-0.0014198365663399,22.46296296296296,21.0,2426,1220,0.5028854080791426,1.734142845338865
ZZ500/ZZ1000,中证500/中证1000,102,49,0.4803921568627451,0.0046266032417908,-0.0034207339423074,23.7843137254902,21.0,2426,1235,0.5090684253915911,0.5297399694497509
SZ50/ZZ500,上证50/中证500,110,52,0.4727272727272727,0.0126717308708143,-0.0007089485305176,22.05454545454545,18.0,2426,1259,0.5189612530915086,2.18469782124242
SZ50/CYB,上证50/创业板,116,50,0.4310344827586206,0.0129899764706546,-0.0075659427244479,20.91379310344828,18.0,2426,1224,0.5045342126957956,2.44376468501267
HS300/ZZ500,沪深300/中证500,108,46,0.4259259259259259,0.008004209294395,-0.0064804359392318,22.46296296296296,18.5,2426,1249,0.5148392415498764,1.041560086778694
SZ50/HS300,上证50/沪深300,116,49,0.4224137931034483,0.0001714920762426,-0.0039814147497637,20.91379310344828,17.0,2426,1187,0.4892827699917559,-0.0091082152671697
HS300/CYB,沪深300/创业板,114,48,0.4210526315789473,0.0118058588300717,-0.0066235413386442,21.28070175438597,17.0,2426,1219,0.5024732069249794,1.9188761896214583
ZZ500/CYB,中证500/创业板,118,44,0.3728813559322034,0.0047460184443591,-0.014158729876701,20.559322033898304,17.5,2426,1221,0.5032976092333058,0.4349033488680383
