mode,bias_n,mom_day,r2_window,avg_cagr,min_cagr,avg_sharpe,min_sharpe,avg_maxdd,worst_maxdd,avg_turnover,valid_windows
a_style_volscale,20,60,60,0.4826427264957276,0.2395270749909599,1.4578923440387932,0.9241859312162762,-0.2574073605330518,-0.3788215771933814,0.1263503121566589,3
a_style_volscale,80,20,20,0.374871396746783,0.2629544647954078,1.2457792401737091,0.9995510271624706,-0.2590460549063324,-0.2899889081647948,0.175148176041347,3
a_style_volscale,60,30,30,0.3379341893928555,0.2115216366448624,1.164875796838072,0.8478546101269693,-0.2651401061541631,-0.3488594565446564,0.125864357995012,3
a_style_volscale,20,40,40,0.2518649142270739,0.1497337706091361,0.9666510030581486,0.6745186505514589,-0.3438679216834479,-0.5124559002628979,0.156157413033635,3
a_style_volscale,120,15,15,0.2441074621960003,0.1325392255501705,0.822088010789677,0.5790324859090851,-0.3579119935800648,-0.5161368115616601,0.2511472304850442,3
a_style_volscale,40,10,10,0.039369863736152,-0.0594803415155145,0.2949022265046067,0.0116406686745558,-0.6107368601150722,-0.7975092743915431,0.383054404998951,3
core_1x,20,60,60,0.3505496684818793,0.1812300686252386,1.4440873947820456,0.9253677816920473,-0.2039037945778356,-0.2763618806111126,0.0896664592898811,3
core_1x,80,20,20,0.2753041972763037,0.2023328215365731,1.2273403899749438,1.005082070080991,-0.1892573596018696,-0.1922634787554016,0.1252382866866898,3
core_1x,60,30,30,0.2694839122781663,0.1740120613931355,1.2058810717399977,0.8882872536395592,-0.1894780442937529,-0.2292674460319055,0.0877103347493645,3
core_1x,20,40,40,0.1949263844494003,0.117890303380219,0.997684831408396,0.6800895725114035,-0.2391533285748283,-0.3622549654198759,0.1101587838281455,3
core_1x,120,15,15,0.1718508208357521,0.1065101619307309,0.7592649737976974,0.5782372108165096,-0.2851786445425758,-0.405444629225702,0.1870598710496581,3
core_1x,120,10,10,-0.0234505694627414,-0.1591803727420774,0.2236433669860646,-0.0826281258424752,-0.6450393146216092,-0.832954412668105,0.2755390431197325,3
