target_vol,asset,name,days,full_pct,invested_pct,avg_weight_on_days
15%,159915.SZ,???100ETF,296,0.19283387622149836,0.1972018654230513,0.6180412979072801
15%,159941.SZ,??ETF,315,0.20521172638436483,0.20986009327115257,0.5913304621387929
15%,159985.SZ,??ETF,320,0.20846905537459284,0.21319120586275817,0.5663853840602376
15%,513030.SH,??ETF,177,0.11530944625407166,0.11792138574283811,0.6807362163656495
15%,513520.SH,??ETF,158,0.10293159609120521,0.10526315789473684,0.643013195265813
15%,518880.SH,??ETF,235,0.15309446254071662,0.15656229180546302,0.5799050641564797
15%,CASH,??,34,0.02214983713355049,,0.0
17%,159915.SZ,???100ETF,296,0.19283387622149836,0.1972018654230513,0.7004468042949175
17%,159941.SZ,??ETF,315,0.20521172638436483,0.20986009327115257,0.6701745237572987
17%,159985.SZ,??ETF,320,0.20846905537459284,0.21319120586275817,0.6419034352682695
17%,513030.SH,??ETF,177,0.11530944625407166,0.11792138574283811,0.7715010452144029
17%,513520.SH,??ETF,158,0.10293159609120521,0.10526315789473684,0.7287482879679215
17%,518880.SH,??ETF,235,0.15309446254071662,0.15656229180546302,0.6572257393773437
17%,CASH,??,34,0.02214983713355049,,0.0
19%,159915.SZ,???100ETF,296,0.19283387622149836,0.1972018654230513,0.7828523106825548
19%,159941.SZ,??ETF,315,0.20521172638436483,0.20986009327115257,0.7490185853758045
19%,159985.SZ,??ETF,320,0.20846905537459284,0.21319120586275817,0.7174214864763012
19%,513030.SH,??ETF,177,0.11530944625407166,0.11792138574283811,0.862265874063156
19%,513520.SH,??ETF,158,0.10293159609120521,0.10526315789473684,0.8144833806700298
19%,518880.SH,??ETF,235,0.15309446254071662,0.15656229180546302,0.7345464145982077
19%,CASH,??,34,0.02214983713355049,,0.0
21%,159915.SZ,???100ETF,296,0.19283387622149836,0.1972018654230513,0.865257817070192
21%,159941.SZ,??ETF,315,0.20521172638436483,0.20986009327115257,0.8278626469943102
21%,159985.SZ,??ETF,320,0.20846905537459284,0.21319120586275817,0.7929395376843328
21%,513030.SH,??ETF,177,0.11530944625407166,0.11792138574283811,0.9529729887115037
21%,513520.SH,??ETF,158,0.10293159609120521,0.10526315789473684,0.9000363450969766
21%,518880.SH,??ETF,235,0.15309446254071662,0.15656229180546302,0.8118670898190715
21%,CASH,??,34,0.02214983713355049,,0.0
23%,159915.SZ,???100ETF,296,0.19283387622149836,0.1972018654230513,0.947129483756448
23%,159941.SZ,??ETF,315,0.20521172638436483,0.20986009327115257,0.906706708612816
23%,159985.SZ,??ETF,320,0.20846905537459284,0.21319120586275817,0.8683611309510699
23%,513030.SH,??ETF,177,0.11530944625407166,0.11792138574283811,1.042570734637609
23%,513520.SH,??ETF,158,0.10293159609120521,0.10526315789473684,0.9781805566338352
23%,518880.SH,??ETF,235,0.15309446254071662,0.15656229180546302,0.8891877650399356
23%,CASH,??,34,0.02214983713355049,,0.0
25%,159915.SZ,???100ETF,296,0.19283387622149836,0.1972018654230513,1.0217184368421408
25%,159941.SZ,??ETF,315,0.20521172638436483,0.20986009327115257,0.9814238464056538
25%,159985.SZ,??ETF,320,0.20846905537459284,0.21319120586275817,0.9394120028677284
25%,513030.SH,??ETF,177,0.11530944625407166,0.11792138574283811,1.1194840237905588
25%,513520.SH,??ETF,158,0.10293159609120521,0.10526315789473684,1.0464822712156425
25%,518880.SH,??ETF,235,0.15309446254071662,0.15656229180546302,0.9633607707399469
25%,CASH,??,34,0.02214983713355049,,0.0
