case,total,cagr,maxdd,sharpe,cash_days,trades
four,3.2175684224687675,0.2555467171707826,-0.2057900924432141,1.124688629923352,103,283
four_soy,2.736579079823753,0.23173656137083953,-0.21977458731234667,0.994755143596744,53,355
six_no_soy,6.1445861081663145,0.36467172482419463,-0.22471761051339645,1.3790879164885608,81,345
six_soy,8.004987236375232,0.41553265640557235,-0.21167121929263233,1.4694083542062581,37,377
