date,nav_1x,hold,base_weight_1x,scale_raw,weight_tv25_max15,ret_tv25_max15_borrow3,turnover_tv25_max15_borrow3,trade_cost_tv25_max15_borrow3,nav_tv25_max15_borrow3
2016-05-03,100000.0,CASH,0.0,1.0,0.0,0.0,0.0,0.0,100000.0
2016-05-04,99900.09990009991,GOLD_518880,1.0,1.0,1.0,-0.0010000000000000009,1.0,0.001,99900.0
2016-05-05,99825.4605526755,GOLD_518880,1.0,1.0,1.0,-0.0007471398677182384,0.0,0.0,99825.36072721495
2016-05-06,100012.0544725926,GOLD_518880,1.0,1.0,1.0,0.0018692016934760414,0.0,0.0,100011.95446053812
2016-05-09,99638.87553004624,GOLD_518880,1.0,1.0,1.0,-0.0037313396321504433,0.0,0.0,99638.77589117069
2016-05-10,99153.74201500717,GOLD_518880,1.0,1.0,1.0,-0.0048689180047276626,0.0,0.0,99153.64286126515
2016-05-11,99601.55140769013,GOLD_518880,1.0,1.0,1.0,0.004516313591222509,0.0,0.0,99601.4518061387
2016-05-12,99265.69658749986,GOLD_518880,1.0,1.0,1.0,-0.003371983823982183,0.0,0.0,99265.59732180326
2016-05-13,100086.68492272918,GOLD_518880,1.0,1.0,1.0,0.008270614758701056,0.0,0.0,100086.58483604425
2016-05-16,100571.81843776825,GOLD_518880,1.0,1.0,1.0,0.004847133416533866,0.0,0.0,100571.71786594979
2016-05-17,100086.68492272918,GOLD_518880,1.0,1.0,1.0,-0.004823752046794749,0.0,0.0,100086.58483604425
2016-05-18,100049.36969766089,GOLD_518880,1.0,1.0,1.0,-0.0003728290640968579,0.0,0.0,100049.26964829117
2016-05-19,98519.33870240713,GOLD_518880,1.0,1.0,1.0,-0.015292759963179803,0.0,0.0,98519.24018306841
2016-05-20,98444.69935498273,GOLD_518880,1.0,1.0,1.0,-0.0007576111290176213,0.0,0.0,98444.60091028336
2016-05-23,98332.74478249003,GOLD_518880,1.0,1.0,1.0,-0.0011372331189615226,0.0,0.0,98332.64644974524
2016-05-24,97884.92649251927,GOLD_518880,1.0,1.0,1.0,-0.004554111562341978,0.0,0.0,97884.82860759278
2016-05-25,96317.58027219721,GOLD_518880,1.0,1.0,1.0,-0.016012130534131308,0.0,0.0,96317.48395461692
2016-05-26,96594.06845552883,CASH,0.0,1.0,0.0,0.002870588967769372,1.0,0.001,96593.97186146035
2016-05-27,96497.5708846442,NASDAQ_159941,1.0,1.0,1.0,-0.0010000000000000009,1.0,0.001,96497.3778895989
2016-05-30,97194.66666963392,NASDAQ_159941,1.0,1.0,1.0,0.00722397236115957,0.0,0.0,97194.47228039772
2016-05-31,97393.83350208208,NASDAQ_159941,1.0,1.0,1.0,0.0020491539224589683,0.0,0.0,97393.63871451243
2016-06-01,97393.83350208208,NASDAQ_159941,1.0,1.0,1.0,0.0,0.0,0.0,97393.63871451243
2016-06-02,97095.08325340983,NASDAQ_159941,1.0,1.0,1.0,-0.003067445216291431,0.0,0.0,97094.88906334038
2016-06-03,98389.67953574404,NASDAQ_159941,1.0,1.0,1.0,0.013333283611853153,0.0,0.0,98389.48275648331
2016-06-06,97194.66666963392,NASDAQ_159941,1.0,1.0,1.0,-0.012145713572285666,0.0,0.0,97194.47228039772
2016-06-07,97493.41691830616,NASDAQ_159941,1.0,1.0,1.0,0.0030737308836883415,0.0,0.0,97493.22193156977
2016-06-08,97199.24042815187,0.399606,1.0,1.0,1.0,-0.0030193944630632075,2.0,0.002,97198.8514370834
2016-06-13,91340.22121360885,0.399606,1.0,1.0,1.0,-0.06027844650569991,0.0,0.0,91339.8556703177
2016-06-14,91322.56932645374,NASDAQ_159941,1.0,1.0,1.0,-0.00019525587835012015,2.0,0.002,91322.02102657042
2016-06-15,91417.59678866292,NASDAQ_159941,1.0,1.0,1.0,0.0010405693018720186,0.0,0.0,91417.04791823558
2016-06-16,90942.45381346591,NASDAQ_159941,1.0,1.0,1.0,-0.0051975001737952775,0.0,0.0,90941.9077957927
2016-06-17,91140.10665047682,GOLD_518880,1.0,1.0,1.0,0.0021713772397207176,2.0,0.002,91139.37698451725
