strategy,start,end,days,final_nav,total,cagr,maxdd,sharpe,cash_days,trades
article_six,2020-01-02,2026-04-30,1532,46.26808145511557,45.26808145511557,0.8336190779678281,-0.12584842625796033,2.640389459057836,77,210
four_same_article_engine,2020-01-02,2026-04-30,1532,14.943280085173146,13.943280085173146,0.5335563227126674,-0.14132928249760346,2.152340763893516,155,180
four_current_weighted_cost,2020-01-02,2026-04-30,1532,4.2175684224687675,3.2175684224687675,0.2555467171707826,-0.2057900924432141,1.1429774491096734,103,283
