code,source,first,last,rows,pool,calendar
159915.SZ,QVeris cn_financial_pro.history_quotation.v1 stock_common cps=3,2015-01-05,2026-04-30,2751,six_all_etf,
159941.SZ,QVeris cn_financial_pro.history_quotation.v1 stock_common cps=3,2015-07-13,2026-04-30,2624,six_all_etf,
159985.SZ,QVeris cn_financial_pro.history_quotation.v1 stock_common cps=3,2019-12-05,2026-04-30,1551,six_all_etf,
513030.SH,QVeris cn_financial_pro.history_quotation.v1 stock_common cps=3,2015-01-05,2026-04-30,2751,six_all_etf,
513520.SH,QVeris cn_financial_pro.history_quotation.v1 stock_common cps=3,2019-06-25,2026-04-30,1662,six_all_etf,
518880.SH,QVeris cn_financial_pro.history_quotation.v1 stock_common cps=3,2015-01-05,2026-04-30,2751,six_all_etf,
399006.SZ,QVeris cn_financial_pro.history_quotation.v1 stock_common cps=3,2015-01-05,2026-04-30,2751,index_except_soy,reindexed_to_CN_ETF_calendar_ffill
159985.SZ,QVeris cn_financial_pro.history_quotation.v1 stock_common cps=3,2019-12-05,2026-04-30,1551,index_except_soy,reindexed_to_CN_ETF_calendar_ffill
^NDX,yfinance auto_adjust Close,2015-01-02,2026-04-30,2848,index_except_soy,reindexed_to_CN_ETF_calendar_ffill
^GDAXI,yfinance auto_adjust Close,2015-01-02,2026-04-30,2873,index_except_soy,reindexed_to_CN_ETF_calendar_ffill
^N225,yfinance auto_adjust Close,2015-01-05,2026-04-30,2767,index_except_soy,reindexed_to_CN_ETF_calendar_ffill
GC=F,yfinance auto_adjust Close,2015-01-02,2026-04-30,2847,index_except_soy,reindexed_to_CN_ETF_calendar_ffill
