mode,bias_n,mom_day,r2_window,year,return
a_style_volscale,60,25,20,2015,-0.04184480701177351
a_style_volscale,60,25,20,2016,-0.04926403676431912
a_style_volscale,60,25,20,2017,0.06774434677130792
a_style_volscale,60,25,20,2018,-0.16323047362348886
a_style_volscale,60,25,20,2019,0.42834736792118133
a_style_volscale,60,25,20,2020,0.480186226400779
a_style_volscale,60,25,20,2021,0.12608227873137756
a_style_volscale,60,25,20,2022,0.2826990422804665
a_style_volscale,60,25,20,2023,0.03335028419230812
a_style_volscale,60,25,20,2024,0.3347231761403793
a_style_volscale,60,25,20,2025,1.6082619796728101
a_style_volscale,60,25,20,2026,0.13031239746929257
a_style_volscale,60,30,20,2015,-0.06737182768305139
a_style_volscale,60,30,20,2016,0.14392138913534103
a_style_volscale,60,30,20,2017,-0.06396536326173707
a_style_volscale,60,30,20,2018,-0.07201441201930536
a_style_volscale,60,30,20,2019,0.3566597683109336
a_style_volscale,60,30,20,2020,0.2825311719402612
a_style_volscale,60,30,20,2021,0.13479637143726797
a_style_volscale,60,30,20,2022,0.20091711513668797
a_style_volscale,60,30,20,2023,-0.00853848577722971
a_style_volscale,60,30,20,2024,0.3179597002548529
a_style_volscale,60,30,20,2025,1.5310946945566641
a_style_volscale,60,30,20,2026,0.10057506483730205
a_style_volscale,60,35,20,2015,-0.06181636498494081
a_style_volscale,60,35,20,2016,0.0763322377962421
a_style_volscale,60,35,20,2017,-0.044955695321729494
a_style_volscale,60,35,20,2018,-0.06949069205692349
a_style_volscale,60,35,20,2019,0.2151380596293564
a_style_volscale,60,35,20,2020,0.2858785747229686
a_style_volscale,60,35,20,2021,0.012510397639644344
a_style_volscale,60,35,20,2022,0.14879522078133256
a_style_volscale,60,35,20,2023,0.198310952217168
a_style_volscale,60,35,20,2024,0.3515583702006644
a_style_volscale,60,35,20,2025,1.4422406000235237
a_style_volscale,60,35,20,2026,0.037773824158706226
a_style_volscale,60,40,20,2015,-0.05194696440851487
a_style_volscale,60,40,20,2016,0.04805861014234858
a_style_volscale,60,40,20,2017,-0.12527993081371025
a_style_volscale,60,40,20,2018,-0.010002151699197603
a_style_volscale,60,40,20,2019,0.3028405516946171
a_style_volscale,60,40,20,2020,0.5195104221691746
a_style_volscale,60,40,20,2021,-0.07790178773065326
a_style_volscale,60,40,20,2022,0.03512224107977002
a_style_volscale,60,40,20,2023,0.17932452228721885
a_style_volscale,60,40,20,2024,0.338172196841511
a_style_volscale,60,40,20,2025,1.1624010383609216
a_style_volscale,60,40,20,2026,-0.008945913567228514
a_style_volscale,60,20,20,2015,0.016500203204132147
a_style_volscale,60,20,20,2016,-0.08726361745186173
a_style_volscale,60,20,20,2017,0.12040929060400973
a_style_volscale,60,20,20,2018,-0.04894943325568335
a_style_volscale,60,20,20,2019,0.6091109749061348
a_style_volscale,60,20,20,2020,0.24405663212321627
a_style_volscale,60,20,20,2021,-0.0649739990712982
a_style_volscale,60,20,20,2022,0.12314437602165107
a_style_volscale,60,20,20,2023,0.0014454452318952704
a_style_volscale,60,20,20,2024,0.3577844402928889
a_style_volscale,60,20,20,2025,1.0287056403862858
a_style_volscale,60,20,20,2026,0.041794962209098285
core_1x,60,25,20,2015,-0.04184480701177351
core_1x,60,25,20,2016,-0.018722351151227667
core_1x,60,25,20,2017,0.0579534034057394
core_1x,60,25,20,2018,-0.09708022421006812
core_1x,60,25,20,2019,0.28502552497133915
core_1x,60,25,20,2020,0.3376997955799983
core_1x,60,25,20,2021,0.11016740003497794
core_1x,60,25,20,2022,0.20122198962122284
core_1x,60,25,20,2023,0.03631864773158888
core_1x,60,25,20,2024,0.22342189456643946
core_1x,60,25,20,2025,1.0949529719460358
core_1x,60,25,20,2026,0.1305582284319795
core_1x,60,30,20,2015,-0.06737182768305139
core_1x,60,30,20,2016,0.15316109331283911
core_1x,60,30,20,2017,-0.031131977561739688
core_1x,60,30,20,2018,-0.03285562388047647
core_1x,60,30,20,2019,0.2513278859418375
core_1x,60,30,20,2020,0.1929535448424491
core_1x,60,30,20,2021,0.10749118156743376
core_1x,60,30,20,2022,0.15797616076084742
core_1x,60,30,20,2023,0.007897495186563797
core_1x,60,30,20,2024,0.2518992809092526
core_1x,60,30,20,2025,1.0473764634548584
core_1x,60,30,20,2026,0.10806676500829249
core_1x,60,35,20,2015,-0.06181636498494081
core_1x,60,35,20,2016,0.11556061572290877
core_1x,60,35,20,2017,-0.018042968804458104
core_1x,60,35,20,2018,-0.0312693720502325
core_1x,60,35,20,2019,0.1673027089271475
core_1x,60,35,20,2020,0.16884649322047784
core_1x,60,35,20,2021,0.019214831946857247
core_1x,60,35,20,2022,0.12508323094090046
core_1x,60,35,20,2023,0.14334572073158003
core_1x,60,35,20,2024,0.24814620880930938
core_1x,60,35,20,2025,0.9930140818985209
core_1x,60,35,20,2026,0.0657915193733043
core_1x,60,40,20,2015,-0.05194696440851487
core_1x,60,40,20,2016,0.1028337137285733
core_1x,60,40,20,2017,-0.074073611452803
core_1x,60,40,20,2018,0.00965962955816524
core_1x,60,40,20,2019,0.215039082177658
core_1x,60,40,20,2020,0.35963906266943746
core_1x,60,40,20,2021,-0.04479642078182011
core_1x,60,40,20,2022,0.04583562511892758
core_1x,60,40,20,2023,0.13073646290163832
core_1x,60,40,20,2024,0.24834309775036623
core_1x,60,40,20,2025,0.8079613943383355
core_1x,60,40,20,2026,0.029008588079560527
core_1x,60,20,20,2015,0.016500203204132147
core_1x,60,20,20,2016,-0.062483515430843184
core_1x,60,20,20,2017,0.09320479059199327
core_1x,60,20,20,2018,-0.01764245002389253
core_1x,60,20,20,2019,0.40712214877950736
core_1x,60,20,20,2020,0.20690927916798763
core_1x,60,20,20,2021,-0.012930895261164865
core_1x,60,20,20,2022,0.09958867737080879
core_1x,60,20,20,2023,0.015312577076479483
core_1x,60,20,20,2024,0.2201962612162236
core_1x,60,20,20,2025,0.7004135232822166
core_1x,60,20,20,2026,0.045225878089744986
