mode,bias_n,mom_day,r2_window,window,start,end,total,cagr,valid,maxdd,dd_date,sharpe,avg_weight,avg_turnover,signal_days,cash_days,top_holds
core_1x,20,25,25,5Y,2021-04-30,2026-04-30,0.5118758872771769,0.08619586128218693,True,-0.2744922626537195,2025-04-07,0.5187671364386912,0.5995045417010735,0.16267547481420314,220,423,cash:423; NASDAQ_159941:233; GOLD_518880:227; 0.399606:213; 1.H00016:115
core_1x,20,25,25,3Y,2023-05-04,2026-04-30,0.5509087960030836,0.1581022755492203,True,-0.27449226265371995,2025-04-07,0.7677222764472976,0.609504132231405,0.15977961432506887,123,248,cash:248; GOLD_518880:144; 0.399606:142; NASDAQ_159941:138; 1.H00016:54
a_style_volscale,20,25,25,10Y,2016-05-03,2026-04-30,0.7651637258315005,0.05852756083770272,True,-0.4756122085983976,2019-01-30,0.34809942797421584,0.8739528863823399,0.24004781157164504,460,775,cash:775; 0.399606:490; NASDAQ_159941:468; GOLD_518880:415; 1.H00016:281
a_style_volscale,20,25,25,5Y,2021-04-30,2026-04-30,0.6180870101390052,0.10104760665175827,True,-0.356503799493893,2025-04-07,0.4909260971151595,0.8222034450543437,0.22690476657533326,220,423,cash:423; NASDAQ_159941:233; GOLD_518880:227; 0.399606:213; 1.H00016:115
a_style_volscale,20,25,25,3Y,2023-05-04,2026-04-30,0.770131642811178,0.2104654862758466,True,-0.35650379949389277,2025-04-07,0.7848071797920535,0.787298272324481,0.21144628465054185,123,248,cash:248; GOLD_518880:144; 0.399606:142; NASDAQ_159941:138; 1.H00016:54
core_1x,20,30,30,10Y,2016-05-03,2026-04-30,0.6853580615985579,0.05363687562138808,True,-0.3291418464005843,2024-02-01,0.36875197606130333,0.6183614656237134,0.15047344586249486,396,822,cash:822; 0.399606:478; NASDAQ_159941:472; GOLD_518880:378; 1.H00016:279
core_1x,20,30,30,5Y,2021-04-30,2026-04-30,0.003113034076548171,0.000621918144168232,True,-0.3291418464005851,2024-02-01,0.1006706425843386,0.6011560693641619,0.14368290668868702,197,433,cash:433; NASDAQ_159941:233; GOLD_518880:210; 0.399606:208; 1.H00016:127
core_1x,20,30,30,3Y,2023-05-04,2026-04-30,0.3469430147960286,0.10475117475469342,True,-0.20679240659918363,2025-04-07,0.564159081838339,0.6157024793388429,0.14049586776859505,114,251,cash:251; NASDAQ_159941:148; 0.399606:136; GOLD_518880:136; 1.H00016:55
a_style_volscale,20,30,30,10Y,2016-05-03,2026-04-30,0.617642213579275,0.04932080192111443,True,-0.48043568083339716,2024-02-01,0.3163123123606608,0.8633136225227954,0.21182481420070326,396,822,cash:822; 0.399606:478; NASDAQ_159941:472; GOLD_518880:378; 1.H00016:279
a_style_volscale,20,30,30,5Y,2021-04-30,2026-04-30,-0.14295363079753298,-0.030385660958942795,True,-0.4804356808333964,2024-02-01,0.01954870765630743,0.8289732325015111,0.20181482486509095,197,433,cash:433; NASDAQ_159941:233; GOLD_518880:210; 0.399606:208; 1.H00016:127
a_style_volscale,20,30,30,3Y,2023-05-04,2026-04-30,0.3961392571121094,0.11808669094769497,True,-0.29148040875433123,2025-04-07,0.5267219258144623,0.8028125109056207,0.18783134769324886,114,251,cash:251; NASDAQ_159941:148; 0.399606:136; GOLD_518880:136; 1.H00016:55
core_1x,20,35,35,10Y,2016-05-03,2026-04-30,1.5095698606953811,0.09647379613674034,True,-0.3425419379224802,2024-10-17,0.577638992603196,0.6119802387813915,0.13338822560724578,369,850,cash:850; 0.399606:509; NASDAQ_159941:452; GOLD_518880:354; 1.H00016:264
core_1x,20,35,35,5Y,2021-04-30,2026-04-30,0.4033410950512286,0.07013034265901741,True,-0.3190447842523445,2024-10-17,0.4567451778107829,0.6028075970272502,0.129644921552436,194,437,cash:437; 0.399606:240; NASDAQ_159941:214; GOLD_518880:187; 1.H00016:133
core_1x,20,35,35,3Y,2023-05-04,2026-04-30,0.8323231581870678,0.22452713214413134,True,-0.2660329781155466,2024-10-17,1.0830181220204107,0.6294765840220385,0.128099173553719,113,241,cash:241; 0.399606:162; NASDAQ_159941:134; GOLD_518880:125; 1.H00016:64
a_style_volscale,20,35,35,10Y,2016-05-03,2026-04-30,1.6959980903962375,0.10436661951741444,True,-0.5194452341983156,2024-10-17,0.5129987153836395,0.8618844543031157,0.18897922592731434,369,850,cash:850; 0.399606:509; NASDAQ_159941:452; GOLD_518880:354; 1.H00016:264
a_style_volscale,20,35,35,5Y,2021-04-30,2026-04-30,0.30024894827087856,0.05392188906816209,True,-0.485142140817318,2024-10-17,0.33333745955531335,0.8501098798069546,0.1857700439279104,194,437,cash:437; 0.399606:240; NASDAQ_159941:214; GOLD_518880:187; 1.H00016:133
a_style_volscale,20,35,35,3Y,2023-05-04,2026-04-30,1.0622007738843897,0.27390426873937357,True,-0.3766185465503076,2024-10-17,1.0034455898960826,0.8603697033547031,0.17814648586590967,113,241,cash:241; 0.399606:162; NASDAQ_159941:134; GOLD_518880:125; 1.H00016:64
core_1x,20,40,40,10Y,2016-05-03,2026-04-30,2.044585023182559,0.117890303380219,True,-0.3622549654198759,2019-01-17,0.6800895725114035,0.6117743927542199,0.11445039110745163,319,855,cash:855; 0.399606:514; NASDAQ_159941:472; GOLD_518880:356; 1.H00016:232
core_1x,20,40,40,5Y,2021-04-30,2026-04-30,1.3805220002740302,0.18944606537708442,True,-0.17760251015230477,2024-10-17,1.0324506739136292,0.611065235342692,0.10858794384805945,159,425,cash:425; 0.399606:245; NASDAQ_159941:217; GOLD_518880:192; 1.H00016:132
core_1x,20,40,40,3Y,2023-05-04,2026-04-30,1.079373818480263,0.2774427845908978,True,-0.17760251015230433,2024-10-17,1.280514247800155,0.6508264462809917,0.10743801652892562,94,226,cash:226; 0.399606:167; NASDAQ_159941:141; GOLD_518880:134; 1.H00016:58
a_style_volscale,20,40,40,10Y,2016-05-03,2026-04-30,3.030808880135498,0.14973377060913617,True,-0.5124559002628979,2019-01-17,0.6745186505514589,0.8530064636428708,0.16140777857903627,319,855,cash:855; 0.399606:514; NASDAQ_159941:472; GOLD_518880:356; 1.H00016:232
a_style_volscale,20,40,40,5Y,2021-04-30,2026-04-30,1.9314731636434908,0.24002366775747896,True,-0.25957393239372306,2024-10-17,0.9728901565022511,0.8614171733611171,0.15646797600493095,159,425,cash:425; 0.399606:245; NASDAQ_159941:217; GOLD_518880:192; 1.H00016:132
a_style_volscale,20,40,40,3Y,2023-05-04,2026-04-30,1.5398424488537925,0.3658373043146068,True,-0.2595739323937226,2024-10-17,1.2525442021207358,0.8891641582522819,0.1505964845169378,94,226,cash:226; 0.399606:167; NASDAQ_159941:141; GOLD_518880:134; 1.H00016:58
core_1x,20,50,50,10Y,2016-05-03,2026-04-30,1.1035871156083337,0.07727610654302386,True,-0.3310426020390427,2019-02-27,0.483513079487728,0.6204199258954303,0.10971593248250308,287,839,cash:839; 0.399606:544; NASDAQ_159941:438; GOLD_518880:373; 1.H00016:235
core_1x,20,50,50,5Y,2021-04-30,2026-04-30,1.1437990651000844,0.16478530791540158,True,-0.22751032806596794,2026-02-02,0.9201091087294122,0.6176713459950454,0.10115606936416185,140,419,cash:419; 0.399606:240; GOLD_518880:223; NASDAQ_159941:221; 1.H00016:108
core_1x,20,50,50,3Y,2023-05-04,2026-04-30,0.9632774507322082,0.2531294378082152,True,-0.22751032806596894,2026-02-02,1.179515434228108,0.6859504132231405,0.09573002754820936,77,201,cash:201; 0.399606:169; GOLD_518880:157; NASDAQ_159941:153; 1.H00016:46
a_style_volscale,20,50,50,10Y,2016-05-03,2026-04-30,1.2033621198480122,0.08228464160283155,True,-0.484183715956661,2019-02-27,0.43548910528726176,0.8728433469040492,0.1553306361412102,287,839,cash:839; 0.399606:544; NASDAQ_159941:438; GOLD_518880:373; 1.H00016:235
a_style_volscale,20,50,50,5Y,2021-04-30,2026-04-30,1.5096647199359063,0.2020819707191186,True,-0.3171507176393632,2024-05-24,0.8610143603903008,0.8700411204980071,0.1462200244662109,140,419,cash:419; 0.399606:240; GOLD_518880:223; NASDAQ_159941:221; 1.H00016:108
a_style_volscale,20,50,50,3Y,2023-05-04,2026-04-30,1.3227358607521418,0.32561954138068283,True,-0.25124545178614743,2026-02-02,1.1574436601270632,0.9366468401239647,0.13431882057020517,77,201,cash:201; 0.399606:169; GOLD_518880:157; NASDAQ_159941:153; 1.H00016:46
core_1x,20,60,60,10Y,2016-05-03,2026-04-30,4.280217253276112,0.1812300686252386,True,-0.27636188061111266,2021-04-13,0.9253677816920473,0.6204199258954303,0.09386578839028406,238,858,cash:858; 0.399606:560; NASDAQ_159941:439; GOLD_518880:340; 1.H00016:232
core_1x,20,60,60,5Y,2021-04-30,2026-04-30,3.3501595671607785,0.3418949583813877,True,-0.16767475156119704,2026-02-02,1.5312459287645521,0.6321222130470685,0.08835672997522709,117,410,cash:410; 0.399606:257; NASDAQ_159941:241; GOLD_518880:217; 1.H00016:86
core_1x,20,60,60,3Y,2023-05-04,2026-04-30,2.555697904674787,0.5285239784390117,True,-0.16767475156119716,2026-02-02,1.8756484738895378,0.7017906336088154,0.08677685950413223,63,195,cash:195; NASDAQ_159941:175; 0.399606:162; GOLD_518880:156; 1.H00016:38
a_style_volscale,20,60,60,10Y,2016-05-03,2026-04-30,7.5441044977455505,0.23952707499095993,True,-0.3788215771933814,2018-08-17,0.9241859312162762,0.8667387154843568,0.13382677905125176,238,858,cash:858; 0.399606:560; NASDAQ_159941:439; GOLD_518880:340; 1.H00016:232
a_style_volscale,20,60,60,5Y,2021-04-30,2026-04-30,5.800605006106999,0.46734523874965017,True,-0.19670025220288712,2026-02-02,1.5301001345342404,0.8669354661844058,0.1258921348603619,117,410,cash:410; 0.399606:257; NASDAQ_159941:241; GOLD_518880:217; 1.H00016:86
a_style_volscale,20,60,60,3Y,2023-05-04,2026-04-30,4.24766025724239,0.7410558657465729,True,-0.196700252202887,2026-02-02,1.9193909663658628,0.9177761039403775,0.11933202255836323,63,195,cash:195; NASDAQ_159941:175; 0.399606:162; GOLD_518880:156; 1.H00016:38
core_1x,20,80,80,10Y,2016-05-03,2026-04-30,1.5614213376355783,0.09872063855051194,True,-0.31414617663907785,2022-05-24,0.5670704607160901,0.638946068340881,0.08398517908604364,205,823,cash:823; NASDAQ_159941:546; 0.399606:511; GOLD_518880:333; 1.H00016:216
core_1x,20,80,80,5Y,2021-04-30,2026-04-30,1.0323571934888651,0.15241377686258728,True,-0.27249226865206155,2022-05-24,0.7644516624924002,0.6696944673823286,0.08918249380677126,110,369,cash:369; NASDAQ_159941:296; 0.399606:245; GOLD_518880:226; 1.H00016:75
core_1x,20,80,80,3Y,2023-05-04,2026-04-30,0.9467546252654813,0.24959201970172762,True,-0.2609130762947426,2024-09-04,1.0339566371419953,0.7107438016528925,0.09366391184573003,68,187,NASDAQ_159941:190; cash:187; GOLD_518880:179; 0.399606:145; 1.H00016:25
a_style_volscale,20,80,80,10Y,2016-05-03,2026-04-30,1.9694879887420713,0.1150991771588008,True,-0.43316041728005616,2024-09-04,0.5388600902388607,0.894828358154671,0.11995732235014757,205,823,cash:823; NASDAQ_159941:546; 0.399606:511; GOLD_518880:333; 1.H00016:216
a_style_volscale,20,80,80,5Y,2021-04-30,2026-04-30,1.1761611125703646,0.1682813821923037,True,-0.40945004108527894,2024-09-04,0.686154495801888,0.9152032956316315,0.1259365610150324,110,369,cash:369; NASDAQ_159941:296; 0.399606:245; GOLD_518880:226; 1.H00016:75
a_style_volscale,20,80,80,3Y,2023-05-04,2026-04-30,1.1770815116011049,0.297214091958385,True,-0.38180910197259077,2024-09-04,0.9887840355700024,0.9309191303046989,0.12872270347333287,68,187,NASDAQ_159941:190; cash:187; GOLD_518880:179; 0.399606:145; 1.H00016:25
core_1x,40,10,10,10Y,2016-05-03,2026-04-30,-0.32797752929826984,-0.03900346287913137,True,-0.6638889728778818,2022-11-10,-0.042628054176751244,0.6939069575957184,0.3019761218608481,683,592,cash:592; 0.399606:551; NASDAQ_159941:524; GOLD_518880:458; 1.H00016:304
core_1x,40,10,10,5Y,2021-04-30,2026-04-30,-0.21789741168881838,-0.047971779938227654,True,-0.5867620646234086,2022-11-10,-0.023407943600161848,0.6862097440132122,0.28075970272502065,330,303,cash:303; NASDAQ_159941:265; 0.399606:261; GOLD_518880:251; 1.H00016:131
core_1x,40,10,10,3Y,2023-05-04,2026-04-30,0.42704207700596575,0.1263042120560085,True,-0.28813517870132666,2025-07-02,0.592232088801149,0.7183195592286501,0.28236914600550966,191,159,GOLD_518880:170; 0.399606:167; NASDAQ_159941:165; cash:159; 1.H00016:65
a_style_volscale,40,10,10,10Y,2016-05-03,2026-04-30,-0.4444598457768554,-0.057140330240511794,True,-0.7975092743915431,2022-11-10,0.011640668674555843,0.9531267646551329,0.41265489678625505,683,592,cash:592; 0.399606:551; NASDAQ_159941:524; GOLD_518880:458; 1.H00016:304
a_style_volscale,40,10,10,5Y,2021-04-30,2026-04-30,-0.2640342291717156,-0.05948034151551451,True,-0.7396576369493217,2022-11-10,0.0828702079698013,0.9042565069716381,0.36753734213296857,330,303,cash:303; NASDAQ_159941:265; 0.399606:261; GOLD_518880:251; 1.H00016:131
