date,zz1000_close_amount_source,zz1000_volume,zz1000_amount,zz1000_constituents,sz50_close_amount_source,sz50_volume,sz50_amount,sz50_constituents,amount_ratio_zz1000_sz50
2000-01-01,989.98,49.47,2.6,,1000.0,0.0,0.0,,inf
2003-12-31,,,,,1000.0,0.0,0.0,,
2004-01-02,,,,,1011.35,806.47,57.43,,
2004-01-05,,,,,1060.8,1446.82,107.06,,
2004-01-06,,,,,1075.66,1699.13,124.17,,
2004-01-07,,,,,1086.3,1372.94,103.53,,
2004-01-08,,,,,1102.66,1078.04,81.89,,
2004-01-09,,,,,1081.79,1346.74,105.48,,
2004-01-12,,,,,1116.8,1023.39,83.77,,
2004-01-13,,,,,1102.34,983.72,79.89,,
2004-01-14,,,,,1079.72,712.05,53.44,,
2004-01-15,,,,,1073.98,617.92,47.56,,
2004-01-16,,,,,1083.65,717.42,55.2,,
2004-01-29,,,,,1100.6,579.12,45.3,,
2004-01-30,,,,,1067.55,776.11,59.44,,
2004-02-02,,,,,1091.73,1543.29,116.68,,
2004-02-03,,,,,1102.95,841.11,68.28,,
2004-02-04,,,,,1128.44,1053.5,89.15,,
2004-02-05,,,,,1127.9,977.43,85.22,,
2004-02-06,,,,,1122.08,1114.03,90.87,,
2004-02-09,,,,,1134.61,859.83,70.39,,
2004-02-10,,,,,1120.96,866.28,70.84,,
2004-02-11,,,,,1110.06,924.63,71.61,,
2004-02-12,,,,,1094.11,958.16,77.36,,
2004-02-13,,,,,1096.36,690.48,57.58,,
2004-02-16,,,,,1123.75,762.34,61.98,,
2004-02-17,,,,,1123.62,881.59,78.57,,
2004-02-18,,,,,1129.28,809.37,72.09,,
2004-02-19,,,,,1122.38,713.08,62.17,,
2004-02-20,,,,,1124.66,598.88,52.59,,
2004-02-23,,,,,1093.14,880.25,72.58,,
2004-02-24,,,,,1093.1,844.94,68.81,,
2004-02-25,,,,,1070.36,806.41,63.73,,
2004-02-26,,,,,1079.9,810.09,60.42,,
2004-02-27,,,,,1088.73,729.31,56.54,,
2004-03-01,,,,,1094.24,644.17,52.98,,
2004-03-02,,,,,1093.39,557.73,46.08,,
2004-03-03,,,,,1072.64,521.48,41.77,,
2004-03-04,,,,,1078.35,481.04,38.54,,
2004-03-05,,,,,1071.58,336.5,27.55,,
2004-03-08,,,,,1057.1,459.98,37.07,,
2004-03-09,,,,,1061.16,691.8,48.77,,
2004-03-10,,,,,1091.1,611.4,47.68,,
2004-03-11,,,,,1095.56,576.18,48.17,,
2004-03-12,,,,,1099.08,523.61,41.59,,
2004-03-15,,,,,1131.68,1025.21,85.01,,
2004-03-16,,,,,1135.57,732.94,62.24,,
2004-03-17,,,,,1135.17,548.98,48.43,,
2004-03-18,,,,,1111.85,686.98,57.86,,
2004-03-19,,,,,1129.78,588.6,47.83,,
2004-03-22,,,,,1134.79,509.37,43.2,,
2004-03-23,,,,,1121.33,558.75,46.44,,
2004-03-24,,,,,1115.51,480.01,42.14,,
2004-03-25,,,,,1115.24,460.92,37.77,,
2004-03-26,,,,,1112.78,539.45,46.3,,
2004-03-29,,,,,1101.66,533.63,41.56,,
2004-03-30,,,,,1101.27,415.87,34.66,,
2004-03-31,,,,,1108.54,424.79,34.69,,
2004-04-01,,,,,1123.44,468.27,39.76,,
2004-04-02,,,,,1127.81,578.9,49.55,,
2004-04-05,,,,,1118.27,625.97,51.42,,
2004-04-06,,,,,1123.86,554.6,45.26,,
2004-04-07,,,,,1117.44,467.45,41.05,,
2004-04-08,,,,,1112.84,575.87,49.97,,
2004-04-09,,,,,1088.16,692.2,55.77,,
2004-04-12,,,,,1080.08,502.12,39.2,,
2004-04-13,,,,,1072.73,495.89,37.39,,
2004-04-14,,,,,1065.68,483.8,38.06,,
2004-04-15,,,,,1055.89,360.12,27.62,,
2004-04-16,,,,,1071.23,443.76,34.09,,
2004-04-19,,,,,1054.74,407.87,29.65,,
2004-04-20,,,,,1052.24,339.39,25.6,,
2004-04-21,,,,,1043.53,449.28,34.06,,
2004-04-22,,,,,1050.76,413.56,30.94,,
2004-04-23,,,,,1034.41,323.63,24.29,,
2004-04-26,,,,,1039.0,250.8,18.96,,
2004-04-27,,,,,1031.22,359.93,27.19,,
2004-04-28,,,,,1029.81,373.34,29.26,,
2004-04-29,,,,,1016.51,481.15,38.34,,
2004-04-30,,,,,1025.95,478.19,36.31,,
2004-05-10,,,,,996.16,279.73,20.17,,
2004-05-11,,,,,1003.9,213.32,15.84,,
2004-05-12,,,,,1025.02,320.19,22.56,,
2004-05-13,,,,,1021.0,210.52,16.12,,
2004-05-14,,,,,997.95,267.59,18.59,,
2004-05-17,,,,,981.74,297.57,21.13,,
2004-05-18,,,,,989.21,522.29,39.9,,
2004-05-19,,,,,988.92,385.23,27.07,,
2004-05-20,,,,,985.93,261.33,19.17,,
2004-05-21,,,,,994.45,258.37,17.99,,
2004-05-24,,,,,991.85,205.25,15.4,,
2004-05-25,,,,,978.6,231.18,16.42,,
2004-05-26,,,,,985.0,177.46,12.8,,
2004-05-27,,,,,1003.29,401.49,27.28,,
2004-05-28,,,,,995.64,210.25,14.85,,
2004-05-31,,,,,1001.19,178.77,12.43,,
2004-06-01,,,,,1014.17,290.41,22.69,,
2004-06-02,,,,,1001.69,265.66,19.3,,
2004-06-03,,,,,986.45,208.83,15.42,,
2004-06-04,,,,,986.23,209.08,14.9,,
2004-06-07,,,,,973.22,216.33,14.56,,
2004-06-08,,,,,954.77,329.04,21.92,,
2004-06-09,,,,,941.3,309.24,21.83,,
2004-06-10,,,,,944.25,285.16,19.77,,
2004-06-11,,,,,942.86,294.89,19.49,,
2004-06-14,,,,,924.59,289.1,18.71,,
2004-06-15,,,,,942.68,305.73,20.13,,
2004-06-16,,,,,947.16,336.26,21.75,,
2004-06-17,,,,,926.04,259.07,17.31,,
2004-06-18,,,,,910.19,357.2,24.24,,
2004-06-21,,,,,909.05,212.56,13.78,,
2004-06-22,,,,,918.8,250.32,16.2,,
2004-06-23,,,,,912.85,222.73,13.91,,
2004-06-24,,,,,906.42,231.16,14.52,,
2004-06-25,,,,,891.79,244.86,15.3,,
2004-06-28,,,,,883.76,224.61,13.45,,
2004-06-29,,,,,901.05,313.97,18.38,,
2004-06-30,,,,,897.71,270.06,15.97,,
2004-07-01,,,,,925.0,446.01,28.92,,
2004-07-02,,,,,926.62,316.09,20.32,,
2004-07-05,,,,,928.67,330.73,21.11,,
2004-07-06,,,,,931.88,422.6,26.21,,
2004-07-07,,,,,923.86,211.91,13.56,,
2004-07-08,,,,,927.04,207.93,12.24,,
2004-07-09,,,,,923.2,225.63,14.65,,
2004-07-12,,,,,904.55,252.83,16.12,,
2004-07-13,,,,,906.97,211.89,13.47,,
2004-07-14,,,,,912.19,305.01,18.76,,
2004-07-15,,,,,925.68,455.49,30.66,,
2004-07-16,,,,,946.18,837.15,50.33,,
2004-07-19,,,,,947.42,425.12,26.91,,
2004-07-20,,,,,939.23,371.59,24.43,,
2004-07-21,,,,,940.51,232.65,15.64,,
2004-07-22,,,,,913.14,483.27,31.75,,
2004-07-23,,,,,915.04,439.16,26.94,,
2004-07-26,,,,,903.75,262.62,16.06,,
2004-07-27,,,,,903.32,295.69,18.38,,
2004-07-28,,,,,906.05,352.46,20.93,,
2004-07-29,,,,,918.79,406.6,22.57,,
2004-07-30,,,,,906.27,320.13,19.06,,
2004-08-02,,,,,900.02,199.65,13.68,,
2004-08-03,,,,,893.3,233.31,16.36,,
2004-08-04,,,,,923.02,767.18,43.95,,
2004-08-05,,,,,909.08,440.39,25.76,,
2004-08-06,,,,,911.56,338.97,21.25,,
2004-08-09,,,,,920.76,293.67,17.62,,
2004-08-10,,,,,926.54,253.73,15.95,,
2004-08-11,,,,,914.61,250.6,14.51,,
2004-08-12,,,,,907.83,266.18,15.4,,
2004-08-13,,,,,907.0,375.54,24.48,,
2004-08-16,,,,,904.01,257.88,15.91,,
2004-08-17,,,,,910.86,207.91,13.56,,
2004-08-18,,,,,911.85,259.4,18.28,,
2004-08-19,,,,,903.32,247.85,15.88,,
2004-08-20,,,,,904.83,252.48,15.86,,
2004-08-23,,,,,889.66,207.36,13.88,,
2004-08-24,,,,,897.77,242.37,14.07,,
2004-08-25,,,,,894.37,154.5,9.11,,
2004-08-26,,,,,892.1,153.02,9.71,,
2004-08-27,,,,,883.7,207.97,12.47,,
2004-08-30,,,,,882.05,163.91,8.75,,
2004-08-31,,,,,895.78,291.02,17.58,,
2004-09-01,,,,,880.54,202.01,12.1,,
2004-09-02,,,,,881.57,315.93,17.55,,
2004-09-03,,,,,879.42,159.73,8.88,,
2004-09-06,,,,,874.69,170.04,8.91,,
2004-09-07,,,,,877.77,159.74,8.73,,
2004-09-08,,,,,864.59,383.41,16.51,,
2004-09-09,,,,,848.46,296.05,15.63,,
2004-09-10,,,,,851.97,180.1,9.94,,
2004-09-13,,,,,834.1,186.35,10.39,,
2004-09-14,,,,,860.1,396.29,21.49,,
2004-09-15,,,,,892.77,852.07,48.49,,
2004-09-16,,,,,903.4,651.17,36.28,,
2004-09-17,,,,,932.32,987.58,57.56,,
2004-09-20,,,,,965.11,1313.43,79.45,,
2004-09-21,,,,,955.0,906.86,56.22,,
2004-09-22,,,,,933.1,902.15,56.56,,
2004-09-23,,,,,967.32,619.78,40.02,,
2004-09-24,,,,,951.09,1363.54,94.52,,
2004-09-27,,,,,946.14,638.01,39.68,,
2004-09-28,,,,,947.77,433.62,27.13,,
2004-09-29,,,,,936.46,388.77,24.45,,
2004-09-30,,,,,924.36,431.74,26.0,,
2004-10-08,,,,,936.01,473.16,30.31,,
2004-10-11,,,,,923.22,630.27,42.39,,
2004-10-12,,,,,902.72,510.87,33.4,,
2004-10-13,,,,,901.97,425.11,30.13,,
2004-10-14,,,,,876.82,497.22,34.88,,
