target_vol,year,return
1x,2020,1.2122082522107114
1x,2021,0.510864028835379
1x,2022,0.9937433560234277
1x,2023,0.5982192263902621
1x,2024,1.238376546384727
1x,2025,0.7786618639048233
1x,2026,0.35257700923861
15%,2020,0.7662809190004061
15%,2021,0.329200778598002
15%,2022,0.5952425955429652
15%,2023,0.39914460816028785
15%,2024,0.7283153138774379
15%,2025,0.4362321750461011
15%,2026,0.19649099225142508
16%,2020,0.8326733687033931
16%,2021,0.35362387496287884
16%,2022,0.6441152712616618
16%,2023,0.42959170216256215
16%,2024,0.7889089154795261
16%,2025,0.4702005083699201
16%,2026,0.21051275904424815
17%,2020,0.9013194212225266
17%,2021,0.3783646646748422
17%,2022,0.6942861122834796
17%,2023,0.4605462779641618
17%,2024,0.8511945375987713
17%,2025,0.5048298867695897
17%,2026,0.22465205647577635
18%,2020,0.9722859874586038
18%,2021,0.40149385466794674
18%,2022,0.7457834245680637
18%,2023,0.4920131021739673
18%,2024,0.9152069532816545
18%,2025,0.5401293336535562
18%,2026,0.23890924875346697
19%,2020,1.0456416071745998
19%,2021,0.42431695117586354
19%,2022,0.7986359527907916
19%,2023,0.5239969019179074
19%,2024,0.9811209110071095
19%,2025,0.5761078965027335
19%,2026,0.2532846929529713
20%,2020,1.1214564759387797
20%,2021,0.4492241034559139
20%,2022,0.8528728822084515
20%,2023,0.5565023625025951
20%,2024,1.0527059128833676
20%,2025,0.6127746440665094
20%,2026,0.267778738904483
