scenario,removed_codes,removed_names,removed_n,remaining_a_codes,window,start,end,total,cagr,maxdd,dd_date,sharpe,trade_actions,cash_days,delta_cagr,delta_total,delta_maxdd,delta_sharpe
with_bond,,,0,1.H20955+0.399606+1.H00016+1.H00852+1.H00905,10Y,2016-05-03,2026-04-30,4.02929357193666,0.17548741798159329,-0.2069283889775304,2020-10-23,0.8952451815751499,599,29,0.0,0.0,0.0,0.0
with_bond,,,0,1.H20955+0.399606+1.H00016+1.H00852+1.H00905,5Y,2021-04-30,2026-04-30,1.7495874463947012,0.22423709695447402,-0.17955375197782908,2023-03-10,1.0882999590528868,291,18,0.0,0.0,0.0,0.0
with_bond,,,0,1.H20955+0.399606+1.H00016+1.H00852+1.H00905,3Y,2023-05-04,2026-04-30,1.2878400859182872,0.3189246513771753,-0.16752398833889326,2024-02-01,1.3386456020292168,181,10,0.0,0.0,0.0,0.0
no_bond,,,0,1.H20955+0.399606+1.H00016+1.H00852+1.H00905,10Y,2016-05-03,2026-04-30,4.287633210472458,0.18139602425242685,-0.2202820945028453,2020-04-02,0.9051699814132327,545,81,0.0,0.0,0.0,0.0
no_bond,,,0,1.H20955+0.399606+1.H00016+1.H00852+1.H00905,5Y,2021-04-30,2026-04-30,1.7287968954912354,0.2223798445403562,-0.19942570069472454,2023-03-10,1.0609836785679327,255,39,0.0,0.0,0.0,0.0
no_bond,,,0,1.H20955+0.399606+1.H00016+1.H00852+1.H00905,3Y,2023-05-04,2026-04-30,1.266313005772337,0.31476064065249165,-0.19558820416122213,2024-02-01,1.3084948504423441,159,29,0.0,0.0,0.0,0.0
with_bond,1.H20955,dividend_low_vol_100_tr,1,0.399606+1.H00016+1.H00852+1.H00905,10Y,2016-05-03,2026-04-30,2.944967590351108,0.14725910870607195,-0.2069283889775303,2020-10-23,0.7774630189371563,597,30,-0.028228309275521335,-1.0843259815855517,1.1102230246251565e-16,-0.11778216263799357
with_bond,1.H20955,dividend_low_vol_100_tr,1,0.399606+1.H00016+1.H00852+1.H00905,5Y,2021-04-30,2026-04-30,1.2584401895357011,0.17698629746985262,-0.16732007630472168,2024-02-01,0.8972044129446226,299,19,-0.04725079948462141,-0.49114725685900007,0.012233675673107403,-0.19109554610826418
with_bond,1.H20955,dividend_low_vol_100_tr,1,0.399606+1.H00016+1.H00852+1.H00905,3Y,2023-05-04,2026-04-30,1.1477852862175966,0.291349049225305,-0.16732007630472145,2024-02-01,1.2385490199669835,171,10,-0.02757560215187027,-0.14005479970069068,0.0002039120341718048,-0.10009658206223326
no_bond,1.H20955,dividend_low_vol_100_tr,1,0.399606+1.H00016+1.H00852+1.H00905,10Y,2016-05-03,2026-04-30,3.958127389080431,0.17381177194452402,-0.22028209450284542,2020-04-02,0.870276984368391,527,104,-0.007584252307902828,-0.32950582139202655,-1.1102230246251565e-16,-0.03489299704484172
