date,position,asset_return,base_weight,trade_count,stop_exit_count,return_1x,nav_1x,realized_vol_for_scale,scale_raw,weight,return_tv25,nav_tv25
2020-01-02,159915.SZ,0.0,0.0,1,0,0.0,1.0,,1.0,0.0,0.0,1.0
2020-01-03,159915.SZ,-0.0005665722379603055,1.0,1,0,-0.0005665722379603055,0.9994334277620397,,1.0,1.0,-0.0005665722379603055,0.9994334277620397
2020-01-06,159915.SZ,0.013605442176870763,1.0,1,0,0.013605442176870763,1.0130311614730878,,1.0,1.0,0.013605442176870763,1.0130311614730878
2020-01-07,159915.SZ,0.019015659955257336,1.0,1,0,0.019015659955257336,1.0322946175637395,,1.0,1.0,0.019015659955257336,1.0322946175637395
2020-01-08,159915.SZ,-0.016465422612513714,1.0,1,0,-0.016465422612513714,1.0152974504249292,,1.0,1.0,-0.016465422612513714,1.0152974504249292
2020-01-09,159915.SZ,0.026227678571428603,1.0,1,0,0.026227678571428603,1.0419263456090653,,1.0,1.0,0.026227678571428603,1.0419263456090653
2020-01-10,159915.SZ,-0.004350190320826508,1.0,1,0,-0.004350190320826508,1.0373937677053826,,1.0,1.0,-0.004350190320826508,1.0373937677053826
2020-01-13,159915.SZ,0.016930638995084735,1.0,1,0,0.016930638995084735,1.0549575070821533,,1.0,1.0,0.016930638995084735,1.0549575070821533
2020-01-14,159915.SZ,-0.0064446831364124435,1.0,1,0,-0.0064446831364124435,1.0481586402266292,,1.0,1.0,-0.0064446831364124435,1.0481586402266292
2020-01-15,159915.SZ,-0.001621621621621716,1.0,1,0,-0.001621621621621716,1.0464589235127482,,1.0,1.0,-0.001621621621621716,1.0464589235127482
2020-01-16,159915.SZ,0.004872766648619464,1.0,1,0,0.004872766648619464,1.0515580736543912,,1.0,1.0,0.004872766648619464,1.0515580736543912
2020-01-17,159915.SZ,0.0010775862068965747,1.0,1,0,0.0010775862068965747,1.0526912181303119,,1.0,1.0,0.0010775862068965747,1.0526912181303119
2020-01-20,159915.SZ,0.025296017222820266,1.0,1,0,0.025296017222820266,1.0793201133144479,,1.0,1.0,0.025296017222820266,1.0793201133144479
2020-01-21,159915.SZ,-0.006824146981627366,1.0,1,0,-0.006824146981627366,1.0719546742209634,,1.0,1.0,-0.006824146981627366,1.0719546742209634
2020-01-22,159915.SZ,0.01374207188160681,1.0,1,0,0.01374207188160681,1.0866855524079322,,1.0,1.0,0.01374207188160681,1.0866855524079322
2020-01-23,159915.SZ,-0.03388946819603755,1.0,1,0,-0.03388946819603755,1.04985835694051,,1.0,1.0,-0.03388946819603755,1.04985835694051
2020-02-03,CASH,0.0,1.0,2,1,0.0,1.04985835694051,,1.0,1.0,0.0,1.04985835694051
2020-02-04,159941.SZ,0.0,0.0,3,1,0.0,1.04985835694051,,1.0,0.0,0.0,1.04985835694051
2020-02-05,159941.SZ,0.016617790811339406,1.0,3,1,0.016617790811339406,1.0673046834976838,,1.0,1.0,0.016617790811339406,1.0673046834976838
2020-02-06,159941.SZ,0.018750000000000044,1.0,3,1,0.018750000000000044,1.0873166463132655,,1.0,1.0,0.018750000000000044,1.0873166463132655
2020-02-07,159941.SZ,0.023124115148654978,1.0,3,1,0.023124115148654978,1.1124598816456628,,1.0,1.0,0.023124115148654978,1.1124598816456628
2020-02-10,159915.SZ,0.01568265682656822,1.0,4,1,0.01568265682656822,1.1299062082028364,,1.0,1.0,0.01568265682656822,1.1299062082028364
2020-02-11,159941.SZ,-0.007139214686384454,1.0,5,1,-0.007139214686384454,1.1218395652069977,,1.0,1.0,-0.007139214686384454,1.1218395652069977
2020-02-12,159941.SZ,0.02039007092198597,1.0,5,1,0.02039007092198597,1.1447139535046582,,1.0,1.0,0.02039007092198597,1.1447139535046582
2020-02-13,159941.SZ,0.04908774978279751,1.0,5,1,0.04908774978279751,1.2009053856271719,,1.0,1.0,0.04908774978279751,1.2009053856271719
2020-02-14,CASH,0.0,1.0,6,2,0.0,1.2009053856271719,,1.0,1.0,0.0,1.2009053856271719
2020-02-17,159915.SZ,0.0,0.0,7,2,0.0,1.2009053856271719,,1.0,0.0,0.0,1.2009053856271719
2020-02-18,159915.SZ,0.00917431192660545,1.0,7,2,0.00917431192660545,1.211922866229256,,1.0,1.0,0.00917431192660545,1.211922866229256
2020-02-19,159941.SZ,-0.017224880382775143,1.0,8,2,-0.017224880382775143,1.1910476398253071,,1.0,1.0,-0.017224880382775143,1.1910476398253071
2020-02-20,159941.SZ,0.013140009062075464,1.0,8,2,0.013140009062075464,1.2066980166059753,,1.0,1.0,0.013140009062075464,1.2066980166059753
2020-02-21,159941.SZ,-0.022361359570661987,1.0,8,2,-0.022361359570661987,1.1797146083634444,,1.0,1.0,-0.022361359570661987,1.1797146083634444
2020-02-24,CASH,0.0,1.0,9,3,0.0,1.1797146083634444,,1.0,1.0,0.0,1.1797146083634444
2020-02-25,159915.SZ,0.0,0.0,10,3,0.0,1.1797146083634444,,1.0,0.0,0.0,1.1797146083634444
2020-02-26,159915.SZ,-0.04236902050113889,1.0,10,3,-0.04236902050113889,1.1297312559362007,,1.0,1.0,-0.04236902050113889,1.1297312559362007
2020-02-27,159915.SZ,0.00428163653663205,1.0,10,3,0.00428163653663205,1.1345683545581924,,1.0,1.0,0.00428163653663205,1.1345683545581924
2020-02-28,CASH,0.0,1.0,11,4,0.0,1.1345683545581924,,1.0,1.0,0.0,1.1345683545581924
2020-03-02,518880.SH,0.0,0.0,12,4,0.0,1.1345683545581924,,1.0,0.0,0.0,1.1345683545581924
2020-03-03,518880.SH,-0.0016939582156972888,1.0,12,4,-0.0016939582156972888,1.1326464431727183,,1.0,1.0,-0.0016939582156972888,1.1326464431727183
2020-03-04,159915.SZ,0.02149321266968318,1.0,13,4,0.02149321266968318,1.1569906540553898,,1.0,1.0,0.02149321266968318,1.1569906540553898
2020-03-05,159915.SZ,0.015804597701149392,1.0,13,4,0.015804597701149392,1.175276425886725,,1.0,1.0,0.015804597701149392,1.175276425886725
2020-03-06,159915.SZ,-0.0047147571900045815,1.0,13,4,-0.0047147571900045815,1.1697352829075327,,1.0,1.0,-0.0047147571900045815,1.1697352829075327
2020-03-09,CASH,0.0,1.0,14,5,0.0,1.1697352829075327,,1.0,1.0,0.0,1.1697352829075327
2020-03-10,518880.SH,0.0,0.0,15,5,0.0,1.1697352829075327,,1.0,0.0,0.0,1.1697352829075327
2020-03-11,518880.SH,0.009966777408637828,1.0,15,5,0.009966777408637828,1.1813937740993021,,1.0,1.0,0.009966777408637828,1.1813937740993021
2020-03-12,518880.SH,-0.010964912280701733,1.0,15,5,-0.010964912280701733,1.168439894997336,,1.0,1.0,-0.010964912280701733,1.168439894997336
2020-03-13,518880.SH,-0.029379157427937952,1.0,15,5,-0.029379157427937952,1.134112115377126,,1.0,1.0,-0.029379157427937952,1.134112115377126
2020-03-16,CASH,0.0,1.0,16,6,0.0,1.134112115377126,,1.0,1.0,0.0,1.134112115377126
2020-03-17,159985.SZ,0.0,0.0,17,6,0.0,1.134112115377126,,1.0,0.0,0.0,1.134112115377126
2020-03-18,159985.SZ,-0.002083333333333326,1.0,17,6,-0.002083333333333326,1.1317493818034237,,1.0,1.0,-0.002083333333333326,1.1317493818034237
2020-03-19,159985.SZ,-0.009394572025052228,1.0,17,6,-0.009394572025052228,1.121117080721763,,1.0,1.0,-0.009394572025052228,1.121117080721763
2020-03-20,159985.SZ,0.02950474183350904,1.0,17,6,0.02950474183350904,1.1541953507535958,,1.0,1.0,0.02950474183350904,1.1541953507535958
2020-03-23,159985.SZ,0.05322415557830085,1.0,17,6,0.05322415557830085,1.2156264236698566,,1.0,1.0,0.05322415557830085,1.2156264236698566
2020-03-24,159985.SZ,-0.013605442176870763,1.0,17,6,-0.013605442176870763,1.19908728865394,,1.0,1.0,-0.013605442176870763,1.19908728865394
2020-03-25,159985.SZ,0.016748768472906628,1.0,17,6,0.016748768472906628,1.2191705240304103,,1.0,1.0,0.016748768472906628,1.2191705240304103
2020-03-26,159985.SZ,-0.026162790697674576,1.0,17,6,-0.026162790697674576,1.1872736207854284,,1.0,1.0,-0.026162790697674576,1.1872736207854284
2020-03-27,159985.SZ,0.011940298507462588,1.0,17,6,0.011940298507462588,1.2014500222276423,,1.0,1.0,0.011940298507462588,1.2014500222276423
2020-03-30,159985.SZ,0.008849557522123908,1.0,17,6,0.008849557522123908,1.2120823233093028,,1.0,1.0,0.008849557522123908,1.2120823233093028
2020-03-31,159985.SZ,-0.0029239766081872176,1.0,17,6,-0.0029239766081872176,1.2085382229487491,,1.0,1.0,-0.0029239766081872176,1.2085382229487491
2020-04-01,159985.SZ,-0.029325513196480912,1.0,17,6,-0.029325513196480912,1.173097219343214,,1.0,1.0,-0.029325513196480912,1.173097219343214
2020-04-02,159985.SZ,-0.004028197381671705,1.0,17,6,-0.004028197381671705,1.1683717521958095,,1.0,1.0,-0.004028197381671705,1.1683717521958095
