strategy,position,days,pct
article_six,159985.SZ,320,0.20887728459530025
article_six,159941.SZ,307,0.2003916449086162
article_six,159915.SZ,271,0.1768929503916449
article_six,518880.SS,231,0.15078328981723238
article_six,513030.SS,182,0.11879895561357702
article_six,513520.SS,144,0.09399477806788512
article_six,CASH,77,0.05026109660574413
four_same_article_engine,NASDAQ_159941,453,0.29569190600522194
four_same_article_engine,GOLD_518880,427,0.27872062663185376
four_same_article_engine,0.399606,325,0.21214099216710183
four_same_article_engine,1.H00016,172,0.1122715404699739
four_same_article_engine,CASH,155,0.10117493472584857
four_current_weighted_cost,NASDAQ_159941,477,0.3113577023498694
four_current_weighted_cost,GOLD_518880,444,0.2898172323759791
four_current_weighted_cost,0.399606,343,0.22389033942558748
four_current_weighted_cost,1.H00016,165,0.1077023498694517
four_current_weighted_cost,CASH,103,0.06723237597911227
