date,position_before,position,return,gross_return,turnover,cost,stop_triggered,trade_count,stop_exit_count,nav,signal
2015-01-05,CASH,CASH,0.0,0.0,0.0,article_cost_0p015pct,False,0,0,1.0,weighted_slope
2015-01-06,CASH,CASH,0.0,0.0,0.0,article_cost_0p015pct,False,0,0,1.0,weighted_slope
2015-01-07,CASH,CASH,0.0,0.0,0.0,article_cost_0p015pct,False,0,0,1.0,weighted_slope
2015-01-08,CASH,CASH,0.0,0.0,0.0,article_cost_0p015pct,False,0,0,1.0,weighted_slope
2015-01-09,CASH,CASH,0.0,0.0,0.0,article_cost_0p015pct,False,0,0,1.0,weighted_slope
2015-01-12,CASH,CASH,0.0,0.0,0.0,article_cost_0p015pct,False,0,0,1.0,weighted_slope
2015-01-13,CASH,CASH,0.0,0.0,0.0,article_cost_0p015pct,False,0,0,1.0,weighted_slope
2015-01-14,CASH,CASH,0.0,0.0,0.0,article_cost_0p015pct,False,0,0,1.0,weighted_slope
2015-01-15,CASH,CASH,0.0,0.0,0.0,article_cost_0p015pct,False,0,0,1.0,weighted_slope
2015-01-16,CASH,CASH,0.0,0.0,0.0,article_cost_0p015pct,False,0,0,1.0,weighted_slope
2015-01-19,CASH,CASH,0.0,0.0,0.0,article_cost_0p015pct,False,0,0,1.0,weighted_slope
2015-01-20,CASH,CASH,0.0,0.0,0.0,article_cost_0p015pct,False,0,0,1.0,weighted_slope
2015-01-21,CASH,CASH,0.0,0.0,0.0,article_cost_0p015pct,False,0,0,1.0,weighted_slope
2015-01-22,CASH,CASH,0.0,0.0,0.0,article_cost_0p015pct,False,0,0,1.0,weighted_slope
2015-01-23,CASH,CASH,0.0,0.0,0.0,article_cost_0p015pct,False,0,0,1.0,weighted_slope
2015-01-26,CASH,CASH,0.0,0.0,0.0,article_cost_0p015pct,False,0,0,1.0,weighted_slope
2015-01-27,CASH,CASH,0.0,0.0,0.0,article_cost_0p015pct,False,0,0,1.0,weighted_slope
2015-01-28,CASH,CASH,0.0,0.0,0.0,article_cost_0p015pct,False,0,0,1.0,weighted_slope
2015-01-29,CASH,CASH,0.0,0.0,0.0,article_cost_0p015pct,False,0,0,1.0,weighted_slope
2015-01-30,CASH,CASH,0.0,0.0,0.0,article_cost_0p015pct,False,0,0,1.0,weighted_slope
2015-02-02,CASH,CASH,0.0,0.0,0.0,article_cost_0p015pct,False,0,0,1.0,weighted_slope
2015-02-03,CASH,CASH,0.0,0.0,0.0,article_cost_0p015pct,False,0,0,1.0,weighted_slope
2015-02-04,CASH,CASH,0.0,0.0,0.0,article_cost_0p015pct,False,0,0,1.0,weighted_slope
2015-02-05,CASH,CASH,0.0,0.0,0.0,article_cost_0p015pct,False,0,0,1.0,weighted_slope
2015-02-06,CASH,159915.SZ,-0.00014999999999998348,0.0,1.0,article_cost_0p015pct,False,1,0,0.99985,weighted_slope
2015-02-09,159915.SZ,159915.SZ,-0.009632751354605618,-0.009632751354605618,0.0,article_cost_0p015pct,False,1,0,0.9902186935580976,weighted_slope
2015-02-10,159915.SZ,159915.SZ,0.024316109422492405,0.024316109422492405,0.0,article_cost_0p015pct,False,1,0,1.0142969596628537,weighted_slope
2015-02-11,159915.SZ,159915.SZ,0.011869436201780381,0.011869436201780381,0.0,article_cost_0p015pct,False,1,0,1.0263360927152319,weighted_slope
2015-02-12,159915.SZ,159915.SZ,0.008797653958944274,0.008797653958944274,0.0,article_cost_0p015pct,False,1,0,1.0353654425045153,weighted_slope
2015-02-13,159915.SZ,159915.SZ,0.02383720930232558,0.02383720930232558,0.0,article_cost_0p015pct,False,1,0,1.0600456652618904,weighted_slope
2015-02-16,159915.SZ,159915.SZ,0.03918228279386726,0.03918228279386726,0.0,article_cost_0p015pct,False,1,0,1.1015806742925949,weighted_slope
