target_vol,window,start,end,days,total,cagr,maxdd,sharpe,vol,avg_weight,max_weight,pct_at_max_lev,pct_below_1x,cash_days
1x,10Y,2016-05-09,2026-05-08,2427,130.5023724924872,0.6596361340583339,-0.12971058495149101,2.4007341214925373,0.22114368250313424,0.9567367119901112,1.0,0.0,0.04326328800988875,105
1x,article_2020,2020-01-02,2026-05-08,1535,56.35159953140374,0.9440137488393214,-0.12584842625795967,2.767010468932829,0.251645825551647,0.9550488599348534,1.0,0.0,0.04495114006514658,69
1x,5Y,2021-05-10,2026-05-08,1211,19.669150331893352,0.8780569348562239,-0.12584842625795978,2.6063978683815967,0.25402509691445146,0.953757225433526,1.0,0.0,0.046242774566473986,55
1x,3Y,2023-05-08,2026-05-08,727,7.590856242154256,1.107487669839108,-0.12584842625795978,2.7641357966795685,0.28403226583756475,0.9436038514442916,1.0,0.0,0.05639614855570839,41
15%,10Y,2016-05-09,2026-05-08,2427,33.31909419710429,0.44356913524374875,-0.13572792862748195,2.2327200339007556,0.1709440019088913,0.7733145613694398,1.5,0.004944375772558714,0.7779151215492377,105
15%,article_2020,2020-01-02,2026-05-08,1535,14.563123657413735,0.5692993275505716,-0.09859112677460435,2.606347349459367,0.17901454412677617,0.6627991993114052,1.3122379807070237,0.0,0.9159609120521173,69
15%,5Y,2021-05-10,2026-05-08,1211,6.599571921268338,0.5250553255686712,-0.09859112677460402,2.4020825845332205,0.1825290022568058,0.672746029340168,1.3122379807070237,0.0,0.9058629232039637,55
15%,3Y,2023-05-08,2026-05-08,727,3.117325407401811,0.6332176161037317,-0.09859112677460469,2.579906856048105,0.19754317179419748,0.6061765404928379,1.1861061709363339,0.0,0.9477303988995873,41
16%,10Y,2016-05-09,2026-05-08,2427,41.86794998019389,0.4772956756423872,-0.14429819736127658,2.2336468637227362,0.1820784600777277,0.8237581688927315,1.5,0.019365471775854966,0.734651833539349,105
16%,article_2020,2020-01-02,2026-05-08,1535,17.56357107514215,0.6153825138167399,-0.10488174339279155,2.6063473494593676,0.19094884706856124,0.7069858125988322,1.3997205127541588,0.0,0.8762214983713354,69
16%,5Y,2021-05-10,2026-05-08,1211,7.652843761850486,0.5668077712776096,-0.10488174339279266,2.4020825845332205,0.19469760240725953,0.7175957646295127,1.3997205127541588,0.0,0.856317093311313,55
16%,3Y,2023-05-08,2026-05-08,727,3.5078248740703977,0.6853285757716983,-0.10488174339279233,2.5799068560481055,0.21071271658047727,0.646588309859027,1.2651799156654229,0.0,0.8927097661623109,41
17%,10Y,2016-05-09,2026-05-08,2427,52.376303702421495,0.5113110618036478,-0.15280913564132215,2.2341754437792245,0.1931362063704504,0.8730717344976687,1.5,0.031314379892871856,0.6518335393489906,105
