kind,window,start,end,days,total,cagr,maxdd,sharpe,trades,stop_exits,cash_days
log_ols_ann_r2,article_2020,2020-01-02,2026-05-08,1535,12.302405704001247,0.5293782991302316,-0.2597366332939536,1.670346358322298,211,34,69
log_ols_ann_r2,5Y,2021-05-10,2026-05-08,1211,7.926970677745201,0.5770097591084369,-0.16739372354841686,1.808268512033637,143,21,55
log_ols_ann_r2,3Y,2023-05-08,2026-05-08,727,3.5893524628490896,0.6958322228822584,-0.16739372354841742,1.8734720852034352,96,14,41
log_ols_ann_r2,10Y,2016-05-09,2026-05-08,2427,21.631014567163827,0.38248835195361397,-0.25973663329395336,1.459482535782485,293,44,105
log_wls_ann,article_2020,2020-01-02,2026-05-08,1535,15.602561048499041,0.5860445746332665,-0.18950905397435325,1.9189929527993779,233,27,64
log_wls_ann,5Y,2021-05-10,2026-05-08,1211,7.974676458134001,0.578759769678475,-0.1895090539743539,1.9322045817083713,164,15,52
log_wls_ann,3Y,2023-05-08,2026-05-08,727,5.382345146165845,0.9012109441067133,-0.14832224399376148,2.467189470779584,107,10,37
log_wls_ann,10Y,2016-05-09,2026-05-08,2427,21.529084727759734,0.3818405121104156,-0.18950905397435303,1.5346573427011252,326,35,101
log_wls_ann_r2,article_2020,2020-01-02,2026-05-08,1535,17.508359691334533,0.6145927902430042,-0.18928442255378963,1.9875501514223404,226,23,59
log_wls_ann_r2,5Y,2021-05-10,2026-05-08,1211,8.601018964544362,0.6010793428506886,-0.16725054487969382,1.9914118133945735,159,13,49
log_wls_ann_r2,3Y,2023-05-08,2026-05-08,727,5.425581675859346,0.9056655404766492,-0.11509578741399595,2.4652411390081777,101,8,35
log_wls_ann_r2,10Y,2016-05-09,2026-05-08,2427,21.55983054039727,0.3820362007827438,-0.19761282226481724,1.535884415669783,322,31,96
norm_wls_ann_slope,article_2020,2020-01-02,2026-05-08,1535,9.384014049588922,0.4684394954821214,-0.21145887344552738,1.4553574258079598,209,40,70
norm_wls_ann_slope,5Y,2021-05-10,2026-05-08,1211,6.191694204460985,0.5076486276817462,-0.1822549701645364,1.5676238379077536,148,23,53
norm_wls_ann_slope,3Y,2023-05-08,2026-05-08,727,4.018337625497016,0.7491822448990852,-0.18225497016453673,1.8708304308864057,98,17,44
norm_wls_ann_slope,10Y,2016-05-09,2026-05-08,2427,14.778201239676367,0.33166987443042584,-0.21145887344552738,1.2453043300774564,299,50,109
norm_wls_ann_slope_r2,article_2020,2020-01-02,2026-05-08,1535,10.182932996289829,0.4864172751999576,-0.24057634018790852,1.4921515768478952,203,38,68
norm_wls_ann_slope_r2,5Y,2021-05-10,2026-05-08,1211,5.39784519166135,0.4713959683870317,-0.24057634018790908,1.4722923150539924,145,23,53
norm_wls_ann_slope_r2,3Y,2023-05-08,2026-05-08,727,3.212847243647973,0.6462533452584802,-0.24057634018790863,1.6625215128341282,93,16,43
norm_wls_ann_slope_r2,10Y,2016-05-09,2026-05-08,2427,14.284044605232644,0.3272774073473361,-0.24057634018790897,1.2325624011464293,297,48,107
price_rel_wls_ann_slope,article_2020,2020-01-02,2026-05-08,1535,11.240765259398048,0.5086373642310014,-0.21145887344552738,1.5369977132306993,207,40,70
price_rel_wls_ann_slope,5Y,2021-05-10,2026-05-08,1211,7.373411967546424,0.5561414344620028,-0.16535742042153045,1.6627103445760283,145,23,53
price_rel_wls_ann_slope,3Y,2023-05-08,2026-05-08,727,4.90552740130967,0.8507228573183025,-0.16465811514250406,2.0207180575898467,95,17,44
price_rel_wls_ann_slope,10Y,2016-05-09,2026-05-08,2427,17.48271028266085,0.353725699627204,-0.21145887344552727,1.3018289068993334,298,50,109
