date,kind,position_before,position,return,gross_return,turnover,cost,stop_triggered,trade_count,stop_exit_count,nav
2015-01-05,log_ols_ann_r2,CASH,CASH,0.0,0.0,0.0,0.0,False,0,0,1.0
2015-01-06,log_ols_ann_r2,CASH,CASH,0.0,0.0,0.0,0.0,False,0,0,1.0
2015-01-07,log_ols_ann_r2,CASH,CASH,0.0,0.0,0.0,0.0,False,0,0,1.0
2015-01-08,log_ols_ann_r2,CASH,CASH,0.0,0.0,0.0,0.0,False,0,0,1.0
2015-01-09,log_ols_ann_r2,CASH,CASH,0.0,0.0,0.0,0.0,False,0,0,1.0
2015-01-12,log_ols_ann_r2,CASH,CASH,0.0,0.0,0.0,0.0,False,0,0,1.0
2015-01-13,log_ols_ann_r2,CASH,CASH,0.0,0.0,0.0,0.0,False,0,0,1.0
2015-01-14,log_ols_ann_r2,CASH,CASH,0.0,0.0,0.0,0.0,False,0,0,1.0
2015-01-15,log_ols_ann_r2,CASH,CASH,0.0,0.0,0.0,0.0,False,0,0,1.0
2015-01-16,log_ols_ann_r2,CASH,CASH,0.0,0.0,0.0,0.0,False,0,0,1.0
2015-01-19,log_ols_ann_r2,CASH,CASH,0.0,0.0,0.0,0.0,False,0,0,1.0
2015-01-20,log_ols_ann_r2,CASH,CASH,0.0,0.0,0.0,0.0,False,0,0,1.0
2015-01-21,log_ols_ann_r2,CASH,CASH,0.0,0.0,0.0,0.0,False,0,0,1.0
2015-01-22,log_ols_ann_r2,CASH,CASH,0.0,0.0,0.0,0.0,False,0,0,1.0
2015-01-23,log_ols_ann_r2,CASH,CASH,0.0,0.0,0.0,0.0,False,0,0,1.0
2015-01-26,log_ols_ann_r2,CASH,CASH,0.0,0.0,0.0,0.0,False,0,0,1.0
2015-01-27,log_ols_ann_r2,CASH,CASH,0.0,0.0,0.0,0.0,False,0,0,1.0
2015-01-28,log_ols_ann_r2,CASH,CASH,0.0,0.0,0.0,0.0,False,0,0,1.0
2015-01-29,log_ols_ann_r2,CASH,CASH,0.0,0.0,0.0,0.0,False,0,0,1.0
2015-01-30,log_ols_ann_r2,CASH,CASH,0.0,0.0,0.0,0.0,False,0,0,1.0
2015-02-02,log_ols_ann_r2,CASH,CASH,0.0,0.0,0.0,0.0,False,0,0,1.0
2015-02-03,log_ols_ann_r2,CASH,CASH,0.0,0.0,0.0,0.0,False,0,0,1.0
2015-02-04,log_ols_ann_r2,CASH,CASH,0.0,0.0,0.0,0.0,False,0,0,1.0
2015-02-05,log_ols_ann_r2,CASH,CASH,0.0,0.0,0.0,0.0,False,0,0,1.0
2015-02-06,log_ols_ann_r2,CASH,159915.SZ,-0.00014999999999998348,0.0,1.0,0.00015000000000000001,False,1,0,0.99985
2015-02-09,log_ols_ann_r2,159915.SZ,159915.SZ,-0.009632751354605618,-0.009632751354605618,0.0,0.0,False,1,0,0.9902186935580976
2015-02-10,log_ols_ann_r2,159915.SZ,159915.SZ,0.024316109422492405,0.024316109422492405,0.0,0.0,False,1,0,1.0142969596628537
2015-02-11,log_ols_ann_r2,159915.SZ,159915.SZ,0.011869436201780381,0.011869436201780381,0.0,0.0,False,1,0,1.0263360927152319
2015-02-12,log_ols_ann_r2,159915.SZ,159915.SZ,0.008797653958944274,0.008797653958944274,0.0,0.0,False,1,0,1.0353654425045153
2015-02-13,log_ols_ann_r2,159915.SZ,159915.SZ,0.02383720930232558,0.02383720930232558,0.0,0.0,False,1,0,1.0600456652618904
2015-02-16,log_ols_ann_r2,159915.SZ,159915.SZ,0.03918228279386726,0.03918228279386726,0.0,0.0,False,1,0,1.1015806742925949
2015-02-17,log_ols_ann_r2,159915.SZ,159915.SZ,-0.005464480874316946,-0.005464480874316946,0.0,0.0,False,1,0,1.0955611077664058
2015-02-25,log_ols_ann_r2,159915.SZ,159915.SZ,-0.009340659340659418,-0.009340659340659418,0.0,0.0,False,1,0,1.0853278446718844
2015-02-26,log_ols_ann_r2,159915.SZ,159915.SZ,0.006100942872989457,0.006100942872989457,0.0,0.0,False,1,0,1.0919493678506924
2015-02-27,log_ols_ann_r2,159915.SZ,159915.SZ,0.027012127894156412,0.027012127894156412,0.0,0.0,False,1,0,1.1214452438290186
2015-03-02,log_ols_ann_r2,159915.SZ,159915.SZ,0.027375201288244666,0.027375201288244666,0.0,0.0,False,1,0,1.1521450331125827
2015-03-03,log_ols_ann_r2,159915.SZ,159915.SZ,-0.016196447230929945,-0.016196447230929945,0.0,0.0,False,1,0,1.1334843768813967
2015-03-04,log_ols_ann_r2,159915.SZ,159915.SZ,0.030270844397238372,0.030270844397238372,0.0,0.0,False,1,0,1.1677959060806742
2015-03-05,log_ols_ann_r2,159915.SZ,159915.SZ,-0.0010309278350515427,-0.0010309278350515427,0.0,0.0,False,1,0,1.1665919927754365
2015-03-06,log_ols_ann_r2,159915.SZ,159915.SZ,-0.029927760577915352,-0.029927760577915352,0.0,0.0,False,1,0,1.13167850692354
2015-03-09,log_ols_ann_r2,159915.SZ,159915.SZ,0.025000000000000133,0.025000000000000133,0.0,0.0,False,1,0,1.1599704695966286
2015-03-10,log_ols_ann_r2,159915.SZ,513030.SH,0.02304535547483133,0.023352361183186288,2.0,0.00030000000000000003,False,2,0,1.18670240140879
2015-03-11,log_ols_ann_r2,513030.SH,513030.SH,-0.019960079840319334,-0.019960079840319334,0.0,0.0,False,2,0,1.1630157267299719
2015-03-12,log_ols_ann_r2,513030.SH,513030.SH,0.01731160896130346,0.01731160896130346,0.0,0.0,False,2,0,1.1831494002069673
2015-03-13,log_ols_ann_r2,513030.SH,513030.SH,0.002002002002001957,0.002002002002001957,0.0,0.0,False,2,0,1.1855180676748491
2015-03-16,log_ols_ann_r2,513030.SH,513030.SH,0.003996003996004083,0.003996003996004083,0.0,0.0,False,2,0,1.190255402610613
2015-03-17,log_ols_ann_r2,513030.SH,513030.SH,0.014925373134328401,0.014925373134328401,0.0,0.0,False,2,0,1.2080204086197266
2015-03-18,log_ols_ann_r2,513030.SH,513030.SH,-0.006862745098039302,-0.006862745098039302,0.0,0.0,False,2,0,1.19973007248214
2015-03-19,log_ols_ann_r2,513030.SH,513030.SH,0.0,0.0,0.0,0.0,False,2,0,1.19973007248214
2015-03-20,log_ols_ann_r2,513030.SH,513030.SH,-0.001974333662388972,-0.001974333662388972,0.0,0.0,False,2,0,1.1973614050142583
2015-03-23,log_ols_ann_r2,513030.SH,513030.SH,0.011869436201780381,0.011869436201780381,0.0,0.0,False,2,0,1.2115734098215492
2015-03-24,log_ols_ann_r2,513030.SH,513030.SH,-0.003910068426197455,-0.003910068426197455,0.0,0.0,False,2,0,1.2068360748857856
2015-03-25,log_ols_ann_r2,513030.SH,513030.SH,0.013738959764475034,0.013738959764475034,0.0,0.0,False,2,0,1.2234167471609583
2015-03-26,log_ols_ann_r2,513030.SH,513030.SH,-0.007744433688286589,-0.007744433688286589,0.0,0.0,False,2,0,1.213942077289431
2015-03-27,log_ols_ann_r2,513030.SH,513030.SH,0.0009756097560975618,0.0009756097560975618,0.0,0.0,False,2,0,1.215126411023372
2015-03-30,log_ols_ann_r2,513030.SH,513030.SH,-0.006822612085770063,-0.006822612085770063,0.0,0.0,False,2,0,1.2068360748857854
2015-03-31,log_ols_ann_r2,513030.SH,513030.SH,0.0029440628066732533,0.0029440628066732533,0.0,0.0,False,2,0,1.2103890760876082
2015-04-01,log_ols_ann_r2,513030.SH,513030.SH,-0.005870841487279899,-0.005870841487279899,0.0,0.0,False,2,0,1.2032830736839626
2015-04-02,log_ols_ann_r2,513030.SH,513030.SH,0.004921259842519676,0.004921259842519676,0.0,0.0,False,2,0,1.2092047423536672
2015-04-03,log_ols_ann_r2,513030.SH,513030.SH,-0.0009794319294808007,-0.0009794319294808007,0.0,0.0,False,2,0,1.2080204086197264
2015-04-07,log_ols_ann_r2,513030.SH,513030.SH,0.006862745098039191,0.006862745098039191,0.0,0.0,False,2,0,1.2163107447573127
2015-04-08,log_ols_ann_r2,513030.SH,513030.SH,-0.0009737098344692052,-0.0009737098344692052,0.0,0.0,False,2,0,1.215126411023372
2015-04-09,log_ols_ann_r2,513030.SH,513030.SH,-0.006822612085770063,-0.006822612085770063,0.0,0.0,False,2,0,1.2068360748857854
2015-04-10,log_ols_ann_r2,513030.SH,513030.SH,0.012757605495584023,0.012757605495584023,0.0,0.0,False,2,0,1.2222324134270173
2015-04-13,log_ols_ann_r2,513030.SH,513030.SH,-0.0009689922480621282,-0.0009689922480621282,0.0,0.0,False,2,0,1.2210480796930763
2015-04-14,log_ols_ann_r2,513030.SH,513030.SH,-0.008729388942773864,-0.008729388942773864,0.0,0.0,False,2,0,1.2103890760876084
2015-04-15,log_ols_ann_r2,513030.SH,513030.SH,-0.008806262230919848,-0.008806262230919848,0.0,0.0,False,2,0,1.19973007248214
