target_vol,year,return
1x_close_stop,2020,0.32517600605596697
1x_close_stop,2021,0.2075991276749618
1x_close_stop,2022,0.8079814957400764
1x_close_stop,2023,0.43063307367126313
1x_close_stop,2024,0.7141612171337217
1x_close_stop,2025,0.6491164082327388
1x_close_stop,2026,0.1368642625165386
15%,2020,0.16941613609033546
15%,2021,0.10801344013937175
15%,2022,0.47898403994357786
15%,2023,0.2744792959840534
15%,2024,0.4011655250069137
15%,2025,0.34790966243807
15%,2026,0.07698923593641394
17%,2020,0.19144006415427572
17%,2021,0.12143623412794313
17%,2022,0.5552796714636381
17%,2023,0.3137952694011319
17%,2024,0.46012873515689723
17%,2025,0.40042344060406854
17%,2026,0.08686074009035738
19%,2020,0.21323907455665592
19%,2021,0.13458406873561235
19%,2022,0.6348000281457526
19%,2023,0.3537059279820858
19%,2024,0.5203048595016431
19%,2025,0.45444036419552325
19%,2026,0.09662470101063936
21%,2020,0.23478276273419474
21%,2021,0.14744308007198548
21%,2022,0.7176429606931232
21%,2023,0.3934348218230568
21%,2024,0.5816626365761783
21%,2025,0.5099774979284177
21%,2026,0.10627638987828547
23%,2020,0.25604031858293474
23%,2021,0.16021177988528268
23%,2022,0.8039073501700433
23%,2023,0.43103892816055134
23%,2024,0.6393006094586497
23%,2025,0.5670508229435791
23%,2026,0.1158110754135373
25%,2020,0.27698057949343635
25%,2021,0.18217202802895538
25%,2022,0.8936930161240555
25%,2023,0.46119496130875937
25%,2024,0.6862100495978634
25%,2025,0.6256751685771487
25%,2026,0.1252240267092719
