lookback,avg_cagr,min_cagr,avg_sharpe,min_sharpe,avg_maxdd,worst_maxdd,avg_cash_days,avg_trades
20,0.2914430514830481,0.22445168978208452,1.2505300945879563,1.0439105534279711,-0.1891787789939973,-0.2043013803515239,137.66666666666666,119.66666666666667
50,0.26031373001436076,0.1979797009668649,1.1092244382003724,0.8724052655706873,-0.26648350018019334,-0.30163460213957805,51.333333333333336,43.0
60,0.2645063670984022,0.1842153038273704,1.1003387883019151,0.8166869049673605,-0.26930784376457123,-0.3101076328927116,29.0,34.333333333333336
25,0.2661089954734681,0.22281175234541517,1.0804490613501039,0.9887151208829831,-0.23649518352770668,-0.2970154762537829,123.66666666666667,85.33333333333333
35,0.20044898182985574,0.15525283501093612,0.9220303040301695,0.7928113690910085,-0.2569897642930682,-0.2569897642930685,97.66666666666667,54.666666666666664
15,0.17321036199605203,0.10685889413422966,0.8917170535874647,0.6283301611131459,-0.23769126062003262,-0.2899236324226425,173.0,175.33333333333334
30,0.18754504096954583,0.16709963431906405,0.8515688616002097,0.7662327736768275,-0.23384709252072347,-0.31435235212757195,107.66666666666667,71.66666666666667
40,0.16051116725271583,0.12141355500170525,0.7635461721765759,0.6456203445448997,-0.2606365250376062,-0.28109081069272046,78.33333333333333,48.666666666666664
10,0.08758382778596958,0.03729330972660194,0.5395426592913664,0.2949982764823609,-0.27946714060231354,-0.35932351297748344,250.33333333333334,281.0
80,0.10878670479102588,0.03130847445258289,0.5283075158510779,0.2502465623449167,-0.380867583467154,-0.5171982443941379,4.0,25.0
100,0.050282440228496705,-0.021438320881401074,0.3072751839795322,0.027621900920738386,-0.3886809297173912,-0.5548640352332849,9.333333333333334,23.333333333333332
120,0.04277136477737568,0.0051322875136250445,0.2907324828332528,0.13784248553913295,-0.35561243393930636,-0.46562097548234804,14.666666666666666,23.333333333333332
