case,final_nav,cagr,maxdd,sharpe,cash_days,trades,stops
article6_stop1_cost0.0,46.26808145511557,0.8336190779678281,-0.12584842625796033,2.640389459057836,77,210,34
article6_stop1_cost0.001,37.500237559848074,0.7737048477093857,-0.12933979113921856,2.500502290938842,77,210,34
article6_stop0_cost0.0,11.301766617200284,0.46730438671560304,-0.2872357068491931,1.5227899254005066,39,148,0
article6_stop0_cost0.001,9.746273452352712,0.4333494235792279,-0.28937186214853006,1.4374859330025729,39,148,0
four_stop1_cost0.0,14.943280085173146,0.5335563227126674,-0.14132928249760346,2.152340763893516,155,180,31
four_stop1_cost0.001,12.48055266616999,0.4905037545724087,-0.1473219754584929,2.014958789730713,155,180,31
four_stop0_cost0.0,5.637558893158907,0.31449876487411266,-0.29136407786643825,1.2677621164163286,114,127,0
four_stop0_cost0.001,4.9648724586927395,0.2883528400368347,-0.2949001782007019,1.182800563847599,114,127,0
