year,bucket,days,pct,compound_return_on_days,sum_return_on_days,six_year_ret,four_year_ret,diff
2020,missing_???,107,0.4403292181069959,0.191836635979302,0.18991983419950811,0.7435865719346784,0.23908208174078194,0.5045044901938964
2020,quasi_???100,61,0.25102880658436216,-0.02114479875187758,-0.005949089055102875,0.7435865719346784,0.23908208174078194,0.5045044901938964
2020,common_????,74,0.3045267489711934,0.49454271418229157,0.41727425449494576,0.7435865719346784,0.23908208174078194,0.5045044901938964
2020,cash,1,0.00411522633744856,0.0,0.0,0.7435865719346784,0.23908208174078194,0.5045044901938964
2021,missing_???,88,0.36213991769547327,-0.05634219778307015,-0.04908720114665519,-0.11053206599896392,0.11157409635707527,-0.2221061623560392
2021,quasi_???100,63,0.25925925925925924,-0.11478317440451291,-0.1144627181693916,-0.11053206599896392,0.11157409635707527,-0.2221061623560392
2021,common_????,89,0.3662551440329218,0.04781457027220992,0.0505264161468844,-0.11053206599896392,0.11157409635707527,-0.2221061623560392
2021,cash,3,0.012345679012345678,0.02100292936642023,0.0210029293664202,-0.11053206599896392,0.11157409635707527,-0.2221061623560392
2022,missing_???,151,0.6239669421487604,0.48478088142446585,0.4134352348072293,0.3411163958017034,0.07833855286288482,0.26277784293881856
2022,quasi_???100,30,0.12396694214876033,0.06377909914605695,0.06575626084140121,0.3411163958017034,0.07833855286288482,0.26277784293881856
2022,common_????,55,0.22727272727272727,-0.13019216299588465,-0.1343053424584834,0.3411163958017034,0.07833855286288482,0.26277784293881856
2022,cash,6,0.024793388429752067,-0.004633453251741915,-0.004633006009202841,0.3411163958017034,0.07833855286288482,0.26277784293881856
2023,missing_???,132,0.5454545454545454,0.30969422758606546,0.2916499938783527,0.3119132755937768,0.05624603920627336,0.25566723638750344
2023,quasi_???100,13,0.05371900826446281,0.018192679675919754,0.018602331919814967,0.3119132755937768,0.05624603920627336,0.25566723638750344
2023,common_????,86,0.35537190082644626,0.00017309032101398003,0.005494117670298183,0.3119132755937768,0.05624603920627336,0.25566723638750344
2023,cash,11,0.045454545454545456,-0.01392693696819236,-0.0139269369681924,0.3119132755937768,0.05624603920627336,0.25566723638750344
2024,missing_???,77,0.3181818181818182,0.3731977371326447,0.32790467849873833,0.7750336530833646,0.3006411958734634,0.4743924572099012
2024,quasi_???100,22,0.09090909090909091,-0.021830924575827138,-0.01817573702988715,0.7750336530833646,0.3006411958734634,0.4743924572099012
2024,common_????,134,0.5537190082644629,0.3304622517974798,0.3160432783424306,0.7750336530833646,0.3006411958734634,0.4743924572099012
2024,cash,9,0.0371900826446281,-0.008260721771125468,-0.0082607217711255,0.7750336530833646,0.3006411958734634,0.4743924572099012
2025,missing_???,84,0.345679012345679,0.14588068027998258,0.14965347784566851,0.5122551946486109,0.5983850020666401,-0.08612980741802923
2025,quasi_???100,64,0.26337448559670784,0.2438989449576905,0.22639206561467307,0.5122551946486109,0.5983850020666401,-0.08612980741802923
2025,common_????,95,0.39094650205761317,0.07389201830886116,0.08089127445200231,0.5122551946486109,0.5983850020666401,-0.08612980741802923
2025,cash,0,0.0,0.0,0.0,0.5122551946486109,0.5983850020666401,-0.08612980741802923
2026,missing_???,30,0.38961038961038963,-0.04366928304328588,-0.03483494834535081,0.1602781717143189,0.21739772075111086,-0.05711954903679195
2026,quasi_???100,18,0.23376623376623376,-0.0066638045690242675,-0.005738506015470199,0.1602781717143189,0.21739772075111086,-0.05711954903679195
2026,common_????,22,0.2857142857142857,0.2658578937190115,0.240844384327292,0.1602781717143189,0.21739772075111086,-0.05711954903679195
2026,cash,7,0.09090909090909091,-0.014995673796841302,-0.0149956737968413,0.1602781717143189,0.21739772075111086,-0.05711954903679195
