lookback,window,start,end,days,total,cagr,maxdd,sharpe,cash_days,trades,top_holds
10,10Y,2016-05-03,2026-04-30,2429,-0.09511545362962226,-0.009954500998754279,-0.5018381073409403,0.028023165020862988,468,587,??ETF:616; ??ETF:568; CASH:468; ?????:446; ??50:331
10,near6_2020,2020-01-02,2026-04-30,1532,0.2941643489479788,0.04161546647771441,-0.3593235129774832,0.3146819603115806,365,379,??ETF:380; CASH:365; ??ETF:363; ?????:273; ??50:151
10,5Y,2021-04-30,2026-04-30,1211,0.20087277779374313,0.03729330972660194,-0.35932351297748344,0.2949982764823609,237,290,??ETF:346; ??ETF:312; CASH:237; ?????:200; ??50:116
10,3Y,2023-05-04,2026-04-30,726,0.6562637782651521,0.1838427071535924,-0.119754395851974,1.0089477410801577,149,174,??ETF:221; ??ETF:184; CASH:149; ?????:121; ??50:51
15,10Y,2016-05-03,2026-04-30,2429,1.743195076057833,0.10628673601858529,-0.28992363242264196,0.6361862259274861,314,344,??ETF:716; ??ETF:589; ?????:469; ??50:341; CASH:314
15,near6_2020,2020-01-02,2026-04-30,1532,1.3810872619647059,0.1470293690724931,-0.2899236324226425,0.7902849477631655,256,235,??ETF:423; ??ETF:390; ?????:314; CASH:256; ??50:149
15,5Y,2021-04-30,2026-04-30,1211,0.6612351676759827,0.10685889413422966,-0.26792548748613587,0.6283301611131459,169,182,??ETF:353; ??ETF:342; ?????:236; CASH:169; ??50:111
15,3Y,2023-05-04,2026-04-30,726,1.0229523140123713,0.26574282278143335,-0.15522466195131945,1.2565360518860826,94,109,??ETF:226; ??ETF:218; ?????:145; CASH:94; ??50:43
20,10Y,2016-05-03,2026-04-30,2429,3.2639813273326874,0.15622389173842266,-0.204301380351524,0.8278787800055117,258,263,??ETF:758; ??ETF:611; ?????:467; ??50:335; CASH:258
20,near6_2020,2020-01-02,2026-04-30,1532,2.5989955375893974,0.22445168978208452,-0.2043013803515239,1.0439105534279711,208,169,??ETF:456; ??ETF:406; ?????:331; CASH:208; ??50:131
20,5Y,2021-04-30,2026-04-30,1211,1.9274177894418565,0.23968034318996323,-0.20430138035152368,1.1193063767956681,127,121,??ETF:378; ??ETF:364; ?????:240; CASH:127; ??50:102
20,3Y,2023-05-04,2026-04-30,726,1.7945174412226734,0.4101971214770965,-0.15893357627894433,1.5883733535402293,78,69,??ETF:239; ??ETF:230; ?????:137; CASH:78; ??50:42
25,10Y,2016-05-03,2026-04-30,2429,5.044618237907374,0.19732440289892472,-0.2970154762537828,0.940992708664196,213,176,??ETF:782; ??ETF:615; ?????:492; ??50:327; CASH:213
25,near6_2020,2020-01-02,2026-04-30,1532,3.1818636900246933,0.25386005649380783,-0.2970154762537829,1.060678076750202,181,117,??ETF:455; ??ETF:419; ?????:346; CASH:181; ??50:131
25,5Y,2021-04-30,2026-04-30,1211,1.733620519875875,0.22281175234541517,-0.20623503716466884,0.9887151208829831,116,86,??ETF:386; ??ETF:368; ?????:235; CASH:116; ??50:106
25,3Y,2023-05-04,2026-04-30,726,1.3020299626207987,0.32165517758118134,-0.2062350371646683,1.1919539864171267,74,53,??ETF:249; ??ETF:228; ?????:132; CASH:74; ??50:43
30,10Y,2016-05-03,2026-04-30,2429,2.3971594533581158,0.13021882348063185,-0.3143523521275722,0.6758108352324389,190,151,??ETF:809; ??ETF:619; ?????:492; ??50:319; CASH:190
30,near6_2020,2020-01-02,2026-04-30,1532,1.6571726980817605,0.16709963431906405,-0.31435235212757195,0.7662327736768275,156,96,??ETF:473; ??ETF:418; ?????:350; CASH:156; ??50:135
30,5Y,2021-04-30,2026-04-30,1211,1.253662339921203,0.17648781194860375,-0.1935944627172993,0.8569958356355138,100,74,??ETF:394; ??ETF:383; ?????:228; ??50:106; CASH:100
30,3Y,2023-05-04,2026-04-30,726,0.8079187296140551,0.2190476766409697,-0.1935944627172992,0.9314779754882878,67,45,??ETF:253; ??ETF:241; ?????:120; CASH:67; ??50:45
35,10Y,2016-05-03,2026-04-30,2429,3.6812098535342477,0.16707861031720106,-0.2569897642930683,0.8362261410299295,169,124,??ETF:846; ??ETF:608; ?????:485; ??50:321; CASH:169
