scenario,removed_codes,removed_names,removed_n,avg_delta_cagr,min_delta_cagr,avg_delta_sharpe,min_delta_sharpe,avg_delta_maxdd,worst_delta_maxdd,improved_windows
no_bond,1.H20955+0.399606+1.H00016+1.H00852+1.H00905,dividend_low_vol_100_tr+cyb_growth+sse50_tr+csi1000_tr+csi500_tr,5,0.09716587143593299,0.0377567020445555,0.6121820599624024,0.3488465385657088,-0.013903555834409978,-0.06211214999474135,3
no_bond,1.H20955+1.H00016+1.H00852+1.H00905,dividend_low_vol_100_tr+sse50_tr+csi1000_tr+csi500_tr,4,0.08343193890463725,0.03359558080012559,0.28684211159854994,0.1305442523649032,0.00042713501587021696,-0.02569120416720072,3
no_bond,1.H00016+1.H00905,sse50_tr+csi500_tr,2,0.05768162997580192,0.03944242979093526,0.19548961065502016,0.15996794017932492,-0.0020793968974939605,-0.006238190692481882,3
no_bond,1.H20955+1.H00852+1.H00905,dividend_low_vol_100_tr+csi1000_tr+csi500_tr,3,0.04904558398268281,0.019008641977374507,0.16476013924543698,0.08399165620715454,0.03403054879948716,0.01449200205963086,3
no_bond,0.399606+1.H00016+1.H00905,cyb_growth+sse50_tr+csi500_tr,3,0.048321027380162716,0.010348429571737094,0.29895891591227214,0.12178641352999453,0.009148584559751169,-0.0028359106957396296,3
no_bond,1.H20955+0.399606+1.H00016+1.H00852,dividend_low_vol_100_tr+cyb_growth+sse50_tr+csi1000_tr,4,0.04785997211993176,0.015894930053285794,0.32400235265355753,0.162234244494469,0.017815011937254988,-0.0052420351023049205,3
no_bond,1.H20955+0.399606+1.H00016+1.H00905,dividend_low_vol_100_tr+cyb_growth+sse50_tr+csi500_tr,4,0.044847233805414444,0.009354494885119191,0.2668782746070844,0.135344919726073,0.007928645259046388,-0.010792249331634363,3
no_bond,1.H20955+0.399606+1.H00852+1.H00905,dividend_low_vol_100_tr+cyb_growth+csi1000_tr+csi500_tr,4,0.032951200242324084,0.003951764169811467,0.3132923839013543,0.14528653490424326,0.02926671446537843,0.023746338232109587,3
no_bond,1.H00016+1.H00852+1.H00905,sse50_tr+csi1000_tr+csi500_tr,3,0.032208466680688254,0.011068006117890272,0.11496864428706784,0.05728121434257816,-0.0022200477373357876,-0.008897605405806419,3
no_bond,1.H00016,sse50_tr,1,0.019660262647372306,0.013062056610191108,0.07006802966062864,0.056339270796968766,-0.002859135040089019,-0.008577405120267279,3
no_bond,1.H00905,csi500_tr,1,0.013409280457689446,0.007492955570896465,0.04156746943339573,0.028412558129782384,-0.002147381965847517,-0.006442145897542995,3
no_bond,1.H20955+1.H00016+1.H00905,dividend_low_vol_100_tr+sse50_tr+csi500_tr,3,0.034070183176158286,-0.013066175831630167,0.08732921126206528,-0.06870033699122313,-0.02093986751792017,-0.062418147873656626,2
no_bond,0.399606+1.H00016+1.H00852,cyb_growth+sse50_tr+csi1000_tr,3,0.02857417471567218,-0.003502189499919206,0.26508985229225157,0.07882251786862926,0.019304507709796415,0.013989076574992376,2
no_bond,1.H20955+0.399606+1.H00852,dividend_low_vol_100_tr+cyb_growth+csi1000_tr,3,0.024189709806273257,-0.020424891322220695,0.22479568334276154,-0.007345258336373894,0.020180341223720217,0.015239869762107228,2
no_bond,0.399606+1.H00016,cyb_growth+sse50_tr,2,0.022425816157458794,-0.005110993133523811,0.2075858754757427,0.052701309563261134,0.01264607429379098,0.007656558506380029,2
no_bond,0.399606+1.H00016+1.H00852+1.H00905,cyb_growth+sse50_tr+csi1000_tr+csi500_tr,4,0.01952066071022925,-0.023879594468326104,0.25676657918592144,0.020929474030428774,-0.05506447695834493,-0.10001945062907414,2
no_bond,1.H20955+0.399606+1.H00016,dividend_low_vol_100_tr+cyb_growth+sse50_tr,3,0.015699544915243946,-0.006063087679033963,0.16204191192401773,0.07469925142494493,0.003291556873791457,-0.01616158698907122,2
no_bond,0.399606+1.H00905,cyb_growth+csi500_tr,2,0.010282774117377436,-0.014550192131316253,0.1477698925571792,0.001973426045913773,0.008955415575290893,0.007656558506380029,2
no_bond,1.H00852+1.H00905,csi1000_tr+csi500_tr,2,0.006134895937629503,-0.00762793636023118,0.024196065984706028,-0.02415368600914425,-0.002220047737335825,-0.008897605405806419,2
no_bond,1.H20955+1.H00016+1.H00852,dividend_low_vol_100_tr+sse50_tr+csi1000_tr,3,0.003263780296753671,-0.02861653528114183,0.002116282413265077,-0.1116338140058194,0.002804276036467305,-0.017581927525757157,2
