scenario,year,return
stop_zero_article,2020,1.212208252210702
stop_zero_article,2021,0.5108640288353687
stop_zero_article,2022,0.9937433560234155
stop_zero_article,2023,0.5982192263902559
stop_zero_article,2024,1.238376546384722
stop_zero_article,2025,0.778661863904814
stop_zero_article,2026,0.3525770092386078
stop_close_exec,2020,0.3251760060559583
stop_close_exec,2021,0.20759912767495692
stop_close_exec,2022,0.8079814957400653
stop_close_exec,2023,0.430633073671258
stop_close_exec,2024,0.7141612171337148
stop_close_exec,2025,0.6491164082327314
stop_close_exec,2026,0.13686426251653772
no_stop,2020,0.5742059192527234
no_stop,2021,0.2149395644132781
no_stop,2022,0.7488888939795371
no_stop,2023,0.33488305876820323
no_stop,2024,0.7799157253260447
no_stop,2025,0.6168364687329557
no_stop,2026,0.05909290120225896
