kind,year,return,target,error
log_ols_ann_r2,2020,0.3081887868262816,0.832,-0.5238112131737184
log_ols_ann_r2,2021,0.19929429502218965,0.018,0.18129429502218966
log_ols_ann_r2,2022,0.7966255205111303,0.6562,0.14042552051113033
log_ols_ann_r2,2023,0.4242087908713914,0.3715,0.05270879087139141
log_ols_ann_r2,2024,0.6988009939406385,0.9425,-0.24369900605936146
log_ols_ann_r2,2025,0.6348292654023178,0.7212,-0.08637073459768219
log_ols_ann_r2,2026,0.13243856585761038,0.2329,-0.10046143414238962
log_wls_ann,2020,0.6822457233784327,0.832,-0.14975427662156726
log_wls_ann,2021,0.042261684618392525,0.018,0.024261684618392527
log_wls_ann,2022,0.46057809316718235,0.6562,-0.19562190683281766
log_wls_ann,2023,0.49947582090299614,0.3715,0.12797582090299614
log_wls_ann,2024,0.8949044585750268,0.9425,-0.04759554142497324
log_wls_ann,2025,0.7627047841462253,0.7212,0.04150478414622538
log_wls_ann,2026,0.21867010133603237,0.2329,-0.014229898663967622
log_wls_ann_r2,2020,0.7694783528767275,0.832,-0.06252164712327246
log_wls_ann_r2,2021,-0.026291589004272753,0.018,-0.044291589004272755
log_wls_ann_r2,2022,0.5158160899839761,0.6562,-0.1403839100160239
log_wls_ann_r2,2023,0.6074388620640501,0.3715,0.23593886206405007
log_wls_ann_r2,2024,0.8637955296075566,0.9425,-0.07870447039244344
log_wls_ann_r2,2025,0.5017312410413635,0.7212,-0.2194687589586365
log_wls_ann_r2,2026,0.48429973107093693,0.2329,0.25139973107093694
norm_wls_ann_slope,2020,0.5588817744248722,0.832,-0.27311822557512777
norm_wls_ann_slope,2021,-0.11869781467387441,0.018,-0.1366978146738744
norm_wls_ann_slope,2022,0.4916597088500605,0.6562,-0.1645402911499395
norm_wls_ann_slope,2023,0.42603377697935807,0.3715,0.05453377697935807
norm_wls_ann_slope,2024,0.8611066393299467,0.9425,-0.08139336067005332
norm_wls_ann_slope,2025,0.5577322175958921,0.7212,-0.16346778240410786
norm_wls_ann_slope,2026,0.1664422347278025,0.2329,-0.06645776527219749
norm_wls_ann_slope_r2,2020,0.7845135019442324,0.832,-0.047486498055767545
norm_wls_ann_slope_r2,2021,-0.10916276918495837,0.018,-0.12716276918495836
norm_wls_ann_slope_r2,2022,0.5235739662025745,0.6562,-0.13262603379742555
norm_wls_ann_slope_r2,2023,0.600379938918078,0.3715,0.22887993891807795
norm_wls_ann_slope_r2,2024,0.5609489757511847,0.9425,-0.38155102424881526
norm_wls_ann_slope_r2,2025,0.470284149146341,0.7212,-0.250915850853659
norm_wls_ann_slope_r2,2026,0.19779291824297918,0.2329,-0.03510708175702082
price_rel_wls_ann_slope,2020,0.5778108129160981,0.832,-0.2541891870839018
price_rel_wls_ann_slope,2021,-0.11869781467387441,0.018,-0.1366978146738744
price_rel_wls_ann_slope,2022,0.47584990942321315,0.6562,-0.18035009057678686
price_rel_wls_ann_slope,2023,0.42355475295985423,0.3715,0.052054752959854234
price_rel_wls_ann_slope,2024,1.127772243970127,0.9425,0.18527224397012698
price_rel_wls_ann_slope,2025,0.6076233073014847,0.7212,-0.11357669269851522
price_rel_wls_ann_slope,2026,0.1664422347278025,0.2329,-0.06645776527219749
