date,position,asset_return,base_weight,trade_count,stop_exit_count,return_1x,nav_1x,realized_vol_for_scale,scale_raw,weight_tv25,return_tv25,nav_tv25
2015-01-05,CASH,0.0,0.0,0,0,0.0,1.0,,1.0,0.0,0.0,1.0
2015-01-06,CASH,0.0,0.0,0,0,0.0,1.0,,1.0,0.0,0.0,1.0
2015-01-07,CASH,0.0,0.0,0,0,0.0,1.0,,1.0,0.0,0.0,1.0
2015-01-08,CASH,0.0,0.0,0,0,0.0,1.0,,1.0,0.0,0.0,1.0
2015-01-09,CASH,0.0,0.0,0,0,0.0,1.0,,1.0,0.0,0.0,1.0
2015-01-12,CASH,0.0,0.0,0,0,0.0,1.0,,1.0,0.0,0.0,1.0
2015-01-13,CASH,0.0,0.0,0,0,0.0,1.0,,1.0,0.0,0.0,1.0
2015-01-14,CASH,0.0,0.0,0,0,0.0,1.0,,1.0,0.0,0.0,1.0
2015-01-15,CASH,0.0,0.0,0,0,0.0,1.0,,1.0,0.0,0.0,1.0
2015-01-16,CASH,0.0,0.0,0,0,0.0,1.0,,1.0,0.0,0.0,1.0
2015-01-19,CASH,0.0,0.0,0,0,0.0,1.0,,1.0,0.0,0.0,1.0
2015-01-20,CASH,0.0,0.0,0,0,0.0,1.0,,1.0,0.0,0.0,1.0
2015-01-21,CASH,0.0,0.0,0,0,0.0,1.0,,1.0,0.0,0.0,1.0
2015-01-22,CASH,0.0,0.0,0,0,0.0,1.0,,1.0,0.0,0.0,1.0
2015-01-23,CASH,0.0,0.0,0,0,0.0,1.0,,1.0,0.0,0.0,1.0
2015-01-26,CASH,0.0,0.0,0,0,0.0,1.0,,1.0,0.0,0.0,1.0
2015-01-27,CASH,0.0,0.0,0,0,0.0,1.0,,1.0,0.0,0.0,1.0
2015-01-28,CASH,0.0,0.0,0,0,0.0,1.0,,1.0,0.0,0.0,1.0
2015-01-29,CASH,0.0,0.0,0,0,0.0,1.0,,1.0,0.0,0.0,1.0
2015-01-30,CASH,0.0,0.0,0,0,0.0,1.0,,1.0,0.0,0.0,1.0
2015-02-02,CASH,0.0,0.0,0,0,0.0,1.0,,1.0,0.0,0.0,1.0
2015-02-03,CASH,0.0,0.0,0,0,0.0,1.0,,1.0,0.0,0.0,1.0
2015-02-04,CASH,0.0,0.0,0,0,0.0,1.0,,1.0,0.0,0.0,1.0
2015-02-05,CASH,0.0,0.0,0,0,0.0,1.0,,1.0,0.0,0.0,1.0
2015-02-06,159915.SZ,0.0,0.0,1,0,0.0,1.0,,1.0,0.0,0.0,1.0
2015-02-09,159915.SZ,-0.009632751354605618,1.0,1,0,-0.009632751354605618,0.9903672486453944,,1.0,1.0,-0.009632751354605618,0.9903672486453944
2015-02-10,159915.SZ,0.024316109422492405,1.0,1,0,0.024316109422492405,1.0144491270319085,,1.0,1.0,0.024316109422492405,1.0144491270319085
2015-02-11,159915.SZ,0.011869436201780381,1.0,1,0,0.011869436201780381,1.0264900662251655,,1.0,1.0,0.011869436201780381,1.0264900662251655
2015-02-12,159915.SZ,0.008797653958944274,1.0,1,0,0.008797653958944274,1.0355207706201082,,1.0,1.0,0.008797653958944274,1.0355207706201082
2015-02-13,159915.SZ,0.02383720930232558,1.0,1,0,0.02383720930232558,1.0602046959662852,,1.0,1.0,0.02383720930232558,1.0602046959662852
2015-02-16,159915.SZ,0.03918228279386726,1.0,1,0,0.03918228279386726,1.1017459361830222,,1.0,1.0,0.03918228279386726,1.1017459361830222
2015-02-17,159915.SZ,-0.005464480874316946,1.0,1,0,-0.005464480874316946,1.0957254665863936,,1.0,1.0,-0.005464480874316946,1.0957254665863936
2015-02-25,159915.SZ,-0.009340659340659418,1.0,1,0,-0.009340659340659418,1.085490668272125,,1.0,1.0,-0.009340659340659418,1.085490668272125
2015-02-26,159915.SZ,0.006100942872989457,1.0,1,0,0.006100942872989457,1.0921131848284165,,1.0,1.0,0.006100942872989457,1.0921131848284165
2015-02-27,159915.SZ,0.027012127894156412,1.0,1,0,0.027012127894156412,1.121613485851896,,1.0,1.0,0.027012127894156412,1.121613485851896
2015-03-02,159915.SZ,0.027375201288244666,1.0,1,0,0.027375201288244666,1.1523178807947014,,1.0,1.0,0.027375201288244666,1.1523178807947014
2015-03-03,159915.SZ,-0.016196447230929945,1.0,1,0,-0.016196447230929945,1.133654425045153,,1.0,1.0,-0.016196447230929945,1.133654425045153
2015-03-04,159915.SZ,0.030270844397238372,1.0,1,0,0.030270844397238372,1.1679711017459355,,1.0,1.0,0.030270844397238372,1.1679711017459355
2015-03-05,159915.SZ,-0.0010309278350515427,1.0,1,0,-0.0010309278350515427,1.16676700782661,,1.0,1.0,-0.0010309278350515427,1.16676700782661
2015-03-06,159915.SZ,-0.029927760577915352,1.0,1,0,-0.029927760577915352,1.1318482841661643,,1.0,1.0,-0.029927760577915352,1.1318482841661643
2015-03-09,159915.SZ,0.025000000000000133,1.0,1,0,0.025000000000000133,1.1601444912703187,,1.0,1.0,0.025000000000000133,1.1601444912703187
2015-03-10,513030.SH,0.023352361183186288,1.0,2,0,0.023352361183186288,1.187236604455147,,1.0,1.0,0.023352361183186288,1.187236604455147
2015-03-11,513030.SH,-0.019960079840319334,1.0,2,0,-0.019960079840319334,1.1635392670408726,,1.0,1.0,-0.019960079840319334,1.1635392670408726
2015-03-12,513030.SH,0.01731160896130346,1.0,2,0,0.01731160896130346,1.1836820038430058,,1.0,1.0,0.01731160896130346,1.1836820038430058
2015-03-13,513030.SH,0.002002002002001957,1.0,2,0,0.002002002002001957,1.1860517375844333,,1.0,1.0,0.002002002002001957,1.1860517375844333
2015-03-16,513030.SH,0.003996003996004083,1.0,2,0,0.003996003996004083,1.1907912050672882,,1.0,1.0,0.003996003996004083,1.1907912050672882
2015-03-17,513030.SH,0.014925373134328401,1.0,2,0,0.014925373134328401,1.2085642081279941,,1.0,1.0,0.014925373134328401,1.2085642081279941
2015-03-18,513030.SH,-0.006862745098039302,1.0,2,0,-0.006862745098039302,1.200270140032998,,1.0,1.0,-0.006862745098039302,1.200270140032998
