date,zz1000_close_csindex,zz1000_volume,zz1000_amount,zz1000_constituents,hs300_close_csindex,hs300_volume,hs300_amount,hs300_constituents,amount_ratio_zz1000_hs300
2000-01-01,989.98,49.47,2.6,,1316.46,157.95,15.89,,0.16362492133417245
2002-01-04,,,,,1316.46,157.95,15.89,,
2002-01-07,,,,,1302.08,159.79,15.46,,
2002-01-08,,,,,1292.71,148.85,14.76,,
2002-01-09,,,,,1272.65,217.25,20.52,,
2002-01-10,,,,,1281.26,311.82,30.02,,
2002-01-11,,,,,1249.81,190.67,18.51,,
2002-01-14,,,,,1205.15,323.42,29.76,,
2002-01-15,,,,,1186.43,296.96,26.69,,
2002-01-16,,,,,1201.88,324.63,27.75,,
2002-01-17,,,,,1152.15,306.53,25.3,,
2002-01-18,,,,,1149.48,451.1,38.09,,
2002-01-21,,,,,1108.61,349.81,27.65,,
2002-01-22,,,,,1109.99,402.71,33.95,,
2002-01-23,,,,,1183.15,545.08,46.18,,
2002-01-24,,,,,1189.58,774.21,65.87,,
2002-01-25,,,,,1189.43,460.96,39.13,,
2002-01-28,,,,,1112.84,625.78,50.05,,
2002-01-29,,,,,1140.38,410.57,33.64,,
2002-01-30,,,,,1145.86,344.24,27.06,,
2002-01-31,,,,,1221.76,1101.24,101.75,,
2002-02-01,,,,,1215.74,754.27,71.02,,
2002-02-04,,,,,1236.97,511.47,45.54,,
2002-02-05,,,,,1246.84,660.6,53.79,,
2002-02-06,,,,,1216.79,534.4,46.98,,
2002-02-07,,,,,1241.02,533.07,50.07,,
2002-02-08,,,,,1235.09,423.18,39.76,,
2002-02-25,,,,,1254.61,520.72,49.99,,
2002-02-26,,,,,1253.12,443.24,40.17,,
2002-02-27,,,,,1256.0,396.21,35.09,,
2002-02-28,,,,,1244.6,369.98,33.73,,
2002-03-01,,,,,1227.23,363.48,33.05,,
2002-03-04,,,,,1245.87,326.79,30.07,,
2002-03-05,,,,,1275.61,799.75,76.67,,
2002-03-06,,,,,1288.44,1297.77,118.11,,
2002-03-07,,,,,1328.39,1312.69,117.37,,
2002-03-08,,,,,1351.85,1830.37,168.25,,
2002-03-11,,,,,1377.04,1559.38,146.24,,
2002-03-12,,,,,1362.4,1700.53,165.91,,
2002-03-13,,,,,1343.14,1238.35,122.04,,
2002-03-14,,,,,1376.33,1008.74,98.92,,
2002-03-15,,,,,1338.7,1132.28,114.36,,
2002-03-18,,,,,1341.91,778.65,75.64,,
2002-03-19,,,,,1368.38,835.81,84.27,,
2002-03-20,,,,,1382.42,1103.11,113.81,,
2002-03-21,,,,,1385.79,1032.57,100.91,,
2002-03-22,,,,,1369.9,744.81,71.94,,
2002-03-25,,,,,1373.01,570.8,55.83,,
2002-03-26,,,,,1350.01,609.15,60.53,,
2002-03-27,,,,,1354.1,578.28,53.51,,
