mode,mom_day,best_avg_cagr,mean_avg_cagr,worst_min_cagr,best_avg_sharpe,mean_avg_sharpe,worst_min_sharpe,worst_worst_maxdd,mean_turnover,n
a_style_volscale,25,0.4267023729624479,0.3111921456196194,0.05852756083770272,1.364910314863329,1.0612778750943406,0.34809942797421584,-0.4756122085983976,0.1658425217220351,6
a_style_volscale,30,0.3379341893928555,0.2575632030790542,-0.030385660958942795,1.164875796838072,0.9301953471622549,0.01954870765630743,-0.48043568083339716,0.14288297647342954,6
a_style_volscale,40,0.25746886716697226,0.2407367412131647,0.11003250132826015,0.9666510030581486,0.9080006981891616,0.528938985421179,-0.5235774871316885,0.11876573496136955,6
a_style_volscale,20,0.374871396746783,0.2502136008183428,0.04590925566589443,1.2457792401737091,0.9066610225514924,0.30359991681745896,-0.4235564467555515,0.20378004715058015,6
a_style_volscale,60,0.48264272649572765,0.24282228565207079,0.06030090698245916,1.4578923440387932,0.8622876317834806,0.35298184926699755,-0.4371348735099603,0.09521087881500316,6
a_style_volscale,35,0.2517424994119403,0.21072975199393554,0.05392188906816209,0.9249655550304156,0.8142895189969185,0.33333745955531335,-0.5194452341983156,0.1304519359018638,6
a_style_volscale,50,0.25845363124283577,0.19259189211050268,0.08228464160283155,0.9346954803221995,0.7608305977459123,0.43548910528726176,-0.484183715956661,0.10743171951711054,6
a_style_volscale,15,0.24410746219600035,0.16792548482786437,-0.030834230531386564,0.822088010789677,0.6299323379775417,0.02765804623460003,-0.544649221261158,0.26798604600206216,6
a_style_volscale,80,0.1935315504364965,0.1272011014952358,-0.023821441968145174,0.7379328738702503,0.54556374081379,0.044448629481794455,-0.6296799513251017,0.0847054548589475,6
a_style_volscale,10,0.039369863736152,-0.030168149821723483,-0.16884291872099966,0.2949022265046067,0.08407204013016799,-0.33913726187820514,-0.8552671789474702,0.40931068224593065,2
core_1x,25,0.3215832178213324,0.23370189204130898,0.05656927766669373,1.3807058681460005,1.0585457355584234,0.38120051403144256,-0.3271866008257892,0.11875462832695537,6
core_1x,30,0.2694839122781663,0.20631272458250405,0.000621918144168232,1.2058810717399975,0.9627813677956024,0.1006706425843386,-0.3291418464005851,0.10122262038620404,6
core_1x,40,0.20045886179530129,0.1887971477221239,0.0854323774084702,0.9976848314083959,0.9250618254343785,0.5114128249751094,-0.3706928202590831,0.08318347325466374,6
core_1x,20,0.2753041972763037,0.18391033166733917,0.0394677478644303,1.2273403899749438,0.8822837042597845,0.30097770221988335,-0.32337232445553366,0.14550287622722927,6
core_1x,35,0.1985854796800021,0.17431077642496015,0.07013034265901741,0.9529178673614926,0.8619104786553359,0.4567451778107829,-0.3425419379224802,0.09144258569441921,6
core_1x,60,0.35054966848187935,0.18315535841011166,0.049951155063939545,1.4440873947820456,0.8482042182963108,0.34301610474013955,-0.36628113128966444,0.06751096542166611,6
core_1x,50,0.1866056770782504,0.14803563679957088,0.07093665350149592,0.8985869481082293,0.7590921426778969,0.4505181366782318,-0.3310426020390427,0.07502725013942703,6
core_1x,15,0.17185082083575218,0.11858667027925546,-0.016299392661473622,0.7592649737976974,0.5819850931044466,0.020840721265106565,-0.43465221569503554,0.1958187214653192,6
core_1x,80,0.1669088117049423,0.1066143453133575,-0.00412528433052306,0.7884929201168286,0.5664006284942148,0.07662913174186196,-0.48522816227465915,0.0593196039721017,6
core_1x,10,0.01310965641288316,-0.03483276608202806,-0.2096615839111815,0.2236433669860646,0.11335673217926227,-0.40939370470706654,-0.8647669454474517,0.28405385111711845,6
