target_vol,window,start,end,days,total,cagr,maxdd,sharpe,vol,avg_weight,max_weight,pct_at_max_lev,pct_below_1x,cash_days,trades
1x_no_stop,10Y,2016-05-09,2026-05-08,2427,23.564502917173954,0.3943066765767653,-0.2872357068491933,1.442304062896429,0.2523626946407651,0.9765142150803461,1.0,0.0,0.023485784919653894,57,211
1x_no_stop,article_2020,2020-01-02,2026-05-08,1535,12.608844474471288,0.5351072862685056,-0.2872357068491931,1.6229460631310257,0.28971603241990623,0.9778501628664495,1.0,0.0,0.02214983713355049,34,148
1x_no_stop,5Y,2021-05-10,2026-05-08,1211,6.596793778244081,0.5249392955559817,-0.1914589933819003,1.638826219080742,0.2812246983012354,0.9719240297274979,1.0,0.0,0.028075970272502065,34,106
1x_no_stop,3Y,2023-05-08,2026-05-08,727,3.0611999711289295,0.6254658790310723,-0.19145899338189998,1.6847963261593348,0.31767215997120846,0.9614855570839065,1.0,0.0,0.03851444291609354,28,71
15%,10Y,2016-05-09,2026-05-08,2427,6.547460076518965,0.2335129682935817,-0.16815854007152897,1.3168052850763579,0.17035998938781063,0.7096116608625964,1.5,0.004120313143798929,0.8735063864853729,57,211
15%,article_2020,2020-01-02,2026-05-08,1535,3.9131388120827832,0.29867351844372636,-0.14196251662253845,1.5701186839033348,0.17627907712176907,0.5941820222423858,1.0900502927556466,0.0,0.990228013029316,34,148
15%,5Y,2021-05-10,2026-05-08,1211,2.584807783151773,0.3043080714623725,-0.12302938164149402,1.5839746521894846,0.17756582637338336,0.6166681679236217,1.0900502927556466,0.0,0.9876135425268373,34,106
15%,3Y,2023-05-08,2026-05-08,727,1.4263699175676425,0.3596829262696668,-0.11611028164865134,1.6890935620578373,0.19272200587861044,0.551111528350768,1.0900502927556466,0.0,0.9807427785419532,28,71
17%,10Y,2016-05-09,2026-05-08,2427,8.7494517329824,0.2667405814423447,-0.184983812418548,1.3240475492938915,0.19251111555416286,0.8010399264489982,1.5,0.030490317264112072,0.7507210548001648,57,211
17%,article_2020,2020-01-02,2026-05-08,1535,4.990594824688966,0.3416423542062843,-0.15957767739915252,1.570118683903335,0.1997829540713383,0.673406291874704,1.235390331789733,0.0,0.901628664495114,34,148
17%,5Y,2021-05-10,2026-05-08,1211,3.203244892099687,0.3482278341487346,-0.13856090738380122,1.5839746521894849,0.20124126988983448,0.698890590313438,1.235390331789733,0.0,0.8761354252683733,34,106
17%,3Y,2023-05-08,2026-05-08,727,1.709696880738651,0.4127434428803427,-0.13084102027311684,1.6890935620578373,0.21841827332909183,0.6245930654642039,1.235390331789733,0.0,0.9133425034387895,28,71
19%,10Y,2016-05-09,2026-05-08,2427,11.466826770346085,0.29949439310218406,-0.20394216903725992,1.3297292106703436,0.2141557258646262,0.8885896562233871,1.5,0.04326328800988875,0.6374124433456942,57,211
19%,article_2020,2020-01-02,2026-05-08,1535,6.280731544078637,0.3852965068532177,-0.1768959648147076,1.5701186839033343,0.22328683102090754,0.752630561507022,1.3807303708238192,0.0,0.8162866449511401,34,148
19%,5Y,2021-05-10,2026-05-08,1211,3.9158199144301564,0.3928871225023107,-0.15389154741166955,1.5839746521894849,0.2249167134062856,0.7811130127032543,1.3807303708238192,0.0,0.7811725846407928,34,106
19%,3Y,2023-05-08,2026-05-08,727,2.020749799130294,0.46697317023610485,-0.1453982228000097,1.689093562057837,0.24411454077957323,0.6980746025776396,1.3807303708238192,0.0,0.874828060522696,28,71
21%,10Y,2016-05-09,2026-05-08,2427,15.132360086705802,0.33474271060279714,-0.2132973864483052,1.3453949739963318,0.23497643905006113,0.9731831267550312,1.5,0.07457766790276062,0.5290482076637825,57,211
21%,article_2020,2020-01-02,2026-05-08,1535,7.815433521283067,0.4294865355887969,-0.1939211347983686,1.5698446270340431,0.24677425965799518,0.8318294293927945,1.5,0.001954397394136808,0.7309446254071661,34,148
21%,5Y,2021-05-10,2026-05-08,1211,4.7315192779082125,0.4381038155753709,-0.1690227118818931,1.5836299087760213,0.24857147065763693,0.863303237173213,1.5,0.002477291494632535,0.6729975227085053,34,106
21%,3Y,2023-05-08,2026-05-08,727,2.3597623317864476,0.5220689544064261,-0.1597828857069984,1.688559786881443,0.26977923918458674,0.7715025060171449,1.5,0.0041265474552957355,0.7757909215955984,28,71
