etf,proxy,proxy_shift_days,corr
159941.SZ,NDX_CNY,-5,-0.003579008978925277
159941.SZ,NDX_CNY,-4,0.00791677705591199
159941.SZ,NDX_CNY,-3,0.0036859847621446536
159941.SZ,NDX_CNY,-2,-0.018131858684033
159941.SZ,NDX_CNY,-1,0.022078005736566344
159941.SZ,NDX_CNY,0,0.15886137577649223
159941.SZ,NDX_CNY,1,0.5579797405449061
159941.SZ,NDX_CNY,2,-0.03607663188766902
159941.SZ,NDX_CNY,3,0.006971580803557747
159941.SZ,NDX_CNY,4,-0.05080940850442615
159941.SZ,NDX_CNY,5,0.05973161767823103
513030.SH,DAX_CNY,-5,-0.034558919442066474
513030.SH,DAX_CNY,-4,0.05729538581225962
513030.SH,DAX_CNY,-3,-0.024456405567435176
513030.SH,DAX_CNY,-2,0.002219174797454125
513030.SH,DAX_CNY,-1,-0.003912609774328694
513030.SH,DAX_CNY,0,0.4434481289925266
513030.SH,DAX_CNY,1,0.4068269919152388
513030.SH,DAX_CNY,2,0.04448635576330145
513030.SH,DAX_CNY,3,0.05269421487490348
513030.SH,DAX_CNY,4,0.011102230981880835
513030.SH,DAX_CNY,5,0.08262358237618274
513520.SH,N225_CNY,-5,-0.007748550620424135
513520.SH,N225_CNY,-4,0.03312018708418318
513520.SH,N225_CNY,-3,-0.023134052124826065
513520.SH,N225_CNY,-2,0.03683622714013962
513520.SH,N225_CNY,-1,-0.019345527327706658
513520.SH,N225_CNY,0,0.7545982416911935
513520.SH,N225_CNY,1,-0.01723077535756498
513520.SH,N225_CNY,2,0.008543408867577467
513520.SH,N225_CNY,3,-0.015581358282436241
513520.SH,N225_CNY,4,0.006422431784636814
513520.SH,N225_CNY,5,0.01955348683759841
518880.SH,GOLD_CNY,-5,-0.05951775335986664
518880.SH,GOLD_CNY,-4,-0.032413934093194055
518880.SH,GOLD_CNY,-3,0.030012570940855816
518880.SH,GOLD_CNY,-2,-0.002794946318445838
518880.SH,GOLD_CNY,-1,-0.08908658690334341
518880.SH,GOLD_CNY,0,0.38299813236644137
518880.SH,GOLD_CNY,1,0.5160859441995249
518880.SH,GOLD_CNY,2,-0.04942650216105844
518880.SH,GOLD_CNY,3,-0.002367129204553627
518880.SH,GOLD_CNY,4,0.022248115451728105
518880.SH,GOLD_CNY,5,0.01967918924663294
