target_vol,window,start,end,days,total,cagr,maxdd,sharpe,vol,avg_weight,max_weight,pct_at_max_lev,pct_below_1x,cash_days_end_position,stop_exits
1x_close_stop,10Y,2016-05-09,2026-05-08,2427,21.631014567164858,0.3824883519536204,-0.2597366332939528,1.4594825357824845,0.24175627079298934,0.9567367119901112,1.0,0.0,0.04326328800988875,105,44
1x_close_stop,article_2020,2020-01-02,2026-05-08,1535,12.302405704001673,0.5293782991302396,-0.2597366332939529,1.6703463583222973,0.2771172222317463,0.9550488599348534,1.0,0.0,0.04495114006514658,69,34
1x_close_stop,5Y,2021-05-10,2026-05-08,1211,7.926970677745446,0.5770097591084458,-0.16739372354841653,1.8082685120336366,0.27203855352714756,0.953757225433526,1.0,0.0,0.046242774566473986,55,21
1x_close_stop,3Y,2023-05-08,2026-05-08,727,3.5893524628491384,0.6958322228822647,-0.16739372354841664,1.8734720852034332,0.30644138795065984,0.9436038514442916,1.0,0.0,0.05639614855570839,41,14
15%,10Y,2016-05-09,2026-05-08,2427,6.598668860387856,0.2343793343275764,-0.14817543187101134,1.3305657736200258,0.16893142849355833,0.7149837361565577,1.5,0.004120313143798929,0.8632056036258756,105,44
15%,article_2020,2020-01-02,2026-05-08,1535,3.967890046675379,0.301038422160135,-0.14817543187101112,1.589599364691233,0.1751352022651934,0.5987051736288522,1.0900502927556428,0.0,0.9882736156351791,69,34
15%,5Y,2021-05-10,2026-05-08,1211,2.932847346578352,0.3297012482538957,-0.13993292322516848,1.7001033980248117,0.17668876320014976,0.6195911025594962,1.0900502927556428,0.0,0.9851362510322048,55,21
15%,3Y,2023-05-08,2026-05-08,727,1.5685611118885787,0.38679033244479455,-0.13993292322516826,1.8039622924724443,0.19123556540462075,0.5579893898764724,1.0900502927556428,0.0,0.9807427785419532,41,14
17%,10Y,2016-05-09,2026-05-08,2427,8.828419727806793,0.26780207738171247,-0.16689337416911854,1.3379436333184926,0.19088729338979962,0.8071282784488211,1.5,0.030490317264112072,0.7453646477132262,105,44
17%,article_2020,2020-01-02,2026-05-08,1535,5.067466597182155,0.3444536647574574,-0.16689337416911887,1.5895993646912332,0.19848656256721922,0.6785325301126992,1.2353903317897286,0.0,0.8977198697068404,69,34
17%,5Y,2021-05-10,2026-05-08,1211,3.669232927269925,0.3780499756453892,-0.15733681162976076,1.7001033980248115,0.20024726496016976,0.7022032495674292,1.2353903317897286,0.0,0.8711808422791082,55,21
17%,3Y,2023-05-08,2026-05-08,727,1.8907451762480894,0.44477368876214407,-0.157336811629761,1.8039622924724443,0.21673364079190355,0.6323879751933354,1.2353903317897286,0.0,0.9119669876203577,41,14
19%,10Y,2016-05-09,2026-05-08,2427,11.42716309470211,0.29906449835234694,-0.18822300990958973,1.3374970704662732,0.21235735667898914,0.8952908521360661,1.5,0.04491141326740832,0.6069221260815822,105,44
19%,article_2020,2020-01-02,2026-05-08,1535,6.386805499785442,0.3885898711062199,-0.185364912092567,1.589599364691233,0.221837922869245,0.7583598865965462,1.3807303708238141,0.0,0.8175895765472313,69,34
19%,5Y,2021-05-10,2026-05-08,1211,4.529560829418626,0.4274087060284002,-0.17445693869727907,1.7001033980248115,0.22380576672018973,0.7848153965753619,1.3807303708238141,0.0,0.782824112303881,55,21
19%,3Y,2023-05-08,2026-05-08,727,2.247692560315653,0.5042748831916926,-0.17445693869727896,1.803962292472444,0.24223171617918632,0.7067865605101984,1.3807303708238141,0.0,0.874828060522696,41,14
21%,10Y,2016-05-09,2026-05-08,2427,14.817073195779905,0.3320101472801582,-0.21087666310482422,1.3456463230329774,0.23305497729085334,0.9798210123304677,1.5,0.07869798104655953,0.5092707045735476,105,44
21%,article_2020,2020-01-02,2026-05-08,1535,7.959612710977622,0.4332987915584965,-0.20358966423287472,1.589325498943624,0.24517273084297458,0.8381618413338475,1.5,0.001954397394136808,0.7387622149837133,69,34
21%,5Y,2021-05-10,2026-05-08,1211,5.528492105829522,0.4775984884010551,-0.19129679031913127,1.6997670114202625,0.2473435304200796,0.8673953456634375,1.5,0.002477291494632535,0.6829066886870355,55,21
21%,3Y,2023-05-08,2026-05-08,727,2.6404487473396574,0.5649956062565067,-0.19129679031913127,1.8034390306023158,0.2676980567863917,0.7811315121531311,1.5,0.0041265474552957355,0.7785419532324622,41,14
23%,10Y,2016-05-09,2026-05-08,2427,19.126416974363586,0.3657541784376046,-0.2227109280110745,1.3594453952005987,0.25249989847406906,1.056840052588,1.5,0.15245158632056036,0.43139678615574784,105,44
23%,article_2020,2020-01-02,2026-05-08,1535,9.78298192174133,0.4775565187919075,-0.22156733998318223,1.588014170930504,0.2681526680163288,0.9167955354529471,1.5,0.018892508143322474,0.6534201954397394,69,34
23%,5Y,2021-05-10,2026-05-08,1211,6.653271315717485,0.527291525236349,-0.20785982590120455,1.698281270918948,0.27043588117592776,0.9484944689472683,1.5,0.023947151114781174,0.5755573905862923,55,21
23%,3Y,2023-05-08,2026-05-08,727,3.054193590815557,0.624493292498931,-0.20785982590120444,1.8002464489992105,0.2925945823446721,0.8535962145244397,1.5,0.02063273727647868,0.7125171939477304,41,14
25%,10Y,2016-05-09,2026-05-08,2427,24.424536088615454,0.39929757181723513,-0.23929773831013124,1.377295025362753,0.27010324780418515,1.1240684910629004,1.5,0.2249690976514215,0.3304491141326741,105,44
25%,article_2020,2020-01-02,2026-05-08,1535,11.88448776650491,0.5213846783873424,-0.23929773831013068,1.5906046621842607,0.28978205039274424,0.988840007505648,1.5,0.08729641693811074,0.4990228013029316,69,34
25%,5Y,2021-05-10,2026-05-08,1211,7.91365887808599,0.5765201155768227,-0.22358287308770675,1.702247107883532,0.2918298627843973,1.0212414403963168,1.5,0.1106523534269199,0.4203137902559868,55,21
25%,3Y,2023-05-08,2026-05-08,727,3.464597809782111,0.6797089807472108,-0.22358287308770652,1.792888024789189,0.3162408778227615,0.9202021352119139,1.5,0.08803301237964237,0.594222833562586,41,14
