strategy,position,days,sum_return,compound_return,avg_daily
article_six,159915.SZ,271,1.1535851821191936,2.0157189259603587,0.004256771889738721
article_six,159941.SZ,307,0.7072068125625827,0.985078008569624,0.002303605252646849
article_six,159985.SZ,320,0.551322749577088,0.667092045055224,0.0017228835924284
article_six,513030.SS,182,0.4763034027506744,0.5820464273427397,0.002617051663465244
article_six,513520.SS,144,0.4744962571558252,0.5688429890309818,0.0032951128969154527
article_six,518880.SS,231,0.6655623179984416,0.8760952603954153,0.0028812221558374095
article_six,CASH,77,-0.0043122467919144425,-0.004365628935007804,-5.6003205089797954e-05
four_same_article_engine,0.399606,325,1.1959780262008124,2.104898394554332,0.003679932388310192
four_same_article_engine,1.H00016,172,0.06937953110860473,0.05916943867556612,0.0004033693669104926
four_same_article_engine,CASH,155,-0.10924773366137652,-0.10498397660881698,-0.000704824088137913
four_same_article_engine,GOLD_518880,427,0.8955408844801983,1.3756828075905312,0.002097285443747537
four_same_article_engine,NASDAQ_159941,453,0.814975549532717,1.1781983329770749,0.001799063023251031
four_current_weighted_cost,0.399606,343,0.3738004843474836,0.3808571886184051,0.0010897973304591357
four_current_weighted_cost,1.H00016,165,0.11013789509795957,0.08807371108903128,0.0006675023945330883
four_current_weighted_cost,CASH,103,-0.0823669331288619,-0.08140118678393804,-0.0007996789624161349
four_current_weighted_cost,GOLD_518880,444,0.5091347432736701,0.6032844155608155,0.0011466998722379957
four_current_weighted_cost,NASDAQ_159941,477,0.689053274558445,0.9059811589640763,0.0014445561311497799
