date,scenario,position,return,nav,trade_count,stop_exit_count
2020-01-02,six_all_etf_original_conditions,CASH,0.0,1.0,0,0
2020-01-03,six_all_etf_original_conditions,CASH,0.0,1.0,0,0
2020-01-06,six_all_etf_original_conditions,CASH,0.0,1.0,0,0
2020-01-07,six_all_etf_original_conditions,CASH,0.0,1.0,0,0
2020-01-08,six_all_etf_original_conditions,CASH,0.0,1.0,0,0
2020-01-09,six_all_etf_original_conditions,CASH,0.0,1.0,0,0
2020-01-10,six_all_etf_original_conditions,CASH,0.0,1.0,0,0
2020-01-13,six_all_etf_original_conditions,CASH,0.0,1.0,0,0
2020-01-14,six_all_etf_original_conditions,CASH,0.0,1.0,0,0
2020-01-15,six_all_etf_original_conditions,CASH,0.0,1.0,0,0
2020-01-16,six_all_etf_original_conditions,CASH,0.0,1.0,0,0
2020-01-17,six_all_etf_original_conditions,CASH,0.0,1.0,0,0
2020-01-20,six_all_etf_original_conditions,CASH,0.0,1.0,0,0
2020-01-21,six_all_etf_original_conditions,CASH,0.0,1.0,0,0
2020-01-22,six_all_etf_original_conditions,CASH,0.0,1.0,0,0
2020-01-23,six_all_etf_original_conditions,CASH,0.0,1.0,0,0
2020-02-03,six_all_etf_original_conditions,CASH,0.0,1.0,0,0
2020-02-04,six_all_etf_original_conditions,CASH,0.0,1.0,0,0
2020-02-05,six_all_etf_original_conditions,CASH,0.0,1.0,0,0
2020-02-06,six_all_etf_original_conditions,CASH,0.0,1.0,0,0
2020-02-07,six_all_etf_original_conditions,CASH,0.0,1.0,0,0
2020-02-10,six_all_etf_original_conditions,CASH,0.0,1.0,0,0
2020-02-11,six_all_etf_original_conditions,CASH,0.0,1.0,0,0
2020-02-12,six_all_etf_original_conditions,CASH,0.0,1.0,0,0
2020-02-13,six_all_etf_original_conditions,159941.SZ,0.0,1.0,1,0
2020-02-14,six_all_etf_original_conditions,CASH,0.0,1.0,2,1
2020-02-17,six_all_etf_original_conditions,159915.SZ,0.0,1.0,3,1
2020-02-18,six_all_etf_original_conditions,159915.SZ,0.00917431192660545,1.0091743119266054,3,1
2020-02-19,six_all_etf_original_conditions,159941.SZ,-0.017224880382775143,0.9917914051183002,4,1
2020-02-20,six_all_etf_original_conditions,159941.SZ,0.013140009062075464,1.0048235531692433,4,1
2020-02-21,six_all_etf_original_conditions,159941.SZ,-0.022361359570661987,0.9823543323917556,4,1
2020-02-24,six_all_etf_original_conditions,CASH,0.0,0.9823543323917556,5,2
2020-02-25,six_all_etf_original_conditions,159915.SZ,0.0,0.9823543323917556,6,2
2020-02-26,six_all_etf_original_conditions,159915.SZ,-0.04236902050113889,0.9407329415432667,6,2
2020-02-27,six_all_etf_original_conditions,159915.SZ,0.00428163653663205,0.9447608180769916,6,2
2020-02-28,six_all_etf_original_conditions,CASH,0.0,0.9447608180769916,7,3
2020-03-02,six_all_etf_original_conditions,518880.SH,0.0,0.9447608180769916,8,3
2020-03-03,six_all_etf_original_conditions,518880.SH,-0.0016939582156972888,0.9431604327273412,8,3
2020-03-04,six_all_etf_original_conditions,159915.SZ,0.02149321266968318,0.9634319804895803,9,3
2020-03-05,six_all_etf_original_conditions,159915.SZ,0.015804597701149392,0.9786586353536397,9,3
2020-03-06,six_all_etf_original_conditions,159915.SZ,-0.0047147571900045815,0.974044497516046,9,3
2020-03-09,six_all_etf_original_conditions,CASH,0.0,0.974044497516046,10,4
2020-03-10,six_all_etf_original_conditions,518880.SH,0.0,0.974044497516046,11,4
2020-03-11,six_all_etf_original_conditions,518880.SH,0.009966777408637828,0.9837525822088969,11,4
2020-03-12,six_all_etf_original_conditions,518880.SH,-0.010964912280701733,0.9729658214390625,11,4
2020-03-13,six_all_etf_original_conditions,518880.SH,-0.029379157427937952,0.9443809053990013,11,4
2020-03-16,six_all_etf_original_conditions,CASH,0.0,0.9443809053990013,12,5
2020-03-17,six_all_etf_original_conditions,159985.SZ,0.0,0.9443809053990013,13,5
2020-03-18,six_all_etf_original_conditions,159985.SZ,-0.002083333333333326,0.94241344517942,13,5
2020-03-19,six_all_etf_original_conditions,159985.SZ,-0.009394572025052228,0.9335598741913044,13,5
2020-03-20,six_all_etf_original_conditions,159985.SZ,0.02950474183350904,0.961104317265442,13,5
2020-03-23,six_all_etf_original_conditions,159985.SZ,0.05322415557830085,1.0122582829745546,13,5
2020-03-24,six_all_etf_original_conditions,159985.SZ,-0.013605442176870763,0.9984860614374858,13,5
2020-03-25,six_all_etf_original_conditions,159985.SZ,0.016748768472906628,1.0152094733039265,13,5
2020-03-26,six_all_etf_original_conditions,159985.SZ,-0.026162790697674576,0.9886487603395795,13,5
2020-03-27,six_all_etf_original_conditions,159985.SZ,0.011940298507462588,1.000453521657067,13,5
2020-03-30,six_all_etf_original_conditions,159985.SZ,0.008849557522123908,1.0093070926451826,13,5
2020-03-31,six_all_etf_original_conditions,159985.SZ,-0.0029239766081872176,1.0063559023158106,13,5
2020-04-01,six_all_etf_original_conditions,159985.SZ,-0.029325513196480912,0.9768439990220918,13,5
2020-04-02,six_all_etf_original_conditions,159985.SZ,-0.004028197381671705,0.9729090785829293,13,5
2020-04-03,six_all_etf_original_conditions,CASH,0.0,0.9729090785829293,14,6
2020-04-07,six_all_etf_original_conditions,CASH,0.0,0.9729090785829293,14,6
2020-04-08,six_all_etf_original_conditions,159985.SZ,0.0,0.9729090785829293,15,6
2020-04-09,six_all_etf_original_conditions,159985.SZ,0.0010193679918450993,0.9739008309566123,15,6
2020-04-10,six_all_etf_original_conditions,159985.SZ,0.0010183299389001643,0.9748925833302952,15,6
2020-04-13,six_all_etf_original_conditions,159985.SZ,-0.007121057985757906,0.9679503167145148,15,6
2020-04-14,six_all_etf_original_conditions,518880.SH,0.0,0.9679503167145148,16,6
2020-04-15,six_all_etf_original_conditions,518880.SH,-0.0026939655172414367,0.965342691938883,16,6
2020-04-16,six_all_etf_original_conditions,513520.SH,0.0075634792004322104,0.972644041310652,17,6
2020-04-17,six_all_etf_original_conditions,513520.SH,0.018143009605122717,0.9902907314945165,17,6
2020-04-20,six_all_etf_original_conditions,513520.SH,-0.0031446540880503138,0.987176609697364,17,6
2020-04-21,six_all_etf_original_conditions,513030.SH,-0.013669821240799185,0.9736820819097028,18,6
2020-04-22,six_all_etf_original_conditions,513030.SH,-0.009302325581395321,0.964624574171008,18,6
2020-04-23,six_all_etf_original_conditions,513030.SH,0.005868544600938996,0.9702855165076923,18,6
2020-04-24,six_all_etf_original_conditions,513030.SH,-0.012835472578763163,0.9578314433669868,18,6
2020-04-27,six_all_etf_original_conditions,513030.SH,0.014184397163120588,0.9714177049750292,18,6
2020-04-28,six_all_etf_original_conditions,159941.SZ,0.012820512820512775,0.9838717781157347,19,6
2020-04-29,six_all_etf_original_conditions,159941.SZ,0.028949950932286583,1.0123548178158468,19,6
2020-04-30,six_all_etf_original_conditions,159941.SZ,0.03290414878397718,1.0456654913634356,19,6
2020-05-06,six_all_etf_original_conditions,159915.SZ,-0.004616805170821747,1.040837857515959,20,6
2020-05-07,six_all_etf_original_conditions,159915.SZ,-0.0019714144898964614,1.0387859346820192,20,6
