scenario,year,return
six_all_etf_original_conditions,2020,0.8055877888899303
six_all_etf_original_conditions,2021,0.5108640288353687
six_all_etf_original_conditions,2022,0.9937433560234155
six_all_etf_original_conditions,2023,0.5982192263902559
six_all_etf_original_conditions,2024,1.238376546384722
six_all_etf_original_conditions,2025,0.778661863904814
six_all_etf_original_conditions,2026,0.29517203559080607
six_index_except_soy_original_conditions,2020,0.9147796860878086
six_index_except_soy_original_conditions,2021,0.2407359973681209
six_index_except_soy_original_conditions,2022,0.8492861397681244
six_index_except_soy_original_conditions,2023,0.11379297484436068
six_index_except_soy_original_conditions,2024,0.37491745626159867
six_index_except_soy_original_conditions,2025,0.6252485358949365
six_index_except_soy_original_conditions,2026,0.24900074056795019
