date,nav_1x,hold,base_weight_1x,scale_raw,weight_tv25_max15,ret_tv25_max15_borrow3,turnover_tv25_max15_borrow3,trade_cost_tv25_max15_borrow3,nav_tv25_max15_borrow3
2021-04-30,100000.0,CASH,0.0,1.0,0.0,0.0,0.0,0.0,100000.0
2021-05-06,99900.09990009991,0.399606,1.0,1.0,1.0,-0.0010000000000000009,1.0,0.001,99900.0
2021-05-07,96440.58575345561,0.399606,1.0,1.0,1.0,-0.03462973660790947,0.0,0.0,96440.48931286985
2021-05-10,96815.23647393529,0.399606,1.0,1.0,1.0,0.0038847827141723634,0.0,0.0,96815.13965869881
2021-05-11,96802.75851488518,0.399606,1.0,1.0,1.0,-0.00012888424905599383,0.0,0.0,96802.66171212665
2021-05-12,98103.89769483589,0.399606,1.0,1.0,1.0,0.013441137421209337,0.0,0.0,98103.79959093819
2021-05-13,97550.18826198706,0.399606,1.0,1.0,1.0,-0.005644112475237439,0.0,0.0,97550.09071179878
2021-05-14,100347.12278307028,GOLD_518880,1.0,1.0,1.0,0.028669689682519373,2.0,0.002,100346.82154100767
2021-05-17,101366.9616104905,GOLD_518880,1.0,1.0,1.0,0.010163109804602,0.0,0.0,101366.65730687173
2021-05-18,102037.91309067114,GOLD_518880,1.0,1.0,1.0,0.006619035132559237,0.0,0.0,102037.606772856
2021-05-19,102306.29240300988,GOLD_518880,1.0,1.0,1.0,0.0026301920943860857,0.0,0.0,102305.98527952004
2021-05-20,102279.45639137627,GOLD_518880,1.0,1.0,1.0,-0.00026231046989666496,0.0,0.0,102279.14934844813
2021-05-21,102413.64284821188,GOLD_518880,1.0,1.0,1.0,0.0013119590342964838,0.0,0.0,102413.33540245598
2021-05-24,102735.70058248538,GOLD_518880,1.0,1.0,1.0,0.003144676093114196,0.0,0.0,102735.39216991217
2021-05-25,102306.29240300988,GOLD_518880,1.0,1.0,1.0,-0.004179736713147086,0.0,0.0,102305.98527952003
2021-05-26,103173.25658612639,0.399606,1.0,1.0,1.0,0.00847218298788377,2.0,0.002,103172.74030756386
2021-05-27,104134.7112498173,0.399606,1.0,1.0,1.0,0.00931883605794992,0.0,0.0,104134.1901601395
2021-05-28,104375.22675633756,0.399606,1.0,1.0,1.0,0.0023096574008190096,0.0,0.0,104374.70446312115
