pool,window,start,end,total,cagr,maxdd,dd_date,sharpe,avg_weight,trade_actions,cash_days,top_holds,target_vol,max_lev
four_asset_slope_r2_1x,10Y,2016-05-03,2026-04-30,5.201783394215355,0.20040466622980135,-0.20579009244321445,2020-04-02,0.9891616376203872,1.1999137243174214,431,125,NASDAQ_159941:797; GOLD_518880:645; 0.399606:484; 1.H00016:378; CASH:125,,
four_asset_slope_r2_tv25_max15,10Y,2016-05-03,2026-04-30,6.609237590972071,0.22523289947843428,-0.23331766358901462,2018-11-26,0.9278315850074397,1.1999137243174214,431,125,NASDAQ_159941:797; GOLD_518880:645; 0.399606:484; 1.H00016:378; CASH:125,0.25,1.5
four_asset_slope_r2_1x,5Y,2021-04-30,2026-04-30,2.0931298874525046,0.2534097241005824,-0.1537071302585581,2024-09-04,1.1757739885160021,1.177905566957078,203,67,GOLD_518880:402; NASDAQ_159941:386; 0.399606:231; 1.H00016:125; CASH:67,,
four_asset_slope_r2_tv25_max15,5Y,2021-04-30,2026-04-30,2.2855637277743344,0.2686333529369891,-0.22017321335826368,2024-01-18,1.046945056841009,1.177905566957078,203,67,GOLD_518880:402; NASDAQ_159941:386; 0.399606:231; 1.H00016:125; CASH:67,0.25,1.5
four_asset_slope_r2_1x,3Y,2023-05-04,2026-04-30,1.804374197777987,0.4118588710629394,-0.15370713025855798,2024-09-04,1.6039933020234312,1.0867356934351822,131,31,GOLD_518880:256; NASDAQ_159941:249; 0.399606:135; 1.H00016:55; CASH:31,,
four_asset_slope_r2_tv25_max15,3Y,2023-05-04,2026-04-30,1.8327228701827472,0.41661660846559356,-0.21592698801543997,2024-09-04,1.4176910363504733,1.0867356934351822,131,31,GOLD_518880:256; NASDAQ_159941:249; 0.399606:135; 1.H00016:55; CASH:31,0.25,1.5
