kind,window,start,end,days,total,cagr,maxdd,sharpe,trades,stop_exits,cash_days,cost_sum
log_ols_ann_r2,article_2020,2020-01-02,2026-05-08,1535,11.625743948692843,0.5163263305931158,-0.2612897048357703,1.638844361952092,211,34,69,0.0522
log_ols_ann_r2,5Y,2021-05-10,2026-05-08,1211,7.612565834383334,0.565287285664503,-0.16889123516038873,1.7802778110884003,143,21,55,0.03585
log_ols_ann_r2,3Y,2023-05-08,2026-05-08,727,3.4805047069204065,0.6817810225229459,-0.16889123516038884,1.8458520391914317,96,14,41,0.024
log_ols_ann_r2,10Y,2016-05-09,2026-05-08,2427,20.033395460471162,0.37201918320662286,-0.2612897048357702,1.4274682350460004,293,44,105,0.0732
log_wls_ann,article_2020,2020-01-02,2026-05-08,1535,14.630883002183113,0.5704189756508447,-0.19217964759321415,1.8801235739955673,233,27,64,0.060300000000000006
log_wls_ann,5Y,2021-05-10,2026-05-08,1211,7.593884469283195,0.5645801547425453,-0.1921796475932146,1.8960843381882557,164,15,52,0.04335
log_wls_ann,3Y,2023-05-08,2026-05-08,727,5.202991181369179,0.8825188366562942,-0.14985409551538142,2.431376531847845,107,10,37,0.0285
log_wls_ann,10Y,2016-05-09,2026-05-08,2427,19.71370506875581,0.36983902795713086,-0.1921796475932145,1.4957693052465983,326,35,101,0.084
log_wls_ann_r2,article_2020,2020-01-02,2026-05-08,1535,16.440833741788236,0.5989221752753993,-0.19244045563596346,1.9489988407488845,226,23,59,0.0594
log_wls_ann_r2,5Y,2021-05-10,2026-05-08,1211,8.201930348936088,0.5869964846227904,-0.16924700890689848,1.9558134831528091,159,13,49,0.04245
log_wls_ann_r2,3Y,2023-05-08,2026-05-08,727,5.252512054059635,0.8877147681207818,-0.11721732890305991,2.430849981553601,101,8,35,0.0273
log_wls_ann_r2,10Y,2016-05-09,2026-05-08,2427,19.74197153556357,0.37003300423849383,-0.20956039418263306,1.496879105516216,322,31,96,0.08400000000000002
norm_wls_ann_slope,article_2020,2020-01-02,2026-05-08,1535,8.88245612760256,0.4565532081142736,-0.21311324937245435,1.426905288469554,209,40,70,0.0495
norm_wls_ann_slope,5Y,2021-05-10,2026-05-08,1211,5.934243252444431,0.49625490584366294,-0.18397063486311227,1.5406131966038668,148,23,53,0.03645
norm_wls_ann_slope,3Y,2023-05-08,2026-05-08,727,3.9007861106103396,0.7348694800516797,-0.18397063486311227,1.8450699987428731,98,17,44,0.023700000000000002
norm_wls_ann_slope,10Y,2016-05-09,2026-05-08,2427,13.686370874110713,0.32179145063300196,-0.21311324937245413,1.2155298525697273,299,50,109,0.0717
norm_wls_ann_slope_r2,article_2020,2020-01-02,2026-05-08,1535,9.655566964898831,0.4746759866873045,-0.2446667193995219,1.4643188890386638,203,38,68,0.04830000000000001
norm_wls_ann_slope_r2,5Y,2021-05-10,2026-05-08,1211,5.174368007046709,0.4605497699292478,-0.24466671939952134,1.4460229145789694,145,23,53,0.035550000000000005
norm_wls_ann_slope_r2,3Y,2023-05-08,2026-05-08,727,3.1191044612524452,0.6334621971473757,-0.24466671939952134,1.6381585686923275,93,16,43,0.022500000000000003
norm_wls_ann_slope_r2,10Y,2016-05-09,2026-05-08,2427,13.22640857567421,0.3174315610321332,-0.24466671939952123,1.2027095897801403,297,48,107,0.07170000000000001
price_rel_wls_ann_slope,article_2020,2020-01-02,2026-05-08,1535,10.656517319438084,0.49657312485320726,-0.21311324937245435,1.5091001979318663,207,40,70,0.048900000000000006
price_rel_wls_ann_slope,5Y,2021-05-10,2026-05-08,1211,7.080928095857091,0.544670546142892,-0.16760821556768124,1.6366649426928295,145,23,53,0.035550000000000005
price_rel_wls_ann_slope,3Y,2023-05-08,2026-05-08,727,4.7723875945166405,0.836152047095396,-0.16641069880954296,1.9962923542844269,95,17,44,0.0228
price_rel_wls_ann_slope,10Y,2016-05-09,2026-05-08,2427,16.20889418660641,0.3437255262138219,-0.21311324937245435,1.27237935791201,298,50,109,0.0714
