scenario,overlay_cost_bps,annual,vol,sharpe,max_dd,calmar,total_return,avg_scale,defense_days_pct,switch_count
baseline_v72,0.0,28.590025757054583,7.624242125997481,2.314405692627427,-7.195612762456538,3.9732579699430803,1305.5136689978017,1.0,0.0,0
single_dd4_scale50_cost0bp,0.0,24.988314795486243,6.942746364423925,2.251941527205493,-6.0124236984469785,4.156113415949175,942.6931874311064,0.8588541666666667,28.229166666666668,23
single_dd4_scale60_cost0bp,0.0,26.168752879273782,7.103054309980415,2.294064726987656,-6.205823400690235,4.216805923991197,1050.9727008457876,0.9014583333333334,24.635416666666668,23
single_dd4_scale70_cost0bp,0.0,26.95081616079471,7.2558491142117845,2.3060629155309744,-6.39972926831931,4.2112431683961695,1128.208809818304,0.936875,21.041666666666668,23
single_dd4_scale80_cost0bp,0.0,27.465500416699484,7.392220565073066,2.3026600305548395,-6.604880127206004,4.158364707266525,1181.5660959134818,0.96296875,18.515625,27
single_dd6_scale50_cost0bp,0.0,27.55667034986715,7.441883886101013,2.294424416748712,-7.195612762456538,3.8296488790566148,1191.2334027421794,0.9596354166666666,8.072916666666668,4
single_dd6_scale60_cost0bp,0.0,27.887131435570044,7.4855269860751115,2.3053453782615336,-7.195612762456538,3.8755742361613064,1226.8298335496684,0.9720833333333334,6.979166666666667,4
single_dd6_scale70_cost0bp,0.0,27.960052372751743,7.5270563191135915,2.2982689031377808,-7.195612762456538,3.8857083191906447,1234.803285706901,0.98125,6.25,6
single_dd6_scale80_cost0bp,0.0,28.32119092898806,7.579417976048511,2.308582563443039,-7.195612762456538,3.935897033919788,1274.934351974147,0.9913020833333334,4.348958333333333,4
single_dd8_scale50_cost0bp,0.0,28.590025757054384,7.624242125997482,2.3144056926274224,-7.195612762456538,3.973257969943053,1305.513668997781,1.0,0.0,0
single_dd8_scale60_cost0bp,0.0,28.590025757054384,7.624242125997482,2.3144056926274224,-7.195612762456538,3.973257969943053,1305.513668997781,1.0,0.0,0
single_dd8_scale70_cost0bp,0.0,28.590025757054384,7.624242125997482,2.3144056926274224,-7.195612762456538,3.973257969943053,1305.513668997781,1.0,0.0,0
single_dd8_scale80_cost0bp,0.0,28.590025757054384,7.624242125997482,2.3144056926274224,-7.195612762456538,3.973257969943053,1305.513668997781,1.0,0.0,0
single_dd10_scale50_cost0bp,0.0,28.590025757054384,7.624242125997482,2.3144056926274224,-7.195612762456538,3.973257969943053,1305.513668997781,1.0,0.0,0
single_dd10_scale60_cost0bp,0.0,28.590025757054384,7.624242125997482,2.3144056926274224,-7.195612762456538,3.973257969943053,1305.513668997781,1.0,0.0,0
single_dd10_scale70_cost0bp,0.0,28.590025757054384,7.624242125997482,2.3144056926274224,-7.195612762456538,3.973257969943053,1305.513668997781,1.0,0.0,0
single_dd10_scale80_cost0bp,0.0,28.590025757054384,7.624242125997482,2.3144056926274224,-7.195612762456538,3.973257969943053,1305.513668997781,1.0,0.0,0
tier_dd4_6_8_cost0bp,0.0,27.582082075107728,7.477778031980617,2.2856058440013656,-6.724134068900001,4.101953023613622,1193.9396974104407,0.9781770833333333,10.234375,104
tier_dd6_8_10_cost0bp,0.0,28.43562763885803,7.606754258016683,2.30864946136692,-7.195612762456538,3.9518007121259098,1287.8768864525505,0.9983333333333333,0.8333333333333334,12
tier_dd5_8_12_cost0bp,0.0,28.335618957814933,7.584714616031437,2.30804610035761,-7.195612762456538,3.9379021486060806,1276.5600904599553,0.9950390625,3.3072916666666665,34
single_dd4_scale50_cost10bp,10.0,24.812003491362255,6.935135828471989,2.2402849432094176,-6.059417486597729,4.094783623383214,927.3369846366728,0.8576822916666667,28.463541666666664,23
single_dd4_scale60_cost10bp,10.0,26.053270843433364,7.103232344391632,2.2851090003516337,-6.243341071329988,4.172969335773188,1039.9480193625084,0.9009375,24.765625,23
single_dd4_scale70_cost10bp,10.0,26.921216675969273,7.257222454617553,2.3034218515406812,-6.427809349538826,4.188241313955707,1125.2022677452999,0.937109375,20.963541666666664,23
single_dd4_scale80_cost10bp,10.0,27.397838929473295,7.392584484970438,2.2975916692796154,-6.623559151180558,4.1364224737979445,1174.4339241481641,0.9629166666666668,18.541666666666668,27
single_dd6_scale50_cost10bp,10.0,27.53239460585015,7.441497532303138,2.2927738480476947,-7.195612762456538,3.8262751922257086,1188.6528721412594,0.9596354166666666,8.072916666666668,4
single_dd6_scale60_cost10bp,10.0,27.8676611306625,7.485235598611983,2.304027861994162,-7.195612762456538,3.872868378362909,1224.7081792330048,0.9720833333333334,6.979166666666667,4
single_dd6_scale70_cost10bp,10.0,27.924619349121336,7.526892472218067,2.295777024718385,-7.195612762456538,3.8807840653709724,1230.9235051426258,0.9811718749999999,6.276041666666667,6
single_dd6_scale80_cost10bp,10.0,28.30914987848829,7.578822181556727,2.307903225558609,-7.195612762456538,3.934223646135138,1273.5789064556002,0.9910416666666666,4.479166666666667,4
single_dd8_scale50_cost10bp,10.0,28.590025757054384,7.624242125997482,2.3144056926274224,-7.195612762456538,3.973257969943053,1305.513668997781,1.0,0.0,0
single_dd8_scale60_cost10bp,10.0,28.590025757054384,7.624242125997482,2.3144056926274224,-7.195612762456538,3.973257969943053,1305.513668997781,1.0,0.0,0
single_dd8_scale70_cost10bp,10.0,28.590025757054384,7.624242125997482,2.3144056926274224,-7.195612762456538,3.973257969943053,1305.513668997781,1.0,0.0,0
single_dd8_scale80_cost10bp,10.0,28.590025757054384,7.624242125997482,2.3144056926274224,-7.195612762456538,3.973257969943053,1305.513668997781,1.0,0.0,0
single_dd10_scale50_cost10bp,10.0,28.590025757054384,7.624242125997482,2.3144056926274224,-7.195612762456538,3.973257969943053,1305.513668997781,1.0,0.0,0
single_dd10_scale60_cost10bp,10.0,28.590025757054384,7.624242125997482,2.3144056926274224,-7.195612762456538,3.973257969943053,1305.513668997781,1.0,0.0,0
single_dd10_scale70_cost10bp,10.0,28.590025757054384,7.624242125997482,2.3144056926274224,-7.195612762456538,3.973257969943053,1305.513668997781,1.0,0.0,0
single_dd10_scale80_cost10bp,10.0,28.590025757054384,7.624242125997482,2.3144056926274224,-7.195612762456538,3.973257969943053,1305.513668997781,1.0,0.0,0
tier_dd4_6_8_cost10bp,10.0,27.141230484208712,7.441740697796684,2.264201833391886,-6.798732378421802,3.9921016115226235,1147.710127260581,0.9728125,12.395833333333334,106
tier_dd6_8_10_cost10bp,10.0,28.347951130790893,7.6033718756219075,2.3034420880805264,-7.195612762456538,3.9396159947207994,1277.951048151842,0.9977604166666667,1.1197916666666667,18
tier_dd5_8_12_cost10bp,10.0,28.26995977223754,7.584400100144735,2.3034801929179936,-7.195612762456538,3.928777257127766,1269.1756942390293,0.9948828125000001,3.411458333333333,38
