year,Sub-A,Sub-A-DK,Sub-B,Microcap_v1_6,V7.6_no_microcap_norm,V7.6_plus_microcap_v1_6
2016,7.959515504676884,4.950777009517093,6.3511262596247064,54.66884269034264,6.293228067847156,13.549570261221477
2017,8.280221561807988,7.653688632310751,77.91755505308524,7.114707143548227,57.749321093745024,47.459431951394436
2018,-1.3379701411023515,37.32111008805268,-1.2982388834081204,31.810273276383082,3.112543190359962,7.27307113991118
2019,58.85337683950513,40.398029941943726,18.05761350995074,17.460474872589593,24.570712898815096,23.29078637439974
2020,49.72827329670613,31.551522704492196,58.888515343733474,22.592041451192735,53.3404296345348,48.12445315419238
2021,53.66927964366697,43.514535566448465,42.664351939551736,28.580330408405906,43.89253727175721,41.764670607615486
2022,22.697305764184115,24.570748194693603,2.518863737163035,18.207187919916244,8.589225120511724,10.48844830218465
2023,-13.993401575866892,12.679493387902019,21.829127252428627,82.32404274150207,15.896687070062733,25.23561500610647
2024,71.27870208235501,43.18814758497991,43.69209411526054,13.652192621223591,46.126681206523855,39.247231530253735
2025,77.77562667002125,38.514950058182066,35.02316111588264,65.48235690761317,40.138658166733585,44.48487792412739
2026,15.40747482388969,-0.8329338391435903,21.88047765401613,4.300880266732521,18.030076963279228,15.340891496531462
