series,start_date,end_date,observations,final_nav,total_return_pct,annual_return_pct,max_drawdown_pct,volatility_pct,sharpe
Sub-A,2016-05-03,2026-04-30,2429,17.861976292467524,1686.1976292467525,33.44829573508405,-17.409845054360908,19.38287874181429,1.7256619195025311
Sub-A-DK,2016-05-03,2026-04-30,2429,11.687197987151155,1068.7197987151155,27.900856085529945,-18.00002256807951,19.777763481510853,1.4107184622575208
Sub-B,2016-05-03,2026-04-30,2513,15.907667205371224,1490.7667205371224,31.909448255502216,-12.11035260234381,16.039156560287555,1.9894717116552747
Microcap_v1_6,2016-05-03,2026-04-30,2427,18.775509847133783,1777.5509847133783,34.11622866455504,-18.849832109557063,17.296632003824705,1.9724203334505301
V7.6_no_microcap_norm,2016-05-03,2026-04-30,2595,15.392797235931953,1439.2797235931953,31.4757444037985,-10.431085112103123,12.356619926720192,2.547277863239505
V7.6_plus_microcap_v1_6,2016-05-03,2026-04-30,2595,15.900204127612227,1490.0204127612228,31.903252483471945,-7.343591684405526,10.59509422919518,3.0111343791130554
