version,candidate,segment,start,end,name,lbs,abs_threshold,rebalance_threshold,min_turnover,official_weight,ema_weight,ema_half_life,ema_abs_threshold,target_vol,vol_window,max_lev,volreg_enabled,volreg_enter,volreg_exit,days,cagr,vol,sharpe,maxdd,calmar,final_nav,monthly_win_rate,avg_bil,avg_cash,avg_risky,max_risky,annual_turnover,total_trade_cost
V7.5,tv0.2_vw40_lev1.5_vr1_2_1.6,full_common,2008-12-15,2026-05-06,tv0.2_vw40_lev1.5_vr1_2_1.6,"(130, 260, 390)",0.04,1.05,0.0,0.5,0.5,100,0.16,0.2,40,1.5,True,2.0,1.6,4374,0.1874111741670132,0.1293519145436104,1.3931042564169538,-0.1276360302766196,1.4683250000869326,19.717983443561312,0.6571428571428571,0.1754643200671982,0.0388660265203475,0.8664968660650687,1.408891745763572,13.663857480836173,0.2371655262745136
V7.5,tv0.2_vw40_lev1.5_vr1_2_1.6,1Y,2025-05-06,2026-05-06,tv0.2_vw40_lev1.5_vr1_2_1.6,"(130, 260, 390)",0.04,1.05,0.0,0.5,0.5,100,0.16,0.2,40,1.5,True,2.0,1.6,252,0.5459750854629677,0.1646306221823723,2.7307039989031034,-0.1079433156284291,5.057979572745063,1.5459750854629677,0.8461538461538461,0.017589215437796,0.0,1.1081452826432654,1.2975738550208096,12.266509897253902,0.0122665098972539
V7.5,tv0.2_vw40_lev1.5_vr1_2_1.6,3Y,2023-05-08,2026-05-06,tv0.2_vw40_lev1.5_vr1_2_1.6,"(130, 260, 390)",0.04,1.05,0.0,0.5,0.5,100,0.16,0.2,40,1.5,True,2.0,1.6,752,0.3374312041507255,0.1608580198911664,1.888900349273947,-0.1079433156284294,3.1260037009818795,2.3812777074104563,0.7567567567567568,0.0494544332197645,0.0292553191489361,1.0158020462543536,1.2975738550208096,13.628202962461026,0.0406682882054392
V7.5,tv0.2_vw40_lev1.5_vr1_2_1.6,5Y,2021-05-06,2026-05-06,tv0.2_vw40_lev1.5_vr1_2_1.6,"(130, 260, 390)",0.04,1.05,0.0,0.5,0.5,100,0.16,0.2,40,1.5,True,2.0,1.6,1256,0.2538009955371103,0.1504872007476639,1.5788359229037747,-0.1079433156284291,2.35124328041547,3.0873357892156745,0.7213114754098361,0.1465426086822505,0.0414012738853503,0.8754090899807613,1.2975738550208096,13.185238165154832,0.0657169013310891
V7.5,tv0.2_vw40_lev1.5_vr1_2_1.6,10Y,2016-05-06,2026-05-06,tv0.2_vw40_lev1.5_vr1_2_1.6,"(130, 260, 390)",0.04,1.05,0.0,0.5,0.5,100,0.16,0.2,40,1.5,True,2.0,1.6,2514,0.2855747305744349,0.143476322580847,1.8234153017595576,-0.12763603027662,2.23741470144066,12.25676099454843,0.71900826446281,0.1364360006736625,0.0493237867939538,0.8962291202651912,1.408891745763572,13.819682107196533,0.1378677810217939
V7.5,tv0.2_vw40_lev1.5_vr1_1.8_1.4,full_common,2008-12-15,2026-05-06,tv0.2_vw40_lev1.5_vr1_1.8_1.4,"(130, 260, 390)",0.04,1.05,0.0,0.5,0.5,100,0.16,0.2,40,1.5,True,1.8,1.4,4374,0.1758776293003598,0.1272839868283185,1.3369227833978394,-0.1391521743063443,1.2639229690595009,16.645065546240684,0.6571428571428571,0.1697777433713828,0.0626428898033836,0.8480271794857231,1.408891745763572,13.972389514362993,0.2425207608564434
V7.5,tv0.2_vw40_lev1.5_vr1_1.8_1.4,1Y,2025-05-06,2026-05-06,tv0.2_vw40_lev1.5_vr1_1.8_1.4,"(130, 260, 390)",0.04,1.05,0.0,0.5,0.5,100,0.16,0.2,40,1.5,True,1.8,1.4,252,0.5459750854629677,0.1646306221823723,2.7307039989031034,-0.1079433156284291,5.057979572745063,1.5459750854629677,0.8461538461538461,0.017589215437796,0.0,1.1081452826432654,1.2975738550208096,12.266509897253902,0.0122665098972539
V7.5,tv0.2_vw40_lev1.5_vr1_1.8_1.4,3Y,2023-05-08,2026-05-06,tv0.2_vw40_lev1.5_vr1_1.8_1.4,"(130, 260, 390)",0.04,1.05,0.0,0.5,0.5,100,0.16,0.2,40,1.5,True,1.8,1.4,752,0.3233751542627781,0.1596805577778139,1.8354270129554648,-0.1343553578616924,2.4068645970610696,2.307371129538916,0.7567567567567568,0.0494544332197645,0.0332446808510638,1.0114332228745613,1.2975738550208096,13.628202962461026,0.0406682882054392
V7.5,tv0.2_vw40_lev1.5_vr1_1.8_1.4,5Y,2021-05-06,2026-05-06,tv0.2_vw40_lev1.5_vr1_1.8_1.4,"(130, 260, 390)",0.04,1.05,0.0,0.5,0.5,100,0.16,0.2,40,1.5,True,1.8,1.4,1256,0.2154550014909395,0.1455447856543179,1.4138470502955764,-0.1391521743063445,1.5483408905750462,2.6445352701952145,0.7049180327868853,0.1408548023418834,0.0780254777070063,0.8440653882125699,1.2975738550208096,13.697301095452268,0.0682690879995557
V7.5,tv0.2_vw40_lev1.5_vr1_1.8_1.4,10Y,2016-05-06,2026-05-06,tv0.2_vw40_lev1.5_vr1_1.8_1.4,"(130, 260, 390)",0.04,1.05,0.0,0.5,0.5,100,0.16,0.2,40,1.5,True,1.8,1.4,2514,0.2654476725656427,0.1407561627951063,1.743696878680122,-0.1391521743063436,1.9076070775671776,10.471466998375927,0.7107438016528925,0.1307731600033227,0.0755767700875099,0.8752108883404754,1.408891745763572,14.192088968558938,0.1415829828053856
