version,candidate,target_vol,vol_window,max_lev,volreg_enabled,volreg_enter,volreg_exit,recent_weighted_sharpe,mean_recent_cagr,worst_recent_maxdd,10y_cagr,10y_maxdd,10y_sharpe,10y_calmar,10y_annual_turnover,10y_total_trade_cost
V7.5,tv0.25_vw80_lev2_vr0_2_1.6,0.25,80,2.0,False,2.0,1.6,2.0233425573080335,0.4221357577410171,-0.194229964165173,0.3360778820212615,-0.194229964165173,1.8100792273882007,1.7303091387869545,13.939771600764454,0.1390658166838168
V7.5,tv0.3_vw80_lev2_vr0_2_1.6,0.3,80,2.0,False,2.0,1.6,2.0209153198679957,0.45138898958407175,-0.203989748287699,0.35192979738001706,-0.203989748287699,1.7908267488907377,1.7252327645586842,14.419433368222998,0.1438510138401294
V7.5,tv0.2_vw80_lev2_vr0_2_1.6,0.2,80,2.0,False,2.0,1.6,2.017990452273697,0.3873248838344805,-0.186217047525428,0.3126115916996745,-0.186217047525428,1.8144191387455408,1.678748513381877,13.368980799895391,0.1333714989322897
V7.5,tv0.2_vw40_lev2_vr0_2_1.6,0.2,40,2.0,False,2.0,1.6,2.0166185287741705,0.38712535575128576,-0.1831746737791035,0.311564086173453,-0.1831746737791035,1.8191552439830592,1.700912466475461,13.623156015391404,0.1359071992964047
V7.5,tv0.2_vw80_lev1.5_vr0_2_1.6,0.2,80,1.5,False,2.0,1.6,2.0152522731431515,0.3847729496723953,-0.1793948331929821,0.3097879542966595,-0.1793948331929821,1.81512710582414,1.726849925289701,12.998621405984702,0.1296767230739902
V7.5,tv0.25_vw40_lev2_vr0_2_1.6,0.25,40,2.0,False,2.0,1.6,2.0131746310967125,0.4215517256537473,-0.1900380209727594,0.3344039516194583,-0.1900380209727594,1.8086360554033176,1.759668670025735,14.193851954692017,0.141600570690856
V7.5,tv0.3_vw40_lev2_vr0_2_1.6,0.3,40,2.0,False,2.0,1.6,2.011146283243132,0.4513035498780658,-0.19796286313959655,0.3516244258705865,-0.19796286313959655,1.795186436702605,1.7762140852783745,14.6244236803894,0.1458960362400752
V7.5,tv0.2_vw40_lev1.5_vr0_2_1.6,0.2,40,1.5,False,2.0,1.6,2.009005448088695,0.38332600961729224,-0.1763997274029315,0.3081053711959851,-0.1763997274029315,1.8151144167223403,1.7466317875435948,13.194380072788016,0.1316296488213852
V7.5,tv0.25_vw40_lev1.5_vr0_2_1.6,0.25,40,1.5,False,2.0,1.6,2.0022781642302805,0.4102277929726475,-0.1849173795536244,0.3245947532054056,-0.1849173795536244,1.8013352388880757,1.7553501676746184,13.399760013807176,0.1336785582329811
V7.5,tv0.25_vw80_lev1.5_vr0_2_1.6,0.25,80,1.5,False,2.0,1.6,1.997568252819439,0.40869101421984566,-0.1862363344057976,0.3254657411787693,-0.1862363344057976,1.7985472496994213,1.7475952918489002,13.29423073539516,0.1326257780507279
